t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.985,47.817,STABILIZE,0.7434189498023028,0.004468419606978496,-0.0017721309554517746,0.04,0.0103,30.0,142.193,142.193,7.07362,0.0,,False,1.44006e-15,0.0
2.176,48.427,APPROACH,0.7377626058072926,0.006602105205864218,-0.0025690126024279602,1.1299,-0.6838,29.855,143.901,143.901,6.91655,0.0,,False,4.10632e-19,0.0
3.304,49.037,APPROACH,0.7272455909363624,-0.1592284736923463,-0.21918502604561912,6.5868,-7.6088,5.653,143.944,143.944,6.13102,0.0,,False,1.79101e-22,0.0
4.486,49.699,APPROACH,0.726214077934613,-0.7852168931804189,-0.9172198816706993,8.0622,-4.5095,-21.0716,142.653,142.653,4.73437,0.0,,False,5.57406e-26,0.0
5.507,50.307,APPROACH,0.7288182306837284,-1.7923788278264325,-1.951033757573862,-1.1347,0.2336,-29.9622,142.768,142.768,3.513,0.0,,False,5.4107e-29,0.0
6.533,50.856,APPROACH,0.727240642918813,-2.6287196762456677,-2.7942760840708525,-2.6971,0.7747,-30.0008,142.882,142.882,2.43624,0.0,,False,5.05882e-32,0.0
7.644,51.461,APPROACH,0.7262084016880228,-3.357826702660453,-3.529121125699278,-3.1489,0.8829,-30.0003,142.904,142.904,1.48072,0.0,,False,2.69497e-35,0.0
8.973,52.121,APPROACH,0.7261154286182507,-4.072213783173472,-4.2066099105392825,-3.5547,0.784,-30.0051,142.876,142.876,0.627392,0.0,,False,3.20345e-39,0.0
10.181,52.782,APPROACH,0.7261834116354432,-4.612004560210112,-4.673252194946393,-5.857,2.0503,-30.0088,143.14,143.14,0.195557,0.0,,False,8.16265e-43,0.0
11.296,53.449,ALIGN,0.7264650702398975,-4.882523532475542,-4.903580020619629,-2.8345,1.0133,-29.9959,142.735,142.735,0.059317,0.0,,False,4.18842e-46,0.0
12.497,54.055,ALIGN,0.7269453933520945,-4.964559912001029,-4.97340085519133,-0.9765,0.3422,-29.9995,142.736,142.736,0.0121277,0.0,,False,1.15037e-49,0.0
13.519,54.661,HIGH_HOVER,0.7266499714580436,-4.992594803057333,-4.997096817623848,-0.2985,0.0921,-29.9999,142.736,142.736,0.00293372,0.0,,False,1.11665e-52,0.0
14.631,55.265,NEAR_WATER,0.7266262539897181,-5.000254182657395,-5.003829342770015,-0.1263,0.0199,-30.0,129.091,129.091,0.00669424,0.0,,False,5.94872e-56,0.0
15.743,55.87,NEAR_WATER,0.5763086365134131,-5.003863555905617,-5.006232588568603,-0.0308,0.0279,-30.0,144.245,144.245,0.00824565,0.0,,False,3.24927e-59,0.0
16.952,56.471,NEAR_WATER,0.4618082209729003,-5.004808320621942,-5.00689239808423,-0.0152,-0.0028,-30.0,142.796,142.796,0.00876248,0.0,,False,3.10987,2.96251
18.008,57.076,SETTLING,0.37507220993802415,-5.0052776102719445,-5.007070903665542,-0.016,-0.0076,-30.0,129.432,129.432,0.00885184,-0.0391121,,False,17.6529,0.366977
19.192,57.676,SPOOL_DOWN,0.3701359080863184,-5.005651792821477,-5.006760090315497,-0.0142,-0.0034,-30.0,118.495,118.495,0.00790542,-0.0391121,,False,29.1728,1.99054
20.306,58.281,SPOOL_DOWN,0.3605761219010643,-5.004715102805894,-5.005087389864784,-0.1801,0.0751,-29.9999,73.0337,73.0335,0.00372898,-0.0391121,,False,68.1882,0.938386
21.496,58.938,LANDED,0.34926437080972494,-5.000507808255763,-5.003234722648279,-0.17,-0.1011,-30.0,6.02374,6.0232,0.00447853,-0.0391121,,False,80.3388,0.0667687
