t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,64.674,STABILIZE,0.731747,0.00476459,-0.00232587,-5.0,-5.0,-0.0077,0.0012,30.0,-142.086,142.086,7.07279,0.0,,False,1.18641e-09,0.0
0.052,64.726,STABILIZE,0.733502,0.00474159,-0.0023287,-5.0,-5.0,0.1169,0.0918,30.0001,-141.778,141.778,7.07278,0.0,,False,6.19358e-10,0.0
0.103,64.777,STABILIZE,0.734885,0.0047771,-0.00235965,-5.0,-5.0,0.1904,0.1425,30.0001,-141.697,141.697,7.07278,0.0,,False,3.274e-10,0.0
0.154,64.828,STABILIZE,0.735901,0.00490834,-0.00243535,-5.0,-5.0,0.1548,0.116,30.0,-141.741,141.741,7.07282,0.0,,False,1.73068e-10,0.0
0.205,64.879,STABILIZE,0.736563,0.00511351,-0.00254888,-5.0,-5.0,0.0931,0.0746,29.9999,-141.851,141.851,7.07288,0.0,,False,9.14858e-11,0.0
0.256,64.93,STABILIZE,0.736911,0.00536317,-0.00268473,-5.0,-5.0,0.0462,0.0453,30.0,-141.989,141.989,7.07296,0.0,,False,4.83605e-11,0.0
0.308,64.982,STABILIZE,0.736992,0.00564121,-0.00283391,-5.0,-5.0,0.0168,0.0266,30.0,-142.135,142.135,7.07306,0.0,,False,2.52464e-11,0.0
0.359,65.033,STABILIZE,0.736854,0.00592322,-0.00298393,-5.0,-5.0,-0.0014,0.0146,30.0,-142.271,142.271,7.07315,0.0,,False,1.33456e-11,0.0
0.41,65.084,STABILIZE,0.73655,0.00620431,-0.00313367,-5.0,-5.0,-0.0137,0.0066,30.0,-142.392,142.393,7.07324,0.0,,False,7.05463e-12,0.0
0.461,65.135,STABILIZE,0.736125,0.00647768,-0.00328086,-5.0,-5.0,-0.0223,0.0019,30.0,-142.496,142.496,7.07333,0.0,,False,3.72916e-12,0.0
0.512,65.186,APPROACH,0.735614,0.00673807,-0.00342446,-5.0,-5.0,-0.0219,-0.0063,29.9996,-142.582,142.583,7.07341,0.0,,False,1.97128e-12,0.0
0.564,65.238,APPROACH,0.735038,0.00698474,-0.00356183,-5.0,-5.0,0.7935,-0.4962,29.9019,-142.655,142.655,7.07349,0.0,,False,1.0291e-12,0.0
0.615,65.289,APPROACH,0.734439,0.00720939,-0.00412369,-5.0,-5.0,2.3591,-1.7279,29.4876,-142.733,142.733,7.07325,0.0,,False,5.43995e-13,0.0
0.666,65.34,APPROACH,0.733809,0.00728088,-0.0060036,-5.0,-5.0,3.0246,-3.6735,28.7012,-142.855,142.855,7.07198,0.0,,False,2.87562e-13,0.0
0.717,65.391,APPROACH,0.733135,0.00655672,-0.00988195,-5.0,-5.0,3.2291,-6.3083,27.5459,-143.051,143.051,7.06873,0.0,,False,1.52009e-13,0.0
0.769,65.443,APPROACH,0.732364,0.00390038,-0.0165367,-5.0,-5.0,3.4688,-8.8843,26.0332,-143.395,143.395,7.06215,0.0,,False,7.93556e-14,0.0
0.82,65.494,APPROACH,0.731486,-0.00164558,-0.0262702,-5.0,-5.0,3.7792,-9.8482,24.3151,-143.786,143.786,7.05135,0.0,,False,4.19484e-14,0.0
0.871,65.545,APPROACH,0.730542,-0.0105346,-0.0393993,-5.0,-5.0,4.1044,-9.4485,22.3783,-144.05,144.05,7.03579,0.0,,False,2.21744e-14,0.0
0.922,65.596,APPROACH,0.729648,-0.0226535,-0.0558745,-5.0,-5.0,4.4471,-8.9634,20.1657,-144.145,144.145,7.01558,0.0,,False,1.17217e-14,0.0
0.973,65.647,APPROACH,0.728864,-0.0378638,-0.0756371,-5.0,-5.0,4.8195,-8.7241,17.7493,-144.161,144.161,6.99086,0.0,,False,6.19622e-15,0.0
1.025,65.699,APPROACH,0.728187,-0.0565371,-0.0991672,-5.0,-5.0,5.212,-8.5333,15.1982,-144.149,144.149,6.96103,0.0,,False,3.23471e-15,0.0
1.076,65.75,APPROACH,0.727637,-0.0779689,-0.125564,-5.0,-5.0,5.5895,-8.3202,12.6914,-144.125,144.125,6.92723,0.0,,False,1.70991e-15,0.0
1.127,65.801,APPROACH,0.727191,-0.102494,-0.155256,-5.0,-5.0,5.9498,-8.0856,10.2238,-144.093,144.093,6.88891,0.0,,False,9.03878e-16,0.0
1.178,65.852,APPROACH,0.726835,-0.130113,-0.188245,-5.0,-5.0,6.2903,-7.8405,7.8158,-144.06,144.06,6.84608,0.0,,False,4.77801e-16,0.0
1.229,65.903,APPROACH,0.726556,-0.160823,-0.224533,-5.0,-5.0,6.6111,-7.5889,5.4717,-144.028,144.028,6.79873,0.0,,False,2.52572e-16,0.0
1.281,65.955,APPROACH,0.726339,-0.195322,-0.264931,-5.0,-5.0,6.919,-7.3261,3.142,-143.998,143.998,6.7458,0.0,,False,1.31854e-16,0.0
1.332,66.006,APPROACH,0.726182,-0.232285,-0.307884,-5.0,-5.0,7.2038,-7.062,0.9054,-143.972,143.972,6.68932,0.0,,False,6.96996e-17,0.0
1.383,66.057,APPROACH,0.726072,-0.272343,-0.354138,-5.0,-5.0,7.4735,-6.791,-1.296,-143.949,143.949,6.62833,0.0,,False,3.68441e-17,0.0
1.434,66.108,APPROACH,0.725998,-0.315499,-0.403693,-5.0,-5.0,7.7295,-6.5126,-3.4742,-143.929,143.929,6.56282,0.0,,False,1.94762e-17,0.0
