t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
1.056,143.933,STABILIZE,0.7532079374367866,0.004520314809379557,-0.0018283219021247347,0.0228,-0.0018,30.0004,141.555,141.555,7.07391,0.0,,False,6.50385e-14,0.0
2.081,144.571,APPROACH,0.7499028776890809,0.006933140030228039,-0.0034977203364632125,2.7821,-2.5477,29.1806,143.438,143.438,6.92474,0.0,,False,4.33902e-17,0.0
3.091,145.154,APPROACH,0.7425812625277521,-0.15687538572181703,-0.21470017233360755,6.574,-7.6206,5.7544,143.253,143.253,6.22421,0.0,,False,3.08146e-20,0.0
4.212,145.729,APPROACH,0.742600637428212,-0.7161158081608197,-0.8381217986506978,8.7192,-5.1363,-19.1317,142.191,142.191,4.87531,0.0,,False,1.05988e-23,0.0
5.248,146.366,APPROACH,0.7449778014725711,-1.704441796263812,-1.8557573067783255,-0.9298,0.1549,-29.938,142.137,142.137,3.56894,0.0,,False,6.81073e-27,0.0
6.389,146.995,APPROACH,0.7432740756765384,-2.602658412988105,-2.7617657493098022,-2.7428,0.797,-30.0011,142.257,142.257,2.31441,0.0,,False,1.94207e-30,0.0
7.469,147.633,APPROACH,0.7422645940994087,-3.4484892305527017,-3.613125912069066,-3.3387,0.7389,-29.9906,142.293,142.293,1.35707,0.0,,False,8.36533e-34,0.0
8.577,148.273,APPROACH,0.7421441680241251,-4.100842950032517,-4.22721041354545,-3.6557,0.8497,-30.0043,142.26,142.26,0.631278,0.0,,False,3.30141e-37,0.0
9.674,148.906,APPROACH,0.7419174832093592,-4.624392456213506,-4.681980034862055,-5.8883,2.0548,-30.0055,142.527,142.527,0.2101,0.0,,False,1.28673e-40,0.0
10.688,149.482,ALIGN,0.742025843852061,-4.8758141644490465,-4.897050902755035,-2.9946,1.0738,-29.9952,142.138,142.138,0.0691369,0.0,,False,1.0485e-43,0.0
11.704,150.051,ALIGN,0.7426015554287448,-4.959409619776608,-4.968529596797839,-1.1198,0.3995,-29.999,142.119,142.119,0.0190607,0.0,,False,8.43763e-47,0.0
12.827,150.625,HIGH_HOVER,0.7425249136071302,-4.988608137780512,-4.9936208772327895,-0.3919,0.1235,-29.9999,142.113,142.113,0.00251024,0.0,,False,3.01306e-50,0.0
13.833,151.252,NEAR_WATER,0.7424300589569651,-4.999687478704834,-5.002944097346026,-0.1112,0.0453,-29.9994,130.495,130.495,0.00566445,0.0,,False,2.45521e-53,0.0
14.86,151.83,NEAR_WATER,0.6319839251755446,-5.003132140868938,-5.005271057574259,0.0203,0.0487,-29.9996,143.619,143.619,0.00706139,0.0,,False,1.72197e-56,0.0
15.88,152.407,NEAR_WATER,0.5279418220936481,-5.004481180702633,-5.005831782309365,-0.0024,0.0407,-29.9984,139.212,139.212,0.00805674,0.0,,False,1.33472e-59,0.0
16.893,152.976,NEAR_WATER,0.4630646046300238,-5.0052233976652625,-5.006350947714712,-0.0099,0.0303,-29.999,138.405,138.405,0.00845913,0.0,,False,1.02171e-62,0.0
18.015,153.554,CONTACT_CONFIRM,0.3918213360858913,-5.005455255759211,-5.006523669954693,-0.0064,0.0069,-29.9998,133.793,133.792,0.00858851,-0.0365954,,False,8.70166,1.06309
19.039,154.184,SETTLING,0.3746474449194821,-5.005418515906336,-5.006716558490643,-0.0101,-0.0167,-30.0009,128.542,128.542,0.00863016,-0.00888752,,False,12.211,0.0
20.04,154.758,SPOOL_DOWN,0.37494260426506987,-5.005606192536462,-5.006569442466936,-0.0027,0.0019,-29.9998,128.509,128.509,0.00870699,-0.00888752,,False,12.0189,0.275831
21.055,155.334,SPOOL_DOWN,0.36971012702324363,-5.005083214364241,-5.006197103179225,-0.2139,0.0812,-29.9967,88.4859,88.4859,0.0052709,-0.00888752,,False,55.4295,1.63545
22.07,155.908,LANDED,0.3517555563932992,-5.001647029947558,-5.004380473802601,-0.1746,-0.0367,-30.0004,27.4179,27.4178,0.00384365,-0.00888752,,False,79.9194,0.792154
