t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.973,81.634,STABILIZE,0.7420668173270007,0.004389074884662172,-0.0019320167540268429,0.0361,-0.0037,30.0,141.789,141.789,7.0737,0.0,,False,6.23363e-13,0.0
1.983,82.183,APPROACH,0.7419694089973401,0.006197077585966446,-0.0019814762331962555,0.6478,-0.3837,29.9371,143.141,143.141,6.99482,0.0,,False,6.85662e-16,0.0
2.997,82.73,APPROACH,0.7338059354131398,-0.08948029470529088,-0.13595934318301317,5.7609,-8.2124,11.5249,143.706,143.706,6.45452,0.0,,False,7.26429e-19,0.0
4.001,83.276,APPROACH,0.7329053235599748,-0.5261396408883612,-0.6341492421150601,8.2183,-5.9103,-12.5468,143.501,143.501,5.42783,0.0,,False,8.2956e-22,0.0
5.025,83.825,APPROACH,0.7352902271101436,-1.3084847190363695,-1.4525409922589623,1.3824,-0.5793,-30.9121,142.321,142.321,4.1685,0.0,,False,8.15377e-25,0.0
6.136,84.375,APPROACH,0.7350625161084618,-2.178358452753726,-2.3334117231155753,-2.2354,0.5966,-30.0014,142.603,142.603,3.02493,0.0,,False,8.96866e-28,0.0
7.154,84.975,APPROACH,0.7334294006030222,-3.0291441493329647,-3.189968105852345,-2.9056,0.8749,-30.0006,142.579,142.579,1.95416,0.0,,False,4.77785e-31,0.0
8.165,85.52,APPROACH,0.7334840277911864,-3.6826161292297113,-3.8434084175257537,-3.7814,-0.4542,-30.008,142.62,142.62,1.1718,0.0,,False,5.06192e-34,0.0
9.17,86.067,APPROACH,0.7332043502796037,-4.230123231426641,-4.339277574979315,-3.5385,1.0274,-30.0029,142.549,142.549,0.576629,0.0,,False,5.56781e-37,0.0
10.188,86.618,APPROACH,0.7328934300961163,-4.647618842749598,-4.7008686773671355,-5.8816,2.036,-30.0015,142.875,142.875,0.218513,0.0,,False,5.68174e-40,0.0
11.201,87.165,ALIGN,0.7329320134358392,-4.868291925242276,-4.890443354345747,-3.0963,1.1053,-29.9955,142.512,142.512,0.0754585,0.0,,False,5.94477e-43,0.0
12.212,87.713,ALIGN,0.733294613183537,-4.954710008415974,-4.964656890326134,-1.2273,0.4277,-29.9991,142.484,142.484,0.0222533,0.0,,False,6.29822e-46,0.0
13.323,88.258,HIGH_HOVER,0.7331864706124178,-4.98639052727471,-4.991899770128386,-0.4678,0.1542,-29.9999,142.48,142.48,0.00307458,0.0,,False,3.39744e-49,0.0
14.332,88.863,SLOW_DESCENT,0.7330604426377823,-4.998747748661839,-5.002347811015897,-0.154,0.053,-29.9999,142.475,142.475,0.005367,0.0,,False,3.87978e-52,0.0
15.348,89.409,NEAR_WATER,0.6776146093449888,-5.002654400375457,-5.005389423360066,-0.0579,0.0217,-29.9999,145.803,145.803,0.00747068,0.0,,False,3.90998e-55,0.0
16.483,89.959,NEAR_WATER,0.5283972270081387,-5.0042455293661625,-5.0065377290608115,-0.0284,0.0067,-29.9999,141.589,141.589,0.00844415,0.0,,False,1.88474e-58,0.0
17.575,90.614,NEAR_WATER,0.43971770573437485,-5.005099334957567,-5.006825522777703,0.0002,0.0313,-30.0006,140.721,140.721,0.00846415,0.0,,False,3.67053,2.18691
18.593,91.164,CONTACT_CONFIRM,0.37595450887697096,-5.005305310794289,-5.006544351700487,0.0024,-0.0034,-30.0005,129.533,129.533,0.00831901,-0.0426656,,False,15.4172,0.0223092
19.641,91.706,SPOOL_DOWN,0.37215977294568103,-5.0053939895335,-5.006309968263909,-0.0025,-0.0034,-30.0007,123.104,123.104,0.00824782,-0.0426656,,False,20.926,0.584339
20.81,92.36,SPOOL_DOWN,0.36707414628603247,-5.005251473432535,-5.005664176626725,-0.223,0.1165,-30.0003,79.4805,79.4805,0.00482564,-0.0426656,,False,61.316,1.27038
21.951,92.958,LANDED,0.3500864141187054,-5.001633481679887,-5.003849244446487,-0.1938,-0.0296,-29.9999,18.6179,18.6178,0.00390699,-0.0426656,,False,80.2298,0.0656723
