t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
1.066,98.549,STABILIZE,0.7498709645106069,0.004450527569271353,-0.002161229175794262,-0.0052,0.0017,29.9999,141.678,141.678,7.07335,0.0,,False,2.59622e-13,0.0
2.097,99.102,APPROACH,0.7484038430312487,0.006954023133705928,-0.0036362618411854733,2.141,-1.4902,29.5861,143.331,143.331,6.95323,0.0,,False,2.19638e-16,0.0
3.109,99.656,APPROACH,0.7408919089013611,-0.12628579744183,-0.18185581935437256,6.2514,-7.8696,8.0902,143.347,143.347,6.33628,0.0,,False,2.13201e-19,0.0
4.272,100.211,APPROACH,0.7407801201889413,-0.6189512620763831,-0.7375049732971587,8.4827,-5.5395,-15.9533,142.881,142.881,5.05114,0.0,,False,7.9043e-23,0.0
5.338,100.877,APPROACH,0.743559326479214,-1.56792685015425,-1.7169591777040882,-0.1503,-0.0373,-30.4536,142.173,142.173,3.75392,0.0,,False,5.5437e-26,0.0
6.348,101.424,APPROACH,0.7416626033499268,-2.456992758287664,-2.6109558798180075,-2.3786,0.7544,-30.0012,142.341,142.341,2.65996,0.0,,False,5.80035e-29,0.0
7.353,101.976,APPROACH,0.7403283004211507,-3.205788656477644,-3.3630065315046225,-3.0806,0.9155,-30.0009,142.324,142.324,1.73809,0.0,,False,6.14521e-32,0.0
8.461,102.524,APPROACH,0.7402459431581994,-3.8314089410642116,-3.978746149196965,-3.6684,0.2561,-30.0125,142.332,142.332,0.936427,0.0,,False,3.1929e-35,0.0
9.491,103.135,APPROACH,0.7404726898117974,-4.408567604671601,-4.492473379090728,-2.0934,0.6397,-29.9956,142.413,142.413,0.399853,0.0,,False,2.87538e-38,0.0
10.496,103.686,APPROACH,0.7400940990281488,-4.756949823086629,-4.793850201754192,-5.1537,1.8088,-29.9919,142.383,142.383,0.144994,0.0,,False,3.04633e-41,0.0
11.503,104.24,ALIGN,0.740946736215665,-4.912272228132698,-4.927399224917158,-2.1807,0.8032,-29.9976,142.189,142.189,0.0482575,0.0,,False,3.22746e-44,0.0
12.518,104.793,ALIGN,0.7409880805985354,-4.971435197131305,-4.978600741024121,-0.8034,0.2758,-29.9999,142.19,142.19,0.0126052,0.0,,False,3.05552e-47,0.0
13.73,105.4,HIGH_HOVER,0.7407203495449284,-4.992476976159879,-4.996705759333517,-0.267,0.1014,-30.0001,142.213,142.213,0.00343215,0.0,,False,7.406e-51,0.0
14.834,106.01,NEAR_WATER,0.7397279466089853,-5.000924944852129,-5.004428128047623,-0.1005,-0.0058,-30.0,140.46,140.46,0.00723921,0.0,,False,3.84797e-54,0.0
15.856,106.62,NEAR_WATER,0.5735281844792793,-5.003688534066652,-5.006743972733724,-0.0433,0.0087,-30.0008,141.185,141.185,0.00840853,0.0,,False,3.78218e-57,0.0
16.879,107.176,NEAR_WATER,0.5006394886201837,-5.004583794348949,-5.00717854397869,-0.0237,0.0042,-29.9994,139.27,139.27,0.0086072,0.0,,False,3.53621e-60,0.0
17.904,107.73,NEAR_WATER,0.4329043492158046,-5.004880260717792,-5.007090008713255,0.0049,-0.0006,-29.9992,138.564,138.564,0.00865015,0.0,,False,1.4302,1.98528
18.911,108.28,CONTACT_CONFIRM,0.37551069560607786,-5.005134352777367,-5.006980465822093,-0.0067,-0.0011,-29.9988,128.326,128.326,0.00848637,-0.0394195,,False,13.1063,0.0
19.926,108.83,SETTLING,0.37493574939127045,-5.005199772965222,-5.006573279352528,0.0119,-0.0044,-30.0016,127.923,127.923,0.00818221,-0.0394195,,False,13.2084,0.0487135
20.926,109.38,SPOOL_DOWN,0.3734923665755146,-5.005219736551778,-5.005990800824369,-0.2596,0.1616,-29.9965,100.898,100.898,0.00517124,-0.0394195,,False,46.1226,1.8802
21.935,109.931,SPOOL_DOWN,0.3542863535394838,-5.002075159362489,-5.003876677662195,-0.1585,-0.0047,-30.0025,42.4835,42.4833,0.00316729,-0.0394195,,False,77.5041,0.534424
23.055,110.536,LANDED,0.34749915205917714,-4.999862913868283,-5.003143024175878,-0.0272,-0.0134,-30.0002,0.190523,0.190505,0.00391978,-0.0394195,,False,80.3586,0.00434076
