t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.992,65.042,STABILIZE,0.7422726582632639,0.0038491520366529105,-0.00214118671919189,-0.0048,-0.0033,30.0,142.21,142.21,7.07289,0.0,,False,3.32329e-15,0.0
2.117,65.647,APPROACH,0.7369020423266845,0.006260799632431008,-0.0033045670274752547,0.7925,-0.5192,29.9019,143.974,143.974,6.9516,0.0,,False,1.64248e-18,0.0
3.2,66.247,APPROACH,0.7268270358324804,-0.1304637680898028,-0.18754172025876667,6.2904,-7.8405,7.8159,143.938,143.938,6.28622,0.0,,False,1.15196e-21,0.0
4.32,66.847,APPROACH,0.7261192553142908,-0.6585381899679801,-0.7886925001471661,8.4999,-5.5131,-17.232,143.003,143.003,5.0292,0.0,,False,5.765e-25,0.0
5.423,67.448,APPROACH,0.7291490120472718,-1.5751392631904955,-1.7378066299078614,-0.2183,-0.0448,-30.4333,142.714,142.714,3.69809,0.0,,False,3.31037e-28,0.0
6.546,68.048,APPROACH,0.7276267712161099,-2.4971256788734997,-2.666251221209719,-2.5096,0.7589,-30.001,142.883,142.883,2.51161,0.0,,False,1.71999e-31,0.0
7.749,68.643,APPROACH,0.7262261298022521,-3.299734521349067,-3.4723628670777456,-3.0304,0.9094,-30.0003,142.897,142.897,1.48262,0.0,,False,5.42033e-35,0.0
8.769,69.246,APPROACH,0.7258770701305,-4.007435440830102,-4.148878321667605,-3.4633,0.6931,-30.0059,142.882,142.882,0.81101,0.0,,False,5.7426e-38,0.0
9.769,69.791,APPROACH,0.7262376302490842,-4.485805197518645,-4.564411659895747,-3.1985,1.0975,-30.0161,143.136,143.136,0.339065,0.0,,False,6.55788e-41,0.0
10.793,70.339,ALIGN,0.7257789552187389,-4.795666737541071,-4.8290488099885,-4.4735,1.598,-29.9921,142.863,142.863,0.120375,0.0,,False,6.44576e-44,0.0
11.915,70.946,ALIGN,0.7266535694405244,-4.927862259921137,-4.941755132533936,-1.8131,0.654,-29.9982,142.729,142.729,0.0339799,0.0,,False,3.18572e-47,0.0
12.918,71.492,ALIGN,0.7267943852775807,-4.979226125196236,-4.985585096866753,-0.6157,0.216,-29.9998,142.733,142.733,0.00770128,0.0,,False,3.77701e-50,0.0
13.957,72.039,HIGH_HOVER,0.726606131461292,-4.995398382753629,-4.999350169531111,-0.2268,0.0809,-30.0,142.748,142.748,0.00375346,0.0,,False,3.44419e-53,0.0
15.113,72.638,NEAR_WATER,0.7249184343557865,-5.001572385937137,-5.004498786496333,-0.0956,0.0195,-30.0,144.271,144.271,0.00735539,0.0,,False,1.35926e-56,0.0
16.167,73.241,NEAR_WATER,0.5477171919505275,-5.0041620147853925,-5.006553611466479,-0.0354,0.0053,-30.0,143.606,143.606,0.00856049,0.0,,False,1.14993e-59,0.0
17.28,73.84,CONTACT_CONFIRM,0.43740724980014856,-5.004820102893947,-5.007226653992058,-0.0099,-0.0095,-30.0,142.711,142.711,0.00892742,-0.0916728,,False,10.5092,0.0
18.388,74.44,SETTLING,0.37602130315501286,-5.005323565795481,-5.007266761728634,-0.0213,-0.005,-30.0,126.166,126.166,0.00909403,-0.039857,,False,19.2385,0.491947
19.399,74.987,SPOOL_DOWN,0.3694285122157965,-5.005858172458842,-5.006924222165596,-0.0175,0.004,-30.0,117.428,117.427,0.00834447,-0.039857,,False,29.5068,2.06467
20.417,75.53,SPOOL_DOWN,0.3602861198134742,-5.005054037631666,-5.005616781212969,-0.2045,0.0779,-29.9999,72.7977,72.7976,0.00519518,-0.039857,,False,65.7908,1.03624
21.428,76.076,LANDED,0.34986574661710235,-5.002452566175595,-5.003974804927863,-0.1986,-0.0019,-30.0,19.892,19.8916,0.00384444,-0.039857,,False,80.2214,0.207829
