t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,223.437,STABILIZE,0.740802,0.00474987,-0.00247723,-5.0,-5.0,-0.0239,-0.0071,30.0,-140.935,140.935,7.07268,0.0,,False,1.42146e-08,0.0
0.051,223.488,STABILIZE,0.743732,0.0047826,-0.00248772,-5.0,-5.0,0.0938,0.0688,29.9997,-140.655,140.655,7.07269,0.0,,False,7.514e-09,0.0
0.101,223.538,STABILIZE,0.746161,0.00487115,-0.00253891,-5.0,-5.0,0.1616,0.1118,29.9997,-140.597,140.597,7.07272,0.0,,False,4.02196e-09,0.0
0.152,223.589,STABILIZE,0.748164,0.00504598,-0.00263978,-5.0,-5.0,0.1205,0.0901,30.0,-140.665,140.665,7.07277,0.0,,False,2.12606e-09,0.0
0.202,223.639,STABILIZE,0.749688,0.00528309,-0.00277632,-5.0,-5.0,0.0582,0.0538,30.0002,-140.796,140.796,7.07284,0.0,,False,1.138e-09,0.0
0.253,223.69,STABILIZE,0.750842,0.00556652,-0.00294217,-5.0,-5.0,0.0098,0.0263,30.0001,-140.956,140.956,7.07293,0.0,,False,6.01559e-10,0.0
0.303,223.74,STABILIZE,0.751637,0.00586362,-0.00311658,-5.0,-5.0,-0.0213,0.0106,30.0,-141.117,141.117,7.07301,0.0,,False,3.21991e-10,0.0
0.354,223.791,STABILIZE,0.752167,0.00617417,-0.00329894,-5.0,-5.0,-0.0404,0.0007,29.9998,-141.271,141.271,7.0731,0.0,,False,1.70208e-10,0.0
0.404,223.841,STABILIZE,0.752465,0.00647988,-0.00347809,-5.0,-5.0,-0.0524,-0.0069,29.9999,-141.405,141.405,7.07319,0.0,,False,9.1106e-11,0.0
0.455,223.892,STABILIZE,0.752594,0.00679328,-0.00366846,-5.0,-5.0,-0.0677,-0.0142,29.9999,-141.522,141.522,7.07328,0.0,,False,4.81598e-11,0.0
0.505,223.942,APPROACH,0.752591,0.00709972,-0.00386361,-5.0,-5.0,-0.0876,-0.0201,29.9999,-141.618,141.618,7.07336,0.0,,False,2.57781e-11,0.0
0.556,223.993,APPROACH,0.752489,0.00740238,-0.0040473,-5.0,-5.0,0.4975,-0.3974,29.9351,-141.697,141.698,7.07344,0.0,,False,1.36266e-11,0.0
0.606,224.043,APPROACH,0.752321,0.00767646,-0.00450507,-5.0,-5.0,2.089,-1.4987,29.5917,-141.776,141.776,7.07332,0.0,,False,7.29379e-12,0.0
0.657,224.094,APPROACH,0.752085,0.00785434,-0.00611658,-5.0,-5.0,2.9531,-3.3397,28.8755,-141.894,141.894,7.0723,0.0,,False,3.85559e-12,0.0
0.707,224.144,APPROACH,0.751785,0.00740306,-0.00951355,-5.0,-5.0,3.1941,-5.8245,27.8152,-142.076,142.076,7.06959,0.0,,False,2.06375e-12,0.0
0.758,224.195,APPROACH,0.751382,0.00532088,-0.0154287,-5.0,-5.0,3.4078,-8.532,26.3973,-142.391,142.391,7.06394,0.0,,False,1.09092e-12,0.0
0.808,224.245,APPROACH,0.750849,0.000632776,-0.0241848,-5.0,-5.0,3.6979,-9.7866,24.7723,-142.78,142.78,7.05444,0.0,,False,5.83929e-13,0.0
0.859,224.296,APPROACH,0.750203,-0.00738615,-0.0364098,-5.0,-5.0,4.019,-9.5882,22.9011,-143.081,143.081,7.04013,0.0,,False,3.08672e-13,0.0
0.909,224.346,APPROACH,0.74958,-0.0183828,-0.0516146,-5.0,-5.0,4.348,-9.0544,20.805,-143.202,143.202,7.02161,0.0,,False,1.6522e-13,0.0
0.96,224.397,APPROACH,0.749039,-0.0326345,-0.0703386,-5.0,-5.0,4.7165,-8.7782,18.4264,-143.226,143.226,6.99831,0.0,,False,8.73374e-14,0.0
1.01,224.447,APPROACH,0.748616,-0.0495487,-0.0918348,-5.0,-5.0,5.0946,-8.5974,15.9786,-143.214,143.214,6.97116,0.0,,False,4.67484e-14,0.0
1.06,224.497,APPROACH,0.74829,-0.0693875,-0.116446,-5.0,-5.0,5.4688,-8.397,13.5051,-143.19,143.19,6.93974,0.0,,False,2.50226e-14,0.0
1.111,224.548,APPROACH,0.748047,-0.0926464,-0.144766,-5.0,-5.0,5.8365,-8.166,11.0102,-143.159,143.159,6.90329,0.0,,False,1.32273e-14,0.0
1.161,224.598,APPROACH,0.747885,-0.118417,-0.175688,-5.0,-5.0,6.1756,-7.9259,8.6189,-143.126,143.126,6.86322,0.0,,False,7.08004e-15,0.0
1.212,224.649,APPROACH,0.747787,-0.147731,-0.210451,-5.0,-5.0,6.501,-7.6745,6.245,-143.092,143.092,6.81794,0.0,,False,3.74259e-15,0.0
1.262,224.699,APPROACH,0.747742,-0.179436,-0.247691,-5.0,-5.0,6.8053,-7.4239,3.9792,-143.063,143.063,6.76922,0.0,,False,2.00327e-15,0.0
1.313,224.75,APPROACH,0.74774,-0.2148,-0.288898,-5.0,-5.0,7.0991,-7.1633,1.722,-143.036,143.036,6.7151,0.0,,False,1.05895e-15,0.0
1.363,224.8,APPROACH,0.747771,-0.25244,-0.332459,-5.0,-5.0,7.3705,-6.9014,-0.4505,-143.015,143.015,6.65772,0.0,,False,5.66816e-16,0.0
1.414,224.851,APPROACH,0.747826,-0.293871,-0.380119,-5.0,-5.0,7.6329,-6.6267,-2.6378,-142.997,142.997,6.59477,0.0,,False,2.99626e-16,0.0
1.464,224.901,APPROACH,0.747897,-0.337469,-0.430009,-5.0,-5.0,7.8776,-6.3484,-4.7642,-142.983,142.983,6.52871,0.0,,False,1.60378e-16,0.0
1.515,224.952,APPROACH,0.747979,-0.384978,-0.484127,-5.0,-5.0,8.1112,-6.0601,-6.9239,-142.972,142.972,6.4569,0.0,,False,8.47779e-17,0.0
1.565,225.002,APPROACH,0.748067,-0.434536,-0.540342,-5.0,-5.0,8.2074,-5.9285,-9.0615,-142.963,142.963,6.38216,0.0,,False,4.53783e-17,0.0
1.616,225.053,APPROACH,0.748164,-0.488187,-0.600824,-5.0,-5.0,8.1575,-5.986,-11.2702,-142.954,142.954,6.30152,0.0,,False,2.39875e-17,0.0
1.666,225.103,APPROACH,0.748266,-0.543954,-0.663039,-5.0,-5.0,8.2064,-5.921,-13.4166,-142.946,142.946,6.21817,0.0,,False,1.28396e-17,0.0
1.717,225.154,APPROACH,0.748374,-0.604149,-0.729366,-5.0,-5.0,8.3779,-5.685,-15.581,-142.938,142.938,6.12877,0.0,,False,6.78717e-18,0.0
1.767,225.204,APPROACH,0.748481,-0.666434,-0.79718,-5.0,-5.0,8.5629,-5.4134,-17.7001,-142.933,142.933,6.03684,0.0,,False,3.63291e-18,0.0
1.818,225.255,APPROACH,0.74859,-0.733308,-0.86916,-5.0,-5.0,8.6254,-5.0793,-19.8576,-142.926,142.926,5.93873,0.0,,False,1.9204e-18,0.0
1.868,225.305,APPROACH,0.748708,-0.802114,-0.942397,-5.0,-5.0,7.8665,-4.2919,-21.9119,-142.856,142.856,5.83836,0.0,,False,1.02792e-18,0.0
1.919,225.356,APPROACH,0.74889,-0.875244,-1.01949,-5.0,-5.0,6.5746,-3.2986,-23.9972,-142.664,142.664,5.7322,0.0,,False,5.4337e-19,0.0
1.969,225.406,APPROACH,0.749158,-0.949298,-1.09696,-5.0,-5.0,5.3268,-2.4799,-25.9589,-142.415,142.415,5.62512,0.0,,False,2.90845e-19,0.0
2.02,225.457,APPROACH,0.749507,-1.02672,-1.17743,-5.0,-5.0,4.2273,-1.8613,-27.6759,-142.172,142.172,5.51353,0.0,,False,1.53744e-19,0.0
2.07,225.507,APPROACH,0.749887,-1.10405,-1.25738,-5.0,-5.0,3.3044,-1.4082,-29.018,-141.978,141.978,5.40238,0.0,,False,8.22933e-20,0.0
2.121,225.558,APPROACH,0.750269,-1.18404,-1.3397,-5.0,-5.0,2.4806,-1.0501,-30.0412,-141.836,141.836,5.28766,0.0,,False,4.35012e-20,0.0
2.171,225.608,APPROACH,0.750605,-1.26328,-1.42094,-5.0,-5.0,1.7637,-0.771,-30.7089,-141.745,141.745,5.17424,0.0,,False,2.32845e-20,0.0
2.222,225.659,APPROACH,0.750889,-1.34465,-1.50409,-5.0,-5.0,1.1266,-0.5413,-31.0548,-141.696,141.696,5.05796,0.0,,False,1.23085e-20,0.0
2.272,225.709,APPROACH,0.751096,-1.42478,-1.58573,-5.0,-5.0,0.5783,-0.3547,-31.0925,-141.679,141.679,4.94363,0.0,,False,6.58826e-21,0.0
2.323,225.76,APPROACH,0.751232,-1.50666,-1.669,-5.0,-5.0,0.0847,-0.1907,-30.8019,-141.686,141.686,4.8269,0.0,,False,3.48264e-21,0.0
2.373,225.81,APPROACH,0.751293,-1.58694,-1.75046,-5.0,-5.0,-0.3388,-0.0422,-30.2694,-141.708,141.708,4.71259,0.0,,False,1.86412e-21,0.0
2.423,225.86,APPROACH,0.751289,-1.66707,-1.83165,-5.0,-5.0,-0.7046,0.0931,-29.9667,-141.739,141.739,4.59857,0.0,,False,9.97792e-22,0.0
2.474,225.911,APPROACH,0.751231,-1.74852,-1.91408,-5.0,-5.0,-1.0272,0.2114,-29.948,-141.774,141.774,4.48275,0.0,,False,5.27445e-22,0.0
2.524,225.961,APPROACH,0.751131,-1.828,-1.99441,-5.0,-5.0,-1.3055,0.3093,-29.9881,-141.81,141.81,4.3698,0.0,,False,2.82321e-22,0.0
2.575,226.012,APPROACH,0.750995,-1.90859,-2.0758,-5.0,-5.0,-1.5553,0.3946,-30.0029,-141.845,141.845,4.25532,0.0,,False,1.49238e-22,0.0
2.625,226.062,APPROACH,0.750838,-1.98706,-2.15499,-5.0,-5.0,-1.774,0.4676,-30.0032,-141.876,141.876,4.1439,0.0,,False,7.98816e-23,0.0
2.676,226.113,APPROACH,0.750662,-2.06647,-2.23508,-5.0,-5.0,-1.9704,0.5324,-30.0017,-141.904,141.904,4.03118,0.0,,False,4.22264e-23,0.0
2.726,226.163,APPROACH,0.750483,-2.14364,-2.31289,-5.0,-5.0,-2.1401,0.588,-30.0016,-141.927,141.927,3.92165,0.0,,False,2.26021e-23,0.0
2.777,226.214,APPROACH,0.750299,-2.22163,-2.3915,-5.0,-5.0,-2.2988,0.6367,-30.0015,-141.948,141.948,3.81098,0.0,,False,1.19478e-23,0.0
2.827,226.264,APPROACH,0.750122,-2.29732,-2.46781,-5.0,-5.0,-2.4434,0.6773,-30.0016,-141.964,141.964,3.70357,0.0,,False,6.39518e-24,0.0
2.878,226.315,APPROACH,0.74995,-2.37372,-2.54482,-5.0,-5.0,-2.5777,0.7134,-30.0014,-141.977,141.977,3.59518,0.0,,False,3.38057e-24,0.0
2.928,226.365,APPROACH,0.749792,-2.44777,-2.61948,-5.0,-5.0,-2.6937,0.7452,-30.0016,-141.987,141.987,3.4901,0.0,,False,1.80949e-24,0.0
2.979,226.416,APPROACH,0.749641,-2.5224,-2.69473,-5.0,-5.0,-2.7983,0.772,-30.0015,-141.996,141.996,3.3842,0.0,,False,9.56519e-25,0.0
3.029,226.466,APPROACH,0.749504,-2.59465,-2.76758,-5.0,-5.0,-2.8852,0.7953,-30.0013,-142.003,142.003,3.28167,0.0,,False,5.11988e-25,0.0
3.08,226.517,APPROACH,0.749375,-2.66738,-2.84092,-5.0,-5.0,-2.9586,0.8155,-30.0008,-142.009,142.009,3.17848,0.0,,False,2.70643e-25,0.0
3.13,226.567,APPROACH,0.749259,-2.73771,-2.91184,-5.0,-5.0,-3.0174,0.8321,-30.0002,-142.013,142.013,3.0787,0.0,,False,1.44865e-25,0.0
3.181,226.618,APPROACH,0.749153,-2.80842,-2.98314,-5.0,-5.0,-3.0688,0.8469,-29.9999,-142.015,142.015,2.97837,0.0,,False,7.65773e-26,0.0
3.231,226.668,APPROACH,0.74906,-2.87673,-3.05202,-5.0,-5.0,-3.1126,0.8596,-30.0002,-142.017,142.017,2.88147,0.0,,False,4.09889e-26,0.0
