t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,8.287,IDLE,0.782222,0.0042834,-0.00264123,-5.0,-5.0,-0.0293,-0.0262,31.0372,-135.33,135.33,7.07223,0.0,,False,4.69e-05,0.0
0.052,8.339,STABILIZE,0.790789,0.00436043,-0.00261005,-5.0,-5.0,0.0883,0.0344,30.5294,-135.294,135.295,7.07231,0.0,,False,2.44839e-05,0.0
0.103,8.39,STABILIZE,0.796662,0.00446794,-0.0026071,-5.0,-5.0,0.1627,0.0719,30.2884,-135.75,135.75,7.07239,0.0,,False,1.29425e-05,0.0
0.154,8.441,STABILIZE,0.800191,0.00463598,-0.00265017,-5.0,-5.0,0.1377,0.0583,30.3279,-136.51,136.511,7.07247,0.0,,False,6.84157e-06,0.0
0.205,8.492,STABILIZE,0.801641,0.00485281,-0.00273174,-5.0,-5.0,0.0877,0.0341,30.6802,-137.426,137.426,7.07257,0.0,,False,3.61654e-06,0.0
0.257,8.544,STABILIZE,0.801316,0.00510405,-0.00283941,-5.0,-5.0,0.0486,0.0178,30.9564,-138.414,138.414,7.07267,0.0,,False,1.888e-06,0.0
0.308,8.595,STABILIZE,0.799578,0.00536649,-0.00295889,-5.0,-5.0,0.0244,0.0078,31.0014,-139.364,139.364,7.07277,0.0,,False,9.98019e-07,0.0
0.359,8.646,STABILIZE,0.796777,0.00563645,-0.00308553,-5.0,-5.0,0.0084,0.0002,30.9867,-140.247,140.247,7.07287,0.0,,False,5.27565e-07,0.0
0.411,8.698,STABILIZE,0.793158,0.00591292,-0.00321729,-5.0,-5.0,-0.0024,-0.0058,30.9775,-141.049,141.05,7.07298,0.0,,False,2.75413e-07,0.0
0.462,8.749,STABILIZE,0.789153,0.00618049,-0.00334699,-5.0,-5.0,-0.0104,-0.0104,30.9764,-141.724,141.724,7.07307,0.0,,False,1.45587e-07,0.0
0.513,8.8,STABILIZE,0.784946,0.00644158,-0.0034753,-5.0,-5.0,-0.017,-0.0137,30.977,-142.282,142.282,7.07317,0.0,,False,7.6959e-08,0.0
0.564,8.851,STABILIZE,0.780747,0.00669363,-0.00360014,-5.0,-5.0,-0.0217,-0.016,30.9772,-142.722,142.722,7.07326,0.0,,False,4.06815e-08,0.0
0.616,8.903,APPROACH,0.776647,0.00693953,-0.00371936,-5.0,-5.0,0.0348,-0.0662,30.9724,-143.055,143.055,7.07335,0.0,,False,2.12376e-08,0.0
0.667,8.954,APPROACH,0.772933,0.00716292,-0.00385969,-5.0,-5.0,1.1508,-0.7142,30.821,-143.281,143.281,7.07341,0.0,,False,1.12264e-08,0.0
0.718,9.005,APPROACH,0.769609,0.00738156,-0.00461294,-5.0,-5.0,2.476,-2.0946,30.3279,-143.445,143.445,7.07303,0.0,,False,5.93444e-09,0.0
0.77,9.057,APPROACH,0.766654,0.00734752,-0.00688411,-5.0,-5.0,2.9243,-4.2274,29.4449,-143.591,143.591,7.0714,0.0,,False,3.09805e-09,0.0
0.821,9.108,APPROACH,0.764173,0.00629383,-0.011227,-5.0,-5.0,3.1059,-6.9983,28.2099,-143.773,143.773,7.06759,0.0,,False,1.63767e-09,0.0
0.872,9.159,APPROACH,0.762042,0.00309789,-0.0183116,-5.0,-5.0,3.3669,-9.2452,26.6724,-144.061,144.061,7.06033,0.0,,False,8.65691e-10,0.0
0.923,9.21,APPROACH,0.760208,-0.00317553,-0.0286487,-5.0,-5.0,3.6889,-9.8988,24.9053,-144.343,144.343,7.04859,0.0,,False,4.57615e-10,0.0
0.975,9.262,APPROACH,0.758686,-0.0130381,-0.0427023,-5.0,-5.0,4.026,-9.375,22.865,-144.455,144.455,7.03168,0.0,,False,2.38896e-10,0.0
1.026,9.313,APPROACH,0.757605,-0.0259423,-0.0598572,-5.0,-5.0,4.3802,-8.964,20.5883,-144.401,144.401,7.01044,0.0,,False,1.26283e-10,0.0
