t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,8.3,STABILIZE,0.783382,0.00400579,-0.0024231,-5.0,-5.0,-0.0226,-0.0249,31.2148,-135.81,135.81,7.07219,0.0,,False,4.03438e-05,0.0
0.051,8.351,STABILIZE,0.791017,0.00409852,-0.00241102,-5.0,-5.0,0.0857,0.0314,30.6606,-135.758,135.758,7.07226,0.0,,False,2.13262e-05,0.0
0.103,8.403,STABILIZE,0.796425,0.00422501,-0.00242715,-5.0,-5.0,0.1518,0.067,30.3886,-136.193,136.194,7.07234,0.0,,False,1.11333e-05,0.0
0.154,8.454,STABILIZE,0.799556,0.0044064,-0.00248655,-5.0,-5.0,0.1258,0.0542,30.4092,-136.901,136.901,7.07243,0.0,,False,5.88518e-06,0.0
0.205,8.505,STABILIZE,0.80079,0.00463296,-0.00258121,-5.0,-5.0,0.0795,0.0316,30.7596,-137.747,137.748,7.07252,0.0,,False,3.11098e-06,0.0
0.257,8.557,STABILIZE,0.80041,0.00489159,-0.00269992,-5.0,-5.0,0.0427,0.017,31.1215,-138.652,138.653,7.07262,0.0,,False,1.62407e-06,0.0
0.308,8.608,STABILIZE,0.79876,0.00515983,-0.00282823,-5.0,-5.0,0.0174,0.0088,31.2023,-139.52,139.52,7.07272,0.0,,False,8.58505e-07,0.0
0.359,8.659,STABILIZE,0.796163,0.00543446,-0.00296094,-5.0,-5.0,-0.0001,0.0015,31.1892,-140.322,140.322,7.07282,0.0,,False,4.53816e-07,0.0
0.41,8.71,STABILIZE,0.792914,0.00570894,-0.00309279,-5.0,-5.0,-0.0126,-0.0051,31.177,-141.033,141.033,7.07292,0.0,,False,2.39893e-07,0.0
0.462,8.762,STABILIZE,0.789206,0.005983,-0.00322359,-5.0,-5.0,-0.0205,-0.0109,31.1745,-141.649,141.649,7.07302,0.0,,False,1.25235e-07,0.0
