t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,8.294,STABILIZE,0.782421,0.00416178,-0.00267569,-5.0,-5.0,-0.0283,-0.0266,31.0603,-135.324,135.324,7.07212,0.0,,False,4.62662e-05,0.0
0.051,8.345,STABILIZE,0.79079,0.00424493,-0.00263993,-5.0,-5.0,0.092,0.0312,30.5582,-135.258,135.258,7.0722,0.0,,False,2.44569e-05,0.0
0.102,8.396,STABILIZE,0.796641,0.00435999,-0.00263384,-5.0,-5.0,0.1634,0.065,30.3198,-135.716,135.716,7.07229,0.0,,False,1.29282e-05,0.0
0.154,8.448,STABILIZE,0.800182,0.00453716,-0.00267666,-5.0,-5.0,0.136,0.0516,30.3721,-136.499,136.499,7.07239,0.0,,False,6.74912e-06,0.0
0.205,8.499,STABILIZE,0.801552,0.00475757,-0.00275838,-5.0,-5.0,0.0861,0.0295,30.7406,-137.426,137.426,7.07248,0.0,,False,3.56767e-06,0.0
0.256,8.55,STABILIZE,0.801167,0.00500537,-0.00286439,-5.0,-5.0,0.0481,0.0151,31.0246,-138.402,138.403,7.07258,0.0,,False,1.88591e-06,0.0
0.307,8.601,STABILIZE,0.799377,0.00526795,-0.00298442,-5.0,-5.0,0.0239,0.0063,31.0738,-139.359,139.359,7.07268,0.0,,False,9.96917e-07,0.0
0.359,8.653,STABILIZE,0.796458,0.00554272,-0.00311428,-5.0,-5.0,0.0079,-0.0007,31.0583,-140.265,140.265,7.07279,0.0,,False,5.20437e-07,0.0
0.41,8.704,STABILIZE,0.79285,0.00581307,-0.00324425,-5.0,-5.0,-0.0027,-0.0064,31.0488,-141.056,141.056,7.07289,0.0,,False,2.75109e-07,0.0
0.461,8.755,STABILIZE,0.788795,0.00607954,-0.00337467,-5.0,-5.0,-0.011,-0.0107,31.0474,-141.734,141.734,7.07298,0.0,,False,1.45426e-07,0.0
0.513,8.807,STABILIZE,0.784461,0.00634426,-0.00350605,-5.0,-5.0,-0.018,-0.0135,31.048,-142.303,142.303,7.07308,0.0,,False,7.59191e-08,0.0
0.564,8.858,STABILIZE,0.780225,0.00659463,-0.00363099,-5.0,-5.0,-0.0229,-0.0153,31.0482,-142.742,142.742,7.07317,0.0,,False,4.01318e-08,0.0
0.615,8.909,APPROACH,0.776172,0.00683424,-0.003747,-5.0,-5.0,0.0408,-0.0714,31.0429,-143.068,143.068,7.07325,0.0,,False,2.12141e-08,0.0
0.666,8.96,APPROACH,0.772431,0.00705584,-0.00389019,-5.0,-5.0,1.1815,-0.7351,30.8864,-143.293,143.293,7.07331,0.0,,False,1.12141e-08,0.0
0.718,9.012,APPROACH,0.769022,0.00727565,-0.00469065,-5.0,-5.0,2.4968,-2.1665,30.3736,-143.46,143.46,7.0729,0.0,,False,5.85425e-09,0.0
0.769,9.063,APPROACH,0.76611,0.00722358,-0.00696585,-5.0,-5.0,2.9148,-4.2803,29.4985,-143.603,143.603,7.07126,0.0,,False,3.09463e-09,0.0
0.82,9.114,APPROACH,0.763617,0.00613389,-0.011349,-5.0,-5.0,3.0972,-7.0614,28.259,-143.786,143.786,7.06739,0.0,,False,1.63586e-09,0.0
0.872,9.166,APPROACH,0.761437,0.00278468,-0.0186573,-5.0,-5.0,3.3663,-9.3037,26.6874,-144.081,144.081,7.05986,0.0,,False,8.53993e-10,0.0
0.923,9.217,APPROACH,0.759603,-0.00362622,-0.0291198,-5.0,-5.0,3.6887,-9.8902,24.9158,-144.357,144.357,7.04794,0.0,,False,4.51431e-10,0.0
0.974,9.268,APPROACH,0.758115,-0.0134002,-0.0429945,-5.0,-5.0,4.0186,-9.3641,22.9118,-144.459,144.459,7.03122,0.0,,False,2.38632e-10,0.0
