t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.732,STABILIZE,0.791507,0.00431226,-0.00247904,-5.0,-5.0,-0.0217,-0.0256,30.2099,-135.398,135.398,7.07237,0.0,,False,1.78427e-05,0.0
0.051,7.783,STABILIZE,0.79811,0.00436884,-0.00245791,-5.0,-5.0,0.0954,0.0439,29.9354,-135.883,135.883,7.07242,0.0,,False,9.43187e-06,0.0
0.103,7.835,STABILIZE,0.802395,0.00446289,-0.00246415,-5.0,-5.0,0.1663,0.0844,29.848,-136.656,136.657,7.07248,0.0,,False,4.92387e-06,0.0
0.154,7.886,STABILIZE,0.80446,0.00462067,-0.00251392,-5.0,-5.0,0.1402,0.0688,30.0448,-137.56,137.56,7.07256,0.0,,False,2.60282e-06,0.0
0.205,7.937,STABILIZE,0.804718,0.00483201,-0.0026003,-5.0,-5.0,0.0904,0.0425,30.1879,-138.514,138.514,7.07265,0.0,,False,1.37588e-06,0.0
0.256,7.988,STABILIZE,0.803499,0.005077,-0.00271052,-5.0,-5.0,0.0516,0.0234,30.2094,-139.457,139.457,7.07274,0.0,,False,7.27308e-07,0.0
0.309,8.041,STABILIZE,0.801019,0.00535123,-0.00283905,-5.0,-5.0,0.026,0.0104,30.2007,-140.375,140.376,7.07285,0.0,,False,3.74971e-07,0.0
0.36,8.092,STABILIZE,0.797782,0.00562376,-0.0029702,-5.0,-5.0,0.0097,0.0017,30.1961,-141.176,141.176,7.07295,0.0,,False,1.98215e-07,0.0
0.411,8.143,STABILIZE,0.793997,0.00589864,-0.00310469,-5.0,-5.0,-0.0026,-0.005,30.1956,-141.876,141.877,7.07305,0.0,,False,1.04779e-07,0.0
0.462,8.194,STABILIZE,0.78991,0.00617098,-0.00323912,-5.0,-5.0,-0.0119,-0.0102,30.1959,-142.469,142.469,7.07314,0.0,,False,5.53873e-08,0.0
0.514,8.246,STABILIZE,0.785653,0.00644163,-0.00337388,-5.0,-5.0,-0.0189,-0.0141,30.196,-142.959,142.96,7.07324,0.0,,False,2.89147e-08,0.0
0.565,8.297,APPROACH,0.781567,0.00669682,-0.00350184,-5.0,-5.0,-0.0215,-0.0188,30.1959,-143.333,143.333,7.07333,0.0,,False,1.52847e-08,0.0
0.616,8.348,APPROACH,0.777706,0.00693798,-0.00361599,-5.0,-5.0,0.682,-0.4466,30.1149,-143.608,143.608,7.07342,0.0,,False,8.07966e-09,0.0
0.668,8.4,APPROACH,0.774106,0.00716979,-0.0041186,-5.0,-5.0,2.2779,-1.6458,29.7183,-143.816,143.816,7.07323,0.0,,False,4.21795e-09,0.0
0.719,8.451,APPROACH,0.770947,0.00726688,-0.0058976,-5.0,-5.0,2.9776,-3.5394,28.9546,-143.995,143.995,7.07204,0.0,,False,2.22966e-09,0.0
0.77,8.502,APPROACH,0.768164,0.0066125,-0.00965044,-5.0,-5.0,3.1868,-6.1182,27.8225,-144.196,144.196,7.06893,0.0,,False,1.17863e-09,0.0
0.821,8.553,APPROACH,0.765723,0.00415181,-0.0159973,-5.0,-5.0,3.4158,-8.7288,26.3577,-144.492,144.492,7.06271,0.0,,False,6.23037e-10,0.0
0.873,8.605,APPROACH,0.763528,-0.00134205,-0.0257389,-5.0,-5.0,3.7301,-9.8287,24.6209,-144.831,144.831,7.05194,0.0,,False,3.25254e-10,0.0
0.924,8.656,APPROACH,0.761687,-0.0101397,-0.0387542,-5.0,-5.0,4.0557,-9.4858,22.6972,-145.023,145.023,7.03652,0.0,,False,1.71933e-10,0.0
0.975,8.707,APPROACH,0.760239,-0.0222164,-0.0551591,-5.0,-5.0,4.3975,-8.9939,20.4988,-145.028,145.028,7.01639,0.0,,False,9.08859e-11,0.0
1.027,8.759,APPROACH,0.759202,-0.0377512,-0.0753062,-5.0,-5.0,4.7766,-8.7456,18.0416,-144.933,144.933,6.99117,0.0,,False,4.74466e-11,0.0
1.078,8.81,APPROACH,0.758584,-0.0561195,-0.0984059,-5.0,-5.0,5.1619,-8.5601,15.5411,-144.802,144.802,6.96187,0.0,,False,2.50809e-11,0.0
1.129,8.861,APPROACH,0.758313,-0.0775956,-0.124819,-5.0,-5.0,5.5406,-8.3499,13.0329,-144.654,144.654,6.92802,0.0,,False,1.32581e-11,0.0
1.18,8.912,APPROACH,0.758335,-0.102176,-0.154544,-5.0,-5.0,5.9026,-8.1177,10.5622,-144.5,144.5,6.88964,0.0,,False,7.00837e-12,0.0
1.232,8.964,APPROACH,0.758601,-0.13042,-0.188257,-5.0,-5.0,6.2513,-7.8697,8.1038,-144.345,144.345,6.84585,0.0,,False,3.65869e-12,0.0
1.283,9.015,APPROACH,0.759046,-0.16123,-0.224651,-5.0,-5.0,6.5734,-7.6197,5.7573,-144.203,144.203,6.79836,0.0,,False,1.93403e-12,0.0
1.334,9.066,APPROACH,0.759623,-0.195119,-0.264334,-5.0,-5.0,6.8768,-7.3636,3.4699,-144.074,144.074,6.74636,0.0,,False,1.02235e-12,0.0
1.385,9.117,APPROACH,0.760287,-0.232074,-0.3073,-5.0,-5.0,7.1633,-7.1011,1.2309,-143.96,143.96,6.68988,0.0,,False,5.40428e-13,0.0
1.437,9.169,APPROACH,0.761011,-0.272904,-0.354475,-5.0,-5.0,7.4397,-6.8263,-1.0151,-143.862,143.862,6.62769,0.0,,False,2.82128e-13,0.0
1.488,9.22,APPROACH,0.76173,-0.316038,-0.404023,-5.0,-5.0,7.697,-6.5493,-3.1939,-143.785,143.785,6.5622,0.0,,False,1.49136e-13,0.0
1.539,9.271,APPROACH,0.76243,-0.362223,-0.456805,-5.0,-5.0,7.9419,-6.264,-5.3592,-143.725,143.725,6.49227,0.0,,False,7.88353e-14,0.0
1.591,9.323,APPROACH,0.763104,-0.412467,-0.513937,-5.0,-5.0,8.125,-6.0343,-7.5712,-143.68,143.68,6.4164,0.0,,False,4.11556e-14,0.0
1.642,9.374,APPROACH,0.763705,-0.464876,-0.573196,-5.0,-5.0,8.1178,-6.0399,-9.7741,-143.651,143.651,6.3375,0.0,,False,2.17554e-14,0.0
1.693,9.425,APPROACH,0.764242,-0.520516,-0.635506,-5.0,-5.0,8.1083,-6.0532,-11.9775,-143.633,143.633,6.25417,0.0,,False,1.15002e-14,0.0
1.744,9.476,APPROACH,0.764712,-0.579504,-0.700725,-5.0,-5.0,8.2533,-5.8616,-14.1494,-143.625,143.625,6.1664,0.0,,False,6.07912e-15,0.0
1.796,9.528,APPROACH,0.765122,-0.643139,-0.770179,-5.0,-5.0,8.4538,-5.5802,-16.352,-143.624,143.624,6.07237,0.0,,False,3.17358e-15,0.0
1.847,9.579,APPROACH,0.765456,-0.708984,-0.841191,-5.0,-5.0,8.6231,-5.2955,-18.5148,-143.63,143.63,5.97566,0.0,,False,1.67759e-15,0.0
1.898,9.63,APPROACH,0.765724,-0.778233,-0.91506,-5.0,-5.0,8.1502,-4.6458,-20.6288,-143.608,143.608,5.87453,0.0,,False,8.86797e-16,0.0
