t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.812,STABILIZE,0.78374,0.0042453,-0.0024452,-5.0,-5.0,-0.0214,-0.0264,31.209,-135.803,135.803,7.07234,0.0,,False,3.90946e-05,0.0
0.051,7.863,STABILIZE,0.791274,0.00431577,-0.00242014,-5.0,-5.0,0.0955,0.0391,30.663,-135.773,135.773,7.07241,0.0,,False,2.06659e-05,0.0
0.103,7.915,STABILIZE,0.796585,0.00442469,-0.002425,-5.0,-5.0,0.1608,0.0756,30.3993,-136.226,136.226,7.07248,0.0,,False,1.07885e-05,0.0
0.154,7.966,STABILIZE,0.799633,0.00459386,-0.00247476,-5.0,-5.0,0.1326,0.0598,30.429,-136.942,136.942,7.07257,0.0,,False,5.70295e-06,0.0
0.206,8.018,STABILIZE,0.800804,0.00481625,-0.00256303,-5.0,-5.0,0.0839,0.0344,30.7965,-137.807,137.807,7.07266,0.0,,False,2.9772e-06,0.0
0.257,8.069,STABILIZE,0.800364,0.00506361,-0.00267249,-5.0,-5.0,0.0458,0.0189,31.1456,-138.694,138.694,7.07276,0.0,,False,1.57378e-06,0.0
0.309,8.121,STABILIZE,0.798632,0.00533192,-0.00279682,-5.0,-5.0,0.0207,0.0095,31.2232,-139.573,139.573,7.07286,0.0,,False,8.21588e-07,0.0
0.36,8.172,STABILIZE,0.795994,0.00560257,-0.0029243,-5.0,-5.0,0.0052,0.0026,31.2089,-140.368,140.368,7.07296,0.0,,False,4.34301e-07,0.0
0.411,8.223,STABILIZE,0.792722,0.00587467,-0.00305263,-5.0,-5.0,-0.0048,-0.0034,31.1967,-141.071,141.071,7.07307,0.0,,False,2.29577e-07,0.0
0.463,8.275,STABILIZE,0.789004,0.00614874,-0.00318245,-5.0,-5.0,-0.0115,-0.0092,31.1943,-141.679,141.679,7.07317,0.0,,False,1.1985e-07,0.0
0.514,8.326,STABILIZE,0.785213,0.0064112,-0.00330769,-5.0,-5.0,-0.0175,-0.0136,31.195,-142.164,142.164,7.07327,0.0,,False,6.3354e-08,0.0
0.565,8.377,STABILIZE,0.781465,0.00666453,-0.00342935,-5.0,-5.0,-0.0219,-0.0166,31.1954,-142.54,142.54,7.07336,0.0,,False,3.34897e-08,0.0
0.616,8.428,APPROACH,0.777908,0.00690659,-0.00353702,-5.0,-5.0,0.1967,-0.1695,31.1753,-142.814,142.814,7.07345,0.0,,False,1.77031e-08,0.0
0.668,8.48,APPROACH,0.774592,0.00713705,-0.00376534,-5.0,-5.0,1.6267,-1.0447,30.9332,-143.004,143.004,7.07346,0.0,,False,9.24182e-09,0.0
0.719,8.531,APPROACH,0.77171,0.00734132,-0.00486347,-5.0,-5.0,2.6448,-2.6321,30.3328,-143.148,143.148,7.07283,0.0,,False,4.88534e-09,0.0
0.77,8.582,APPROACH,0.769214,0.0071297,-0.00759795,-5.0,-5.0,2.9384,-4.9168,29.3659,-143.286,143.286,7.07074,0.0,,False,2.58245e-09,0.0
0.822,8.634,APPROACH,0.767045,0.00558038,-0.0127025,-5.0,-5.0,3.135,-7.8166,28.011,-143.498,143.498,7.06604,0.0,,False,1.34816e-09,0.0
0.873,8.685,APPROACH,0.76521,0.00158618,-0.0206377,-5.0,-5.0,3.4201,-9.6056,26.4067,-143.803,143.803,7.05761,0.0,,False,7.12653e-10,0.0
0.924,8.736,APPROACH,0.763638,-0.0056186,-0.0318898,-5.0,-5.0,3.7461,-9.8103,24.579,-144.051,144.051,7.04457,0.0,,False,3.76717e-10,0.0
0.975,8.787,APPROACH,0.762393,-0.0161459,-0.0465267,-5.0,-5.0,4.0783,-9.2447,22.5021,-144.111,144.111,7.02678,0.0,,False,1.99137e-10,0.0
1.027,8.839,APPROACH,0.761515,-0.0301091,-0.0648476,-5.0,-5.0,4.4486,-8.9093,20.1192,-144.037,144.036,7.00397,0.0,,False,1.03959e-10,0.0
1.078,8.89,APPROACH,0.761023,-0.046898,-0.0861144,-5.0,-5.0,4.8368,-8.7236,17.6425,-143.913,143.913,6.97707,0.0,,False,5.49539e-11,0.0
1.129,8.941,APPROACH,0.760847,-0.0667508,-0.110645,-5.0,-5.0,5.228,-8.5322,15.1271,-143.774,143.774,6.9457,0.0,,False,2.90493e-11,0.0
1.18,8.992,APPROACH,0.760932,-0.0896706,-0.13844,-5.0,-5.0,5.6016,-8.3137,12.6324,-143.63,143.63,6.90986,0.0,,False,1.53558e-11,0.0
1.232,9.044,APPROACH,0.76123,-0.116195,-0.170143,-5.0,-5.0,5.9608,-8.0756,10.142,-143.489,143.489,6.8687,0.0,,False,8.01644e-12,0.0
1.283,9.095,APPROACH,0.761674,-0.145295,-0.204531,-5.0,-5.0,6.2968,-7.8344,7.7637,-143.361,143.361,6.82383,0.0,,False,4.23759e-12,0.0
1.334,9.146,APPROACH,0.762221,-0.177438,-0.242176,-5.0,-5.0,6.6154,-7.5877,5.4488,-143.248,143.248,6.77451,0.0,,False,2.24004e-12,0.0
1.386,9.198,APPROACH,0.762839,-0.213335,-0.2839,-5.0,-5.0,6.9186,-7.3282,3.1446,-143.151,143.151,6.71965,0.0,,False,1.1694e-12,0.0
1.437,9.249,APPROACH,0.763468,-0.251608,-0.328094,-5.0,-5.0,7.2008,-7.0654,0.9271,-143.074,143.074,6.66138,0.0,,False,6.18161e-13,0.0
1.488,9.3,APPROACH,0.764092,-0.292904,-0.375521,-5.0,-5.0,7.4706,-6.7965,-1.2613,-143.013,143.013,6.59868,0.0,,False,3.26768e-13,0.0
1.539,9.351,APPROACH,0.764686,-0.337223,-0.426169,-5.0,-5.0,7.7271,-6.5209,-3.4316,-142.969,142.969,6.53157,0.0,,False,1.72733e-13,0.0
1.591,9.403,APPROACH,0.765241,-0.385521,-0.481103,-5.0,-5.0,7.9724,-6.2322,-5.6348,-142.94,142.94,6.45863,0.0,,False,9.01747e-14,0.0
1.642,9.454,APPROACH,0.765725,-0.435937,-0.538198,-5.0,-5.0,8.0864,-6.0857,-7.8131,-142.924,142.924,6.38266,0.0,,False,4.76675e-14,0.0
1.693,9.505,APPROACH,0.766146,-0.489444,-0.598401,-5.0,-5.0,8.0451,-6.1327,-10.0195,-142.917,142.917,6.30232,0.0,,False,2.51976e-14,0.0
1.745,9.557,APPROACH,0.766502,-0.547335,-0.662833,-5.0,-5.0,8.1016,-6.0639,-12.2513,-142.92,142.92,6.21589,0.0,,False,1.31543e-14,0.0
1.796,9.608,APPROACH,0.766785,-0.607478,-0.728908,-5.0,-5.0,8.2827,-5.8238,-14.4156,-142.929,142.929,6.1267,0.0,,False,6.95353e-15,0.0
1.847,9.659,APPROACH,0.76701,-0.670969,-0.797805,-5.0,-5.0,8.4853,-5.5404,-16.577,-142.942,142.942,6.03315,0.0,,False,3.67572e-15,0.0
1.898,9.71,APPROACH,0.767183,-0.737826,-0.869529,-5.0,-5.0,8.5699,-5.2035,-18.7362,-142.955,142.955,5.93523,0.0,,False,1.94303e-15,0.0
1.95,9.762,APPROACH,0.767319,-0.809429,-0.945526,-5.0,-5.0,7.7965,-4.371,-20.8735,-142.904,142.904,5.83092,0.0,,False,1.01435e-15,0.0
2.001,9.813,APPROACH,0.767469,-0.882652,-1.02256,-5.0,-5.0,6.5055,-3.3603,-22.9652,-142.731,142.731,5.72474,0.0,,False,5.36199e-16,0.0
2.052,9.864,APPROACH,0.767678,-0.95827,-1.10156,-5.0,-5.0,5.2396,-2.5114,-25.0611,-142.494,142.494,5.61546,0.0,,False,2.83441e-16,0.0
2.104,9.916,APPROACH,0.767942,-1.03731,-1.18369,-5.0,-5.0,4.1241,-1.8698,-26.9808,-142.262,142.262,5.50156,0.0,,False,1.47969e-16,0.0
2.155,9.967,APPROACH,0.768215,-1.1163,-1.26539,-5.0,-5.0,3.1773,-1.4037,-28.5155,-142.077,142.077,5.38799,0.0,,False,7.82184e-17,0.0
2.206,10.018,APPROACH,0.768464,-1.19641,-1.34795,-5.0,-5.0,2.3422,-1.0472,-29.6979,-141.944,141.944,5.27303,0.0,,False,4.13472e-17,0.0
2.257,10.069,APPROACH,0.768662,-1.27734,-1.43108,-5.0,-5.0,1.6027,-0.7683,-30.5332,-141.86,141.86,5.15707,0.0,,False,2.18566e-17,0.0
2.309,10.121,APPROACH,0.768794,-1.36043,-1.5162,-5.0,-5.0,0.9416,-0.5403,-31.032,-141.818,141.818,5.03819,0.0,,False,1.14102e-17,0.0
2.36,10.172,APPROACH,0.768844,-1.44227,-1.59981,-5.0,-5.0,0.379,-0.3546,-31.2016,-141.809,141.809,4.92125,0.0,,False,6.03155e-18,0.0
2.411,10.223,APPROACH,0.768816,-1.52426,-1.6834,-5.0,-5.0,-0.111,-0.1934,-31.151,-141.825,141.825,4.80423,0.0,,False,3.18835e-18,0.0
2.463,10.275,APPROACH,0.768712,-1.60781,-1.76843,-5.0,-5.0,-0.5443,-0.0478,-30.8548,-141.858,141.858,4.68508,0.0,,False,1.66447e-18,0.0
2.514,10.326,APPROACH,0.768548,-1.68957,-1.85151,-5.0,-5.0,-0.9074,0.0832,-30.2958,-141.9,141.9,4.56858,0.0,,False,8.79857e-19,0.0
2.565,10.377,APPROACH,0.768336,-1.771,-1.93416,-5.0,-5.0,-1.2174,0.2,-29.9645,-141.946,141.946,4.45262,0.0,,False,4.65103e-19,0.0
2.616,10.428,APPROACH,0.768088,-1.85198,-2.01627,-5.0,-5.0,-1.4813,0.2953,-29.9407,-141.992,141.992,4.33736,0.0,,False,2.45859e-19,0.0
2.668,10.48,APPROACH,0.767814,-1.93398,-2.09934,-5.0,-5.0,-1.7096,0.3737,-29.9877,-142.036,142.036,4.2207,0.0,,False,1.2835e-19,0.0
2.719,10.531,APPROACH,0.767536,-2.01374,-2.18011,-5.0,-5.0,-1.8999,0.4372,-30.0033,-142.076,142.076,4.10725,0.0,,False,6.78473e-20,0.0
2.77,10.582,APPROACH,0.767263,-2.0928,-2.26013,-5.0,-5.0,-2.0673,0.4908,-30.0032,-142.109,142.109,3.99484,0.0,,False,3.58649e-20,0.0
2.822,10.634,APPROACH,0.766997,-2.1726,-2.34088,-5.0,-5.0,-2.2135,0.5375,-30.0016,-142.136,142.136,3.88138,0.0,,False,1.87231e-20,0.0
2.873,10.685,APPROACH,0.766757,-2.25004,-2.41922,-5.0,-5.0,-2.3342,0.5765,-30.001,-142.156,142.156,3.7713,0.0,,False,9.89728e-21,0.0
2.924,10.736,APPROACH,0.766542,-2.32663,-2.49669,-5.0,-5.0,-2.443,0.6115,-30.0008,-142.171,142.171,3.66244,0.0,,False,5.23182e-21,0.0
2.975,10.787,APPROACH,0.766356,-2.40236,-2.57325,-5.0,-5.0,-2.546,0.6471,-30.0009,-142.181,142.181,3.55483,0.0,,False,2.76561e-21,0.0
3.027,10.839,APPROACH,0.766198,-2.47866,-2.65035,-5.0,-5.0,-2.6398,0.6825,-30.001,-142.186,142.186,3.44645,0.0,,False,1.44377e-21,0.0
3.078,10.89,APPROACH,0.766074,-2.55257,-2.72502,-5.0,-5.0,-2.7258,0.7137,-30.0014,-142.188,142.188,3.34147,0.0,,False,7.63196e-22,0.0
3.129,10.941,APPROACH,0.76598,-2.62555,-2.79874,-5.0,-5.0,-2.8081,0.7418,-30.002,-142.187,142.187,3.23784,0.0,,False,4.03435e-22,0.0
3.18,10.992,APPROACH,0.765915,-2.69757,-2.87148,-5.0,-5.0,-2.884,0.767,-30.0019,-142.183,142.183,3.13557,0.0,,False,2.13261e-22,0.0
3.232,11.044,APPROACH,0.765875,-2.76999,-2.94462,-5.0,-5.0,-2.952,0.7886,-30.0018,-142.178,142.178,3.03274,0.0,,False,1.11332e-22,0.0
3.283,11.095,APPROACH,0.765859,-2.84,-3.01535,-5.0,-5.0,-3.0169,0.8048,-30.0016,-142.172,142.172,2.93333,0.0,,False,5.88514e-23,0.0
3.334,11.146,APPROACH,0.765862,-2.90899,-3.08506,-5.0,-5.0,-3.0772,0.8185,-30.0014,-142.166,142.166,2.83537,0.0,,False,3.11096e-23,0.0
3.386,11.198,APPROACH,0.76588,-2.97826,-3.15506,-5.0,-5.0,-3.1308,0.8323,-30.001,-142.16,142.16,2.73701,0.0,,False,1.62406e-23,0.0
3.437,11.249,APPROACH,0.76591,-3.04514,-3.22264,-5.0,-5.0,-3.1796,0.8448,-30.0005,-142.154,142.154,2.64206,0.0,,False,8.58499e-24,0.0
3.488,11.3,APPROACH,0.765951,-3.11095,-3.28917,-5.0,-5.0,-3.2248,0.856,-30.0002,-142.149,142.149,2.54861,0.0,,False,4.53813e-24,0.0
3.539,11.351,APPROACH,0.765999,-3.17568,-3.35463,-5.0,-5.0,-3.2639,0.8648,-30.0003,-142.144,142.144,2.4567,0.0,,False,2.39891e-24,0.0
3.591,11.403,APPROACH,0.76605,-3.24055,-3.42026,-5.0,-5.0,-3.302,0.8713,-30.0005,-142.14,142.14,2.36458,0.0,,False,1.25234e-24,0.0
3.642,11.454,APPROACH,0.766104,-3.30305,-3.48351,-5.0,-5.0,-3.3334,0.8767,-30.0005,-142.136,142.136,2.27583,0.0,,False,6.62003e-25,0.0
3.693,11.505,APPROACH,0.766162,-3.36443,-3.54566,-5.0,-5.0,-3.3615,0.8814,-30.0005,-142.132,142.132,2.18865,0.0,,False,3.49943e-25,0.0
3.745,11.557,APPROACH,0.766223,-3.42586,-3.60788,-5.0,-5.0,-3.441,0.6957,-29.9906,-142.128,142.128,2.10141,0.0,,False,1.82686e-25,0.0
3.796,11.608,APPROACH,0.766284,-3.48503,-3.6677,-5.0,-5.0,-3.6133,0.1842,-29.9731,-142.126,142.126,2.01747,0.0,,False,9.65702e-26,0.0
3.847,11.659,APPROACH,0.766341,-3.54329,-3.72614,-5.0,-5.0,-3.8102,-0.35,-29.9687,-142.13,142.13,1.93513,0.0,,False,5.10482e-26,0.0
3.898,11.71,APPROACH,0.76639,-3.60079,-3.78301,-5.0,-5.0,-3.9747,-0.737,-29.9762,-142.142,142.142,1.85441,0.0,,False,2.69847e-26,0.0
3.95,11.762,APPROACH,0.766422,-3.65876,-3.83922,-5.0,-5.0,-4.0022,-0.7165,-30.0006,-142.157,142.157,1.77379,0.0,,False,1.40873e-26,0.0
4.001,11.813,APPROACH,0.766442,-3.71496,-3.8926,-5.0,-5.0,-3.9303,-0.4255,-30.0186,-142.164,142.164,1.69636,0.0,,False,7.4467e-27,0.0
4.052,11.864,APPROACH,0.766454,-3.77043,-3.94436,-5.0,-5.0,-3.8556,-0.1259,-30.0199,-142.165,142.165,1.62056,0.0,,False,3.93641e-27,0.0
4.104,11.916,APPROACH,0.766461,-3.82612,-3.99557,-5.0,-5.0,-3.8006,0.1136,-30.0142,-142.163,142.163,1.54495,0.0,,False,2.05499e-27,0.0
4.155,11.967,APPROACH,0.766465,-3.87982,-4.04433,-5.0,-5.0,-3.7615,0.2988,-30.0102,-142.162,142.162,1.47245,0.0,,False,1.08629e-27,0.0
4.206,12.018,APPROACH,0.766465,-3.93253,-4.09171,-5.0,-5.0,-3.7351,0.4519,-30.0084,-142.161,142.161,1.4016,0.0,,False,5.74227e-28,0.0
4.257,12.069,APPROACH,0.766462,-3.98421,-4.13774,-5.0,-5.0,-3.7197,0.5792,-30.0073,-142.161,142.161,1.33241,0.0,,False,3.03544e-28,0.0
4.309,12.121,APPROACH,0.766458,-4.0358,-4.18334,-5.0,-5.0,-3.7101,0.691,-30.0065,-142.162,142.162,1.26357,0.0,,False,1.58464e-28,0.0
4.36,12.172,APPROACH,0.766451,-4.08528,-4.22677,-5.0,-5.0,-3.7047,0.7877,-30.0061,-142.164,142.164,1.19774,0.0,,False,8.37659e-29,0.0
4.411,12.223,APPROACH,0.766445,-4.13362,-4.26895,-5.0,-5.0,-3.7052,0.8717,-30.0051,-142.166,142.166,1.1336,0.0,,False,4.42797e-29,0.0
4.463,12.275,APPROACH,0.766441,-4.18169,-4.31069,-5.0,-5.0,-3.7088,0.9446,-30.0042,-142.167,142.167,1.06994,0.0,,False,2.3116e-29,0.0
4.514,12.326,APPROACH,0.766437,-4.22761,-4.35037,-5.0,-5.0,-3.714,1.003,-30.0034,-142.169,142.169,1.00926,0.0,,False,1.22194e-29,0.0
4.565,12.377,APPROACH,0.766433,-4.27229,-4.38884,-5.0,-5.0,-3.5323,0.9817,-29.9988,-142.168,142.168,0.950308,0.0,,False,6.45933e-30,0.0
4.616,12.428,APPROACH,0.76643,-4.31578,-4.42614,-5.0,-5.0,-3.0804,0.8535,-29.9933,-142.153,142.153,0.893011,0.0,,False,3.41448e-30,0.0
4.668,12.48,APPROACH,0.766437,-4.35907,-4.46315,-5.0,-5.0,-2.5888,0.708,-29.9929,-142.125,142.125,0.836065,0.0,,False,1.78252e-30,0.0
4.719,12.531,APPROACH,0.766454,-4.40065,-4.49858,-5.0,-5.0,-2.1847,0.5864,-29.9951,-142.094,142.094,0.781432,0.0,,False,9.4226e-31,0.0
4.77,12.582,APPROACH,0.766479,-4.44152,-4.53331,-5.0,-5.0,-2.3045,0.6569,-30.0026,-142.07,142.07,0.727807,0.0,,False,4.9809e-31,0.0
4.822,12.634,APPROACH,0.766503,-4.48239,-4.56795,-5.0,-5.0,-3.4393,1.1072,-30.019,-142.08,142.08,0.674232,0.0,,False,2.60026e-31,0.0
4.873,12.685,APPROACH,0.766501,-4.52126,-4.60085,-5.0,-5.0,-4.651,1.5766,-30.0288,-142.145,142.145,0.623309,0.0,,False,1.37453e-31,0.0
4.924,12.736,APPROACH,0.766453,-4.55848,-4.6323,-5.0,-5.0,-5.4568,1.8876,-30.0248,-142.248,142.248,0.57458,0.0,,False,7.26593e-32,0.0
4.975,12.787,APPROACH,0.766361,-4.59375,-4.66206,-5.0,-5.0,-5.8557,2.0477,-30.0142,-142.354,142.354,0.528431,0.0,,False,3.84086e-32,0.0
5.027,12.839,APPROACH,0.766238,-4.62754,-4.69056,-5.0,-5.0,-5.9829,2.1106,-30.0048,-142.438,142.438,0.484231,0.0,,False,2.0051e-32,0.0
5.078,12.89,APPROACH,0.766114,-4.65851,-4.71665,-5.0,-5.0,-5.9404,2.108,-29.999,-142.488,142.488,0.44374,0.0,,False,1.05992e-32,0.0
5.129,12.941,APPROACH,0.766006,-4.68733,-4.74091,-5.0,-5.0,-5.7944,2.0631,-29.9954,-142.506,142.506,0.406062,0.0,,False,5.60288e-33,0.0
5.18,12.992,APPROACH,0.765926,-4.71406,-4.7634,-5.0,-5.0,-5.5737,1.9909,-29.9933,-142.497,142.497,0.371137,0.0,,False,2.96175e-33,0.0
5.232,13.044,APPROACH,0.765882,-4.73923,-4.78456,-5.0,-5.0,-5.2954,1.8999,-29.9921,-142.467,142.466,0.338256,0.0,,False,1.54617e-33,0.0
5.283,13.095,APPROACH,0.765875,-4.76197,-4.80366,-5.0,-5.0,-4.9935,1.7975,-29.9915,-142.423,142.423,0.308555,0.0,,False,8.17325e-34,0.0
5.334,13.146,APPROACH,0.765902,-4.78289,-4.82123,-5.0,-5.0,-4.6805,1.6865,-29.9914,-142.373,142.373,0.281234,0.0,,False,4.32048e-34,0.0
5.386,13.198,APPROACH,0.765956,-4.80246,-4.83768,-5.0,-5.0,-4.3608,1.5666,-29.9913,-142.319,142.319,0.255672,0.0,,False,2.25549e-34,0.0
5.437,13.249,APPROACH,0.766031,-4.82005,-4.85248,-5.0,-5.0,-4.0535,1.4482,-29.9918,-142.267,142.267,0.232692,0.0,,False,1.19228e-34,0.0
5.488,13.3,APPROACH,0.766121,-4.83616,-4.86604,-5.0,-5.0,-3.76,1.3347,-29.9929,-142.218,142.218,0.21163,0.0,,False,6.30253e-35,0.0
5.539,13.351,APPROACH,0.766218,-4.85092,-4.87846,-5.0,-5.0,-3.4795,1.23,-29.9941,-142.175,142.175,0.192343,0.0,,False,3.33159e-35,0.0
5.591,13.403,APPROACH,0.766319,-4.86468,-4.89003,-5.0,-5.0,-3.2043,1.1337,-29.9951,-142.136,142.136,0.17437,0.0,,False,1.73925e-35,0.0
5.642,13.454,APPROACH,0.766413,-4.87701,-4.90038,-5.0,-5.0,-2.9435,1.0485,-29.9962,-142.105,142.105,0.158278,0.0,,False,9.19386e-36,0.0
5.693,13.505,APPROACH,0.766496,-4.88827,-4.90981,-5.0,-5.0,-2.6972,0.9687,-29.9971,-142.08,142.08,0.143589,0.0,,False,4.85999e-36,0.0
5.745,13.557,APPROACH,0.766564,-4.89876,-4.91856,-5.0,-5.0,-2.461,0.8925,-29.9976,-142.061,142.061,0.129934,0.0,,False,2.53714e-36,0.0
5.796,13.608,ALIGN,0.766614,-4.90813,-4.92638,-5.0,-5.0,-2.2481,0.8222,-29.9981,-142.048,142.048,0.117725,0.0,,False,1.34116e-36,0.0
5.847,13.659,ALIGN,0.766649,-4.91669,-4.93351,-5.0,-5.0,-2.055,0.756,-29.9984,-142.039,142.039,0.106585,0.0,,False,7.08955e-37,0.0
5.898,13.71,ALIGN,0.766669,-4.92451,-4.94002,-5.0,-5.0,-1.8811,0.6934,-29.9985,-142.033,142.033,0.0964203,0.0,,False,3.74762e-37,0.0
5.95,13.762,ALIGN,0.766673,-4.93177,-4.94607,-5.0,-5.0,-1.7224,0.635,-29.9986,-142.03,142.03,0.0869673,0.0,,False,1.95643e-37,0.0
6.001,13.813,ALIGN,0.766661,-4.93827,-4.95148,-5.0,-5.0,-1.5801,0.5822,-29.9988,-142.031,142.031,0.0785136,0.0,,False,1.03419e-37,0.0
6.052,13.864,ALIGN,0.766636,-4.9442,-4.95642,-5.0,-5.0,-1.4498,0.5326,-29.9986,-142.033,142.033,0.0708003,0.0,,False,5.46687e-38,0.0
6.104,13.916,ALIGN,0.766604,-4.94972,-4.961,-5.0,-5.0,-1.3254,0.487,-29.9986,-142.035,142.035,0.0636343,0.0,,False,2.85396e-38,0.0
6.155,13.967,ALIGN,0.766571,-4.95464,-4.9651,-5.0,-5.0,-1.2118,0.4454,-29.999,-142.036,142.036,0.0572331,0.0,,False,1.50864e-38,0.0
6.206,14.018,ALIGN,0.766539,-4.95913,-4.96883,-5.0,-5.0,-1.1064,0.4071,-29.9992,-142.035,142.035,0.0513989,0.0,,False,7.97484e-39,0.0
6.257,14.069,ALIGN,0.766509,-4.96322,-4.97224,-5.0,-5.0,-1.0102,0.3728,-29.9993,-142.034,142.034,0.0460828,0.0,,False,4.2156e-39,0.0
6.309,14.121,ALIGN,0.766481,-4.96702,-4.97539,-5.0,-5.0,-0.9211,0.341,-29.9995,-142.033,142.033,0.0411493,0.0,,False,2.20074e-39,0.0
6.36,14.172,ALIGN,0.766455,-4.97041,-4.97821,-5.0,-5.0,-0.8415,0.3111,-29.9996,-142.032,142.032,0.0367475,0.0,,False,1.16334e-39,0.0
6.411,14.223,ALIGN,0.766429,-4.9735,-4.98077,-5.0,-5.0,-0.7655,0.2828,-29.9995,-142.032,142.032,0.0327435,0.0,,False,6.14954e-40,0.0
6.463,14.275,ALIGN,0.766402,-4.97636,-4.98314,-5.0,-5.0,-0.6939,0.2573,-29.9992,-142.032,142.032,0.0290337,0.0,,False,3.21034e-40,0.0
6.514,14.326,ALIGN,0.766376,-4.97892,-4.98526,-5.0,-5.0,-0.6317,0.234,-29.9993,-142.033,142.033,0.0257274,0.0,,False,1.69702e-40,0.0
6.565,14.377,ALIGN,0.766354,-4.98124,-4.98719,-5.0,-5.0,-0.5761,0.2111,-29.9994,-142.033,142.033,0.0227196,0.0,,False,8.97068e-41,0.0
6.616,14.428,ALIGN,0.766334,-4.98335,-4.98894,-5.0,-5.0,-0.5277,0.192,-29.9997,-142.032,142.032,0.0199829,0.0,,False,4.74201e-41,0.0
6.668,14.48,ALIGN,0.766314,-4.98532,-4.99057,-5.0,-5.0,-0.4803,0.1741,-29.9996,-142.032,142.032,0.0174483,0.0,,False,2.47555e-41,0.0
6.719,14.531,ALIGN,0.766292,-4.98707,-4.99203,-5.0,-5.0,-0.4358,0.1574,-29.9997,-142.034,142.034,0.0151926,0.0,,False,1.3086e-41,0.0
6.77,14.582,ALIGN,0.766265,-4.98866,-4.99335,-5.0,-5.0,-0.3979,0.1434,-29.9997,-142.037,142.037,0.0131443,0.0,,False,6.91745e-42,0.0
6.822,14.634,ALIGN,0.766237,-4.99014,-4.99458,-5.0,-5.0,-0.3643,0.1298,-29.9998,-142.039,142.039,0.0112512,0.0,,False,3.61122e-42,0.0
