t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.726,STABILIZE,0.783841,0.00421929,-0.00268257,-5.0,-5.0,-0.0273,-0.0234,31.1996,-135.815,135.815,7.07216,0.0,,False,3.86487e-05,0.0
0.051,7.777,STABILIZE,0.791341,0.00429829,-0.00264998,-5.0,-5.0,0.0958,0.0375,30.6554,-135.795,135.795,7.07224,0.0,,False,2.04302e-05,0.0
0.102,7.828,STABILIZE,0.796543,0.00441251,-0.00264724,-5.0,-5.0,0.1654,0.0705,30.3955,-136.236,136.236,7.07232,0.0,,False,1.07996e-05,0.0
0.154,7.88,STABILIZE,0.799651,0.0045917,-0.00269327,-5.0,-5.0,0.1369,0.0549,30.4259,-136.96,136.961,7.07241,0.0,,False,5.63791e-06,0.0
0.205,7.931,STABILIZE,0.800802,0.00481575,-0.00277793,-5.0,-5.0,0.0865,0.0312,30.7865,-137.806,137.806,7.07251,0.0,,False,2.98027e-06,0.0
0.256,7.982,STABILIZE,0.800381,0.00506808,-0.00288674,-5.0,-5.0,0.0486,0.0157,31.1357,-138.693,138.693,7.07261,0.0,,False,1.57541e-06,0.0
0.308,8.034,STABILIZE,0.798669,0.00534096,-0.00301216,-5.0,-5.0,0.0246,0.0064,31.2139,-139.569,139.569,7.07272,0.0,,False,8.22434e-07,0.0
0.359,8.085,STABILIZE,0.796048,0.0056158,-0.00314282,-5.0,-5.0,0.0082,-0.0012,31.1998,-140.363,140.363,7.07282,0.0,,False,4.34749e-07,0.0
0.411,8.137,STABILIZE,0.792723,0.0058967,-0.00327892,-5.0,-5.0,-0.0042,-0.007,31.1878,-141.077,141.078,7.07292,0.0,,False,2.26959e-07,0.0
0.462,8.188,STABILIZE,0.789087,0.00616775,-0.00341245,-5.0,-5.0,-0.0137,-0.0119,31.1856,-141.673,141.673,7.07302,0.0,,False,1.19973e-07,0.0
0.513,8.239,STABILIZE,0.785307,0.00643097,-0.00354369,-5.0,-5.0,-0.0208,-0.0159,31.1857,-142.159,142.159,7.07311,0.0,,False,6.34193e-08,0.0
0.565,8.291,STABILIZE,0.781496,0.00668826,-0.00367305,-5.0,-5.0,-0.026,-0.0187,31.1857,-142.542,142.542,7.0732,0.0,,False,3.31078e-08,0.0
0.616,8.342,APPROACH,0.77795,0.00692755,-0.00378481,-5.0,-5.0,0.1915,-0.173,31.1655,-142.814,142.814,7.07329,0.0,,False,1.75012e-08,0.0
0.667,8.393,APPROACH,0.774705,0.00714814,-0.00400623,-5.0,-5.0,1.5922,-1.0312,30.9308,-143.0,143.0,7.07329,0.0,,False,9.25134e-09,0.0
0.718,8.444,APPROACH,0.771825,0.00734425,-0.00508253,-5.0,-5.0,2.632,-2.6174,30.335,-143.144,143.144,7.07267,0.0,,False,4.89037e-09,0.0
0.77,8.496,APPROACH,0.769286,0.00711382,-0.00786038,-5.0,-5.0,2.9366,-4.9542,29.3474,-143.286,143.286,7.07055,0.0,,False,2.553e-09,0.0
0.821,8.547,APPROACH,0.767162,0.00557774,-0.0128557,-5.0,-5.0,3.1277,-7.8064,28.0156,-143.494,143.494,7.06593,0.0,,False,1.34955e-09,0.0
0.872,8.598,APPROACH,0.765327,0.00158603,-0.0207509,-5.0,-5.0,3.4131,-9.6098,26.4106,-143.801,143.801,7.05753,0.0,,False,7.13386e-10,0.0
0.924,8.65,APPROACH,0.763725,-0.00579438,-0.032215,-5.0,-5.0,3.7463,-9.8225,24.5422,-144.054,144.054,7.04422,0.0,,False,3.7242e-10,0.0
0.975,8.701,APPROACH,0.762483,-0.0163954,-0.0468771,-5.0,-5.0,4.0819,-9.246,22.4575,-144.113,144.113,7.02636,0.0,,False,1.96866e-10,0.0
1.026,8.752,APPROACH,0.761622,-0.030136,-0.0648382,-5.0,-5.0,4.4468,-8.9103,20.1187,-144.039,144.039,7.00395,0.0,,False,1.04066e-10,0.0
1.077,8.803,APPROACH,0.761126,-0.0469412,-0.0860648,-5.0,-5.0,4.8345,-8.7237,17.6439,-143.915,143.915,6.97707,0.0,,False,5.50104e-11,0.0
1.129,8.855,APPROACH,0.760946,-0.067231,-0.111068,-5.0,-5.0,5.2314,-8.5303,15.0831,-143.772,143.772,6.94506,0.0,,False,2.8718e-11,0.0
1.18,8.906,APPROACH,0.761033,-0.0902288,-0.138884,-5.0,-5.0,5.604,-8.3122,12.5938,-143.629,143.629,6.90915,0.0,,False,1.51807e-11,0.0
1.231,8.957,APPROACH,0.761325,-0.116292,-0.169966,-5.0,-5.0,5.9556,-8.0788,10.1571,-143.49,143.49,6.86876,0.0,,False,8.02469e-12,0.0
1.283,9.009,APPROACH,0.761777,-0.146014,-0.205016,-5.0,-5.0,6.2943,-7.8342,7.7381,-143.36,143.36,6.82298,0.0,,False,4.18926e-12,0.0
1.334,9.06,APPROACH,0.762324,-0.178237,-0.242677,-5.0,-5.0,6.6084,-7.5875,5.4291,-143.247,143.247,6.77359,0.0,,False,2.21449e-12,0.0
