t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,8.393,STABILIZE,0.791271,0.00431379,-0.00247946,-5.0,-5.0,-0.0219,-0.0257,30.208,-135.369,135.369,7.07237,0.0,,False,1.8217e-05,0.0
0.051,8.444,STABILIZE,0.797954,0.00437029,-0.00245834,-5.0,-5.0,0.0953,0.0438,29.9347,-135.84,135.84,7.07242,0.0,,False,9.62972e-06,0.0
0.103,8.496,STABILIZE,0.802305,0.0044641,-0.00246445,-5.0,-5.0,0.1663,0.0844,29.8478,-136.609,136.609,7.07248,0.0,,False,5.02716e-06,0.0
0.154,8.547,STABILIZE,0.804418,0.00462164,-0.00251401,-5.0,-5.0,0.1403,0.0688,30.0445,-137.512,137.512,7.07256,0.0,,False,2.65742e-06,0.0
0.205,8.598,STABILIZE,0.804708,0.0048327,-0.0026002,-5.0,-5.0,0.0905,0.0425,30.1863,-138.47,138.47,7.07265,0.0,,False,1.40474e-06,0.0
0.257,8.65,STABILIZE,0.80347,0.00508247,-0.00271253,-5.0,-5.0,0.0511,0.0232,30.2074,-139.437,139.437,7.07275,0.0,,False,7.3334e-07,0.0
0.308,8.701,STABILIZE,0.801085,0.0053461,-0.00283604,-5.0,-5.0,0.0265,0.0107,30.1989,-140.328,140.328,7.07285,0.0,,False,3.87653e-07,0.0
0.359,8.752,STABILIZE,0.797854,0.00561832,-0.00296698,-5.0,-5.0,0.0101,0.0019,30.1943,-141.138,141.138,7.07295,0.0,,False,2.04918e-07,0.0
0.41,8.803,STABILIZE,0.794061,0.00589306,-0.00310135,-5.0,-5.0,-0.0022,-0.0048,30.1937,-141.847,141.847,7.07304,0.0,,False,1.08322e-07,0.0
0.462,8.855,STABILIZE,0.789875,0.00617069,-0.00323837,-5.0,-5.0,-0.0118,-0.0102,30.194,-142.458,142.458,7.07314,0.0,,False,5.65491e-08,0.0
0.513,8.906,STABILIZE,0.785674,0.00643614,-0.00337057,-5.0,-5.0,-0.0187,-0.014,30.1941,-142.945,142.945,7.07324,0.0,,False,2.98926e-08,0.0
0.564,8.957,APPROACH,0.781557,0.00669151,-0.00349869,-5.0,-5.0,-0.0221,-0.0179,30.194,-143.326,143.326,7.07333,0.0,,False,1.58016e-08,0.0
