t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,8.294,STABILIZE,0.783559,0.00424582,-0.00244462,-5.0,-5.0,-0.0214,-0.0264,31.2027,-135.805,135.805,7.07234,0.0,,False,3.976e-05,0.0
0.051,8.345,STABILIZE,0.791144,0.00431624,-0.00241969,-5.0,-5.0,0.0954,0.0391,30.6587,-135.759,135.759,7.07241,0.0,,False,2.10176e-05,0.0
0.102,8.396,STABILIZE,0.796421,0.0044224,-0.0024241,-5.0,-5.0,0.1606,0.0755,30.3987,-136.188,136.188,7.07248,0.0,,False,1.11102e-05,0.0
0.154,8.448,STABILIZE,0.799587,0.00459418,-0.00247443,-5.0,-5.0,0.1326,0.0598,30.4289,-136.909,136.909,7.07257,0.0,,False,5.80002e-06,0.0
0.205,8.499,STABILIZE,0.800777,0.00481184,-0.00256073,-5.0,-5.0,0.0847,0.0348,30.7893,-137.758,137.758,7.07266,0.0,,False,3.06596e-06,0.0
0.256,8.55,STABILIZE,0.800379,0.00505863,-0.00266983,-5.0,-5.0,0.0463,0.0191,31.1385,-138.649,138.649,7.07276,0.0,,False,1.62071e-06,0.0
0.307,8.601,STABILIZE,0.798717,0.00532133,-0.00279146,-5.0,-5.0,0.0215,0.0098,31.2168,-139.517,139.517,7.07286,0.0,,False,8.56725e-07,0.0
0.359,8.653,STABILIZE,0.796047,0.005597,-0.00292127,-5.0,-5.0,0.0055,0.0028,31.2027,-140.335,140.335,7.07296,0.0,,False,4.4725e-07,0.0
0.41,8.704,STABILIZE,0.792775,0.00586901,-0.00304955,-5.0,-5.0,-0.0046,-0.0033,31.1905,-141.045,141.045,7.07306,0.0,,False,2.36422e-07,0.0
0.461,8.755,STABILIZE,0.789121,0.00613786,-0.00317687,-5.0,-5.0,-0.0112,-0.0089,31.188,-141.649,141.649,7.07316,0.0,,False,1.24975e-07,0.0
0.513,8.807,STABILIZE,0.78524,0.00640563,-0.00330465,-5.0,-5.0,-0.0173,-0.0135,31.1887,-142.15,142.15,7.07326,0.0,,False,6.52429e-08,0.0
0.564,8.858,STABILIZE,0.781471,0.00665911,-0.0034264,-5.0,-5.0,-0.0218,-0.0165,31.1892,-142.532,142.532,7.07336,0.0,,False,3.44882e-08,0.0
0.615,8.909,APPROACH,0.77789,0.00690145,-0.00353462,-5.0,-5.0,0.1813,-0.1603,31.1707,-142.81,142.81,7.07345,0.0,,False,1.82309e-08,0.0
0.666,8.96,APPROACH,0.774609,0.00712739,-0.00374553,-5.0,-5.0,1.5664,-0.9969,30.943,-143.0,143.0,7.07346,0.0,,False,9.63707e-09,0.0
0.718,9.012,APPROACH,0.771641,0.00733856,-0.00482786,-5.0,-5.0,2.6351,-2.5941,30.342,-143.149,143.149,7.07285,0.0,,False,5.03099e-09,0.0
0.769,9.063,APPROACH,0.769123,0.00714227,-0.0075249,-5.0,-5.0,2.9362,-4.8653,29.3821,-143.287,143.287,7.0708,0.0,,False,2.65945e-09,0.0
0.82,9.114,APPROACH,0.766973,0.00567928,-0.0124555,-5.0,-5.0,3.1267,-7.7134,28.0628,-143.491,143.491,7.06629,0.0,,False,1.40582e-09,0.0
0.872,9.166,APPROACH,0.765083,0.00169346,-0.0204532,-5.0,-5.0,3.4149,-9.5855,26.4341,-143.801,143.801,7.05782,0.0,,False,7.339e-10,0.0
0.923,9.217,APPROACH,0.763497,-0.00544552,-0.0316399,-5.0,-5.0,3.7407,-9.8192,24.6107,-144.052,144.052,7.04487,0.0,,False,3.87949e-10,0.0
0.974,9.268,APPROACH,0.762237,-0.01591,-0.0462128,-5.0,-5.0,4.0725,-9.2537,22.5394,-144.116,144.116,7.02717,0.0,,False,2.05074e-10,0.0
1.025,9.319,APPROACH,0.76136,-0.0295148,-0.0640868,-5.0,-5.0,4.4348,-8.9175,20.2081,-144.044,144.044,7.00492,0.0,,False,1.08405e-10,0.0
1.077,9.371,APPROACH,0.760845,-0.0465419,-0.0856746,-5.0,-5.0,4.8301,-8.7265,17.6855,-143.919,143.919,6.97763,0.0,,False,5.65923e-11,0.0
1.128,9.422,APPROACH,0.760662,-0.0663354,-0.110144,-5.0,-5.0,5.2215,-8.5357,15.1701,-143.779,143.779,6.94635,0.0,,False,2.99154e-11,0.0
1.179,9.473,APPROACH,0.760744,-0.089196,-0.137877,-5.0,-5.0,5.5954,-8.3176,12.6747,-143.635,143.634,6.91059,0.0,,False,1.58136e-11,0.0
1.231,9.525,APPROACH,0.761039,-0.11566,-0.169517,-5.0,-5.0,5.9549,-8.0796,10.1831,-143.492,143.492,6.86952,0.0,,False,8.25544e-12,0.0
1.282,9.576,APPROACH,0.761483,-0.144702,-0.203843,-5.0,-5.0,6.2913,-7.8385,7.8035,-143.363,143.363,6.82474,0.0,,False,4.36393e-12,0.0
1.333,9.627,APPROACH,0.762031,-0.176786,-0.241426,-5.0,-5.0,6.6102,-7.5919,5.4874,-143.25,143.25,6.7755,0.0,,False,2.30683e-12,0.0
1.384,9.678,APPROACH,0.762639,-0.211904,-0.282255,-5.0,-5.0,6.9081,-7.3376,3.2261,-143.154,143.154,6.72183,0.0,,False,1.21942e-12,0.0
1.436,9.73,APPROACH,0.763283,-0.250838,-0.327221,-5.0,-5.0,7.1962,-7.0698,0.9641,-143.074,143.074,6.66254,0.0,,False,6.36591e-13,0.0
1.487,9.781,APPROACH,0.76391,-0.292076,-0.374587,-5.0,-5.0,7.4662,-6.8011,-1.2248,-143.012,143.012,6.59992,0.0,,False,3.3651e-13,0.0
1.538,9.832,APPROACH,0.764508,-0.336336,-0.425174,-5.0,-5.0,7.723,-6.5257,-3.3953,-142.968,142.968,6.5329,0.0,,False,1.77883e-13,0.0
1.59,9.884,APPROACH,0.765066,-0.384575,-0.480046,-5.0,-5.0,7.9688,-6.2367,-5.5986,-142.938,142.938,6.46004,0.0,,False,9.28633e-14,0.0
1.641,9.935,APPROACH,0.765554,-0.434933,-0.537081,-5.0,-5.0,8.0866,-6.0856,-7.7762,-142.922,142.922,6.38416,0.0,,False,4.90887e-14,0.0
1.692,9.986,APPROACH,0.765977,-0.488378,-0.597225,-5.0,-5.0,8.0464,-6.131,-9.9824,-142.915,142.915,6.3039,0.0,,False,2.59489e-14,0.0
1.743,10.037,APPROACH,0.76633,-0.545059,-0.660335,-5.0,-5.0,8.0968,-6.0701,-12.1722,-142.917,142.917,6.21926,0.0,,False,1.37169e-14,0.0
1.795,10.089,APPROACH,0.766621,-0.606282,-0.727621,-5.0,-5.0,8.2793,-5.8285,-14.3795,-142.926,142.926,6.12846,0.0,,False,7.16085e-15,0.0
1.846,10.14,APPROACH,0.766848,-0.669708,-0.796464,-5.0,-5.0,8.4821,-5.5452,-16.5408,-142.939,142.939,6.03499,0.0,,False,3.78531e-15,0.0
1.897,10.191,APPROACH,0.767022,-0.736499,-0.868134,-5.0,-5.0,8.5751,-5.2131,-18.7007,-142.953,142.953,5.93715,0.0,,False,2.00096e-15,0.0
1.948,10.242,APPROACH,0.767155,-0.806632,-0.942593,-5.0,-5.0,7.8414,-4.4094,-20.7982,-142.907,142.907,5.83497,0.0,,False,1.05773e-15,0.0
