t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,261.926,STABILIZE,0.787208,0.00432747,-0.00174541,-5.0,-5.0,-0.0235,-0.0219,30.293,-135.034,135.034,7.07289,0.0,,False,2.44238e-05,0.0
0.052,261.978,STABILIZE,0.79517,0.00438101,-0.0017901,-5.0,-5.0,0.081,0.063,29.9966,-135.3,135.3,7.0729,0.0,,False,1.27504e-05,0.0
0.105,262.031,STABILIZE,0.800537,0.00447809,-0.00185315,-5.0,-5.0,0.1328,0.105,29.8989,-135.996,135.996,7.07293,0.0,,False,6.57358e-06,0.0
0.157,262.083,STABILIZE,0.803347,0.00464217,-0.0019423,-5.0,-5.0,0.1061,0.0827,30.1077,-136.912,136.912,7.07298,0.0,,False,3.43171e-06,0.0
0.208,262.134,STABILIZE,0.804056,0.00485521,-0.00205093,-5.0,-5.0,0.065,0.0519,30.2729,-137.913,137.913,7.07305,0.0,,False,1.81404e-06,0.0
0.258,262.184,STABILIZE,0.803115,0.00509562,-0.00217007,-5.0,-5.0,0.0345,0.0307,30.3004,-138.908,138.908,7.07314,0.0,,False,9.70988e-07,0.0
0.31,262.236,STABILIZE,0.800777,0.00536442,-0.00229917,-5.0,-5.0,0.0144,0.0158,30.2914,-139.902,139.902,7.07324,0.0,,False,5.069e-07,0.0
0.363,262.289,STABILIZE,0.797331,0.00564725,-0.00243066,-5.0,-5.0,0.0018,0.0046,30.2857,-140.829,140.829,7.07334,0.0,,False,2.61338e-07,0.0
0.415,262.341,STABILIZE,0.793242,0.00592729,-0.00255785,-5.0,-5.0,-0.0069,-0.004,30.2851,-141.632,141.632,7.07345,0.0,,False,1.3643e-07,0.0
0.465,262.391,STABILIZE,0.788923,0.00619354,-0.00267781,-5.0,-5.0,-0.0136,-0.0101,30.2853,-142.293,142.293,7.07356,0.0,,False,7.30259e-08,0.0
0.516,262.442,STABILIZE,0.784364,0.00645811,-0.00279744,-5.0,-5.0,-0.0191,-0.0141,30.2855,-142.851,142.851,7.07366,0.0,,False,3.86024e-08,0.0
0.568,262.494,STABILIZE,0.779757,0.00671778,-0.00291539,-5.0,-5.0,-0.0233,-0.0167,30.2855,-143.301,143.301,7.07376,0.0,,False,2.01522e-08,0.0
