t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,322.623,STABILIZE,0.786514,0.00513622,-0.00351284,-5.0,-5.0,-0.0726,0.0325,30.3149,-134.967,134.967,7.07222,0.0,,False,2.50846e-05,0.0
0.053,322.676,STABILIZE,0.794799,0.00507923,-0.00353224,-5.0,-5.0,0.0905,0.1173,30.0076,-135.214,135.215,7.07216,0.0,,False,1.29327e-05,0.0
0.105,322.728,STABILIZE,0.800199,0.00508955,-0.00359751,-5.0,-5.0,0.169,0.1567,29.9078,-135.888,135.889,7.07213,0.0,,False,6.75144e-06,0.0
0.158,322.781,STABILIZE,0.803165,0.00520476,-0.00373196,-5.0,-5.0,0.1202,0.1319,30.1203,-136.824,136.824,7.07211,0.0,,False,3.48078e-06,0.0
0.21,322.833,STABILIZE,0.803916,0.00540256,-0.00391833,-5.0,-5.0,0.0454,0.0972,30.2945,-137.853,137.853,7.07212,0.0,,False,1.81712e-06,0.0
0.261,322.884,STABILIZE,0.802929,0.00564846,-0.00413589,-5.0,-5.0,-0.0106,0.0736,30.3225,-138.88,138.88,7.07214,0.0,,False,9.60555e-07,0.0
0.311,322.934,STABILIZE,0.800651,0.00591889,-0.00436826,-5.0,-5.0,-0.0481,0.0589,30.3135,-139.846,139.847,7.07217,0.0,,False,5.14148e-07,0.0
0.363,322.986,STABILIZE,0.797252,0.00620703,-0.00460057,-5.0,-5.0,-0.0665,0.0483,30.3076,-140.771,140.771,7.07221,0.0,,False,2.68409e-07,0.0
0.416,323.039,STABILIZE,0.793052,0.00650343,-0.00481441,-5.0,-5.0,-0.0697,0.0367,30.3068,-141.603,141.603,7.07227,0.0,,False,1.38381e-07,0.0
0.468,323.091,STABILIZE,0.78851,0.00678594,-0.0050023,-5.0,-5.0,-0.0678,0.0269,30.3071,-142.297,142.297,7.07233,0.0,,False,7.22412e-08,0.0
0.518,323.141,STABILIZE,0.78399,0.00704273,-0.00516578,-5.0,-5.0,-0.0639,0.0228,30.3073,-142.849,142.849,7.0724,0.0,,False,3.86679e-08,0.0
0.569,323.192,STABILIZE,0.779423,0.00729121,-0.00532272,-5.0,-5.0,-0.0625,0.0215,30.3073,-143.295,143.295,7.07247,0.0,,False,2.04403e-08,0.0
0.621,323.244,APPROACH,0.774976,0.00753225,-0.00546519,-5.0,-5.0,0.1888,-0.15,30.2836,-143.637,143.637,7.07254,0.0,,False,1.06708e-08,0.0
0.674,323.297,APPROACH,0.770791,0.00776439,-0.00575629,-5.0,-5.0,1.7186,-1.0794,30.0197,-143.886,143.886,7.07249,0.0,,False,5.50144e-09,0.0
0.726,323.349,APPROACH,0.767104,0.00796567,-0.00703437,-5.0,-5.0,2.805,-2.7478,29.3794,-144.083,144.083,7.07173,0.0,,False,2.87201e-09,0.0
0.779,323.402,APPROACH,0.7638,0.00767615,-0.0102192,-5.0,-5.0,3.1134,-5.1898,28.3315,-144.276,144.276,7.06928,0.0,,False,1.48069e-09,0.0
0.831,323.454,APPROACH,0.76099,0.00590807,-0.0158541,-5.0,-5.0,3.3184,-8.0663,26.9298,-144.536,144.536,7.06405,0.0,,False,7.7299e-10,0.0
0.883,323.506,APPROACH,0.758541,0.00142832,-0.0246445,-5.0,-5.0,3.6162,-9.6765,25.2592,-144.873,144.873,7.05468,0.0,,False,4.03536e-10,0.0
0.936,323.559,APPROACH,0.756407,-0.00667659,-0.0372449,-5.0,-5.0,3.9546,-9.6596,23.324,-145.117,145.117,7.04004,0.0,,False,2.08047e-10,0.0
0.988,323.611,APPROACH,0.754749,-0.0181351,-0.0532076,-5.0,-5.0,4.2968,-9.0951,21.1529,-145.148,145.148,7.02066,0.0,,False,1.0861e-10,0.0
1.041,323.664,APPROACH,0.753554,-0.0331898,-0.0730592,-5.0,-5.0,4.677,-8.7958,18.6861,-145.05,145.05,6.996,0.0,,False,5.59952e-11,0.0
1.093,323.716,APPROACH,0.752839,-0.0512211,-0.0960259,-5.0,-5.0,5.0693,-8.6065,16.1469,-144.905,144.905,6.96702,0.0,,False,2.92321e-11,0.0
1.143,323.766,APPROACH,0.752526,-0.0716094,-0.121369,-5.0,-5.0,5.4436,-8.4075,13.6841,-144.747,144.747,6.9347,0.0,,False,1.56468e-11,0.0
1.194,323.817,APPROACH,0.752526,-0.0954887,-0.150511,-5.0,-5.0,5.8101,-8.1796,11.2024,-144.579,144.579,6.89723,0.0,,False,8.27109e-12,0.0
1.246,323.869,APPROACH,0.752796,-0.12304,-0.183641,-5.0,-5.0,6.1637,-7.9341,8.7296,-144.41,144.41,6.85435,0.0,,False,4.31789e-12,0.0
1.299,323.922,APPROACH,0.753289,-0.154436,-0.22095,-5.0,-5.0,6.503,-7.6763,6.2779,-144.248,144.248,6.80579,0.0,,False,2.22613e-12,0.0
1.351,323.974,APPROACH,0.753924,-0.188478,-0.261023,-5.0,-5.0,6.8159,-7.4168,3.936,-144.104,144.104,6.75342,0.0,,False,1.16214e-12,0.0
1.404,324.027,APPROACH,0.754669,-0.226474,-0.305397,-5.0,-5.0,7.1164,-7.1455,1.6029,-143.977,143.977,6.69521,0.0,,False,5.99156e-13,0.0
1.456,324.079,APPROACH,0.75545,-0.26699,-0.352381,-5.0,-5.0,7.3951,-6.8722,-0.6468,-143.872,143.872,6.63338,0.0,,False,3.12787e-13,0.0
1.508,324.131,APPROACH,0.756244,-0.310706,-0.402762,-5.0,-5.0,7.6594,-6.591,-2.8704,-143.786,143.786,6.56689,0.0,,False,1.63289e-13,0.0
1.561,324.184,APPROACH,0.757032,-0.358549,-0.457611,-5.0,-5.0,7.9154,-6.2958,-5.1214,-143.719,143.719,6.49433,0.0,,False,8.41854e-14,0.0
1.613,324.236,APPROACH,0.757762,-0.408704,-0.514853,-5.0,-5.0,8.0955,-6.072,-7.3341,-143.67,143.67,6.41845,0.0,,False,4.39486e-14,0.0
1.666,324.289,APPROACH,0.758446,-0.463135,-0.576625,-5.0,-5.0,8.0805,-6.0873,-9.6243,-143.635,143.635,6.33635,0.0,,False,2.26582e-14,0.0
1.718,324.341,APPROACH,0.759052,-0.519927,-0.640417,-5.0,-5.0,8.0717,-6.0999,-11.8699,-143.612,143.612,6.25116,0.0,,False,1.18286e-14,0.0
1.768,324.391,APPROACH,0.759567,-0.577817,-0.70457,-5.0,-5.0,8.2178,-5.9093,-13.9979,-143.6,143.6,6.16493,0.0,,False,6.3314e-15,0.0
1.819,324.442,APPROACH,0.760022,-0.640211,-0.772798,-5.0,-5.0,8.4185,-5.6313,-16.157,-143.596,143.596,6.07264,0.0,,False,3.34686e-15,0.0
1.871,324.494,APPROACH,0.76041,-0.707314,-0.845268,-5.0,-5.0,8.5935,-5.3378,-18.3611,-143.601,143.601,5.97402,0.0,,False,1.74721e-15,0.0
1.924,324.547,APPROACH,0.760728,-0.779329,-0.922135,-5.0,-5.0,8.0793,-4.6416,-20.5549,-143.574,143.574,5.86882,0.0,,False,9.00794e-16,0.0
1.976,324.599,APPROACH,0.761015,-0.853257,-1.00022,-5.0,-5.0,6.836,-3.6129,-22.6763,-143.426,143.426,5.7614,0.0,,False,4.70256e-16,0.0
2.029,324.652,APPROACH,0.76134,-0.931337,-1.082,-5.0,-5.0,5.4987,-2.6742,-24.8521,-143.189,143.189,5.64843,0.0,,False,2.42445e-16,0.0
2.081,324.704,APPROACH,0.761692,-1.01002,-1.16386,-5.0,-5.0,4.3614,-1.9865,-26.7967,-142.954,142.954,5.53497,0.0,,False,1.26568e-16,0.0
2.133,324.756,APPROACH,0.762044,-1.09029,-1.24691,-5.0,-5.0,3.3928,-1.4818,-28.3905,-142.76,142.76,5.41955,0.0,,False,6.60741e-17,0.0
2.186,324.809,APPROACH,0.762363,-1.17334,-1.33244,-5.0,-5.0,2.532,-1.0908,-29.6372,-142.62,142.62,5.30041,0.0,,False,3.40652e-17,0.0
2.238,324.861,APPROACH,0.762603,-1.2557,-1.41694,-5.0,-5.0,1.788,-0.7931,-30.4953,-142.536,142.536,5.18248,0.0,,False,1.77836e-17,0.0
2.291,324.914,APPROACH,0.762756,-1.34026,-1.50342,-5.0,-5.0,1.1216,-0.5538,-31.003,-142.497,142.497,5.0616,0.0,,False,9.16853e-18,0.0
2.343,324.966,APPROACH,0.762811,-1.42357,-1.58839,-5.0,-5.0,0.5536,-0.3636,-31.1635,-142.493,142.493,4.94266,0.0,,False,4.78639e-18,0.0
2.393,325.016,APPROACH,0.762778,-1.50379,-1.67005,-5.0,-5.0,0.083,-0.2101,-30.9993,-142.512,142.512,4.82826,0.0,,False,2.56197e-18,0.0
2.444,325.067,APPROACH,0.762665,-1.58555,-1.75315,-5.0,-5.0,-0.331,-0.0708,-30.5104,-142.548,142.548,4.71174,0.0,,False,1.35429e-18,0.0
2.496,325.119,APPROACH,0.762479,-1.66872,-1.83755,-5.0,-5.0,-0.696,0.0589,-30.0444,-142.594,142.594,4.59331,0.0,,False,7.07001e-19,0.0
2.549,325.172,APPROACH,0.762227,-1.7531,-1.92308,-5.0,-5.0,-1.0065,0.174,-29.9308,-142.646,142.646,4.47323,0.0,,False,3.64502e-19,0.0
2.601,325.224,APPROACH,0.761933,-1.83542,-2.00638,-5.0,-5.0,-1.2572,0.2699,-29.9766,-142.699,142.699,4.35618,0.0,,False,1.90287e-19,0.0
2.654,325.277,APPROACH,0.761603,-1.91873,-2.0906,-5.0,-5.0,-1.4782,0.3536,-30.0014,-142.751,142.751,4.23778,0.0,,False,9.81044e-20,0.0
2.706,325.329,APPROACH,0.761266,-1.99982,-2.17248,-5.0,-5.0,-1.6643,0.4267,-30.0039,-142.796,142.796,4.12262,0.0,,False,5.1215e-20,0.0
2.758,325.381,APPROACH,0.760932,-2.0802,-2.25355,-5.0,-5.0,-1.8262,0.4922,-30.0022,-142.834,142.834,4.00852,0.0,,False,2.67366e-20,0.0
2.811,325.434,APPROACH,0.760606,-2.16133,-2.3353,-5.0,-5.0,-1.9714,0.5499,-30.0015,-142.865,142.865,3.89341,0.0,,False,1.37843e-20,0.0
2.863,325.486,APPROACH,0.760308,-2.24008,-2.4146,-5.0,-5.0,-2.0912,0.5985,-30.0014,-142.889,142.889,3.78173,0.0,,False,7.19605e-21,0.0
2.916,325.539,APPROACH,0.760034,-2.31944,-2.49444,-5.0,-5.0,-2.1934,0.6421,-30.0013,-142.907,142.907,3.66923,0.0,,False,3.71e-21,0.0
2.968,325.591,APPROACH,0.759798,-2.39637,-2.57181,-5.0,-5.0,-2.2838,0.6785,-30.0012,-142.918,142.918,3.56019,0.0,,False,1.93679e-21,0.0
3.018,325.641,APPROACH,0.759606,-2.46947,-2.64531,-5.0,-5.0,-2.3711,0.7077,-30.001,-142.924,142.924,3.45661,0.0,,False,1.03669e-21,0.0
3.069,325.692,APPROACH,0.759444,-2.54313,-2.71936,-5.0,-5.0,-2.4583,0.733,-30.0009,-142.926,142.926,3.35224,0.0,,False,5.48006e-22,0.0
3.121,325.744,APPROACH,0.759312,-2.61726,-2.7939,-5.0,-5.0,-2.5417,0.7569,-30.0009,-142.926,142.926,3.2472,0.0,,False,2.86084e-22,0.0
3.174,325.797,APPROACH,0.759211,-2.6918,-2.86884,-5.0,-5.0,-2.6206,0.7786,-30.0008,-142.923,142.923,3.1416,0.0,,False,1.47494e-22,0.0
3.226,325.849,APPROACH,0.75914,-2.76391,-2.94136,-5.0,-5.0,-2.6949,0.7968,-30.0007,-142.919,142.919,3.03943,0.0,,False,7.69986e-23,0.0
3.279,325.902,APPROACH,0.759097,-2.83636,-3.01424,-5.0,-5.0,-2.7712,0.8146,-30.0007,-142.913,142.913,2.93676,0.0,,False,3.96975e-23,0.0
3.331,325.954,APPROACH,0.759079,-2.90641,-3.08473,-5.0,-5.0,-2.8444,0.8302,-30.0006,-142.907,142.907,2.83749,0.0,,False,2.07239e-23,0.0
3.383,326.006,APPROACH,0.759082,-2.97542,-3.1542,-5.0,-5.0,-2.9148,0.8435,-30.0006,-142.901,142.901,2.73969,0.0,,False,1.08188e-23,0.0
3.436,326.059,APPROACH,0.7591,-3.04465,-3.22391,-5.0,-5.0,-2.9772,0.8562,-30.0005,-142.895,142.895,2.64157,0.0,,False,5.57776e-24,0.0
3.488,326.111,APPROACH,0.759129,-3.11147,-3.29121,-5.0,-5.0,-3.0289,0.8683,-30.0005,-142.89,142.89,2.54686,0.0,,False,2.91185e-24,0.0
3.541,326.164,APPROACH,0.759166,-3.17844,-3.35868,-5.0,-5.0,-3.0735,0.879,-30.0005,-142.885,142.885,2.45194,0.0,,False,1.50123e-24,0.0
3.593,326.216,APPROACH,0.75921,-3.24301,-3.42373,-5.0,-5.0,-3.1118,0.8883,-30.0004,-142.881,142.881,2.36043,0.0,,False,7.83713e-25,0.0
3.643,326.266,APPROACH,0.759257,-3.30404,-3.48523,-5.0,-5.0,-3.1478,0.8964,-30.0004,-142.877,142.877,2.27394,0.0,,False,4.19491e-25,0.0
3.694,326.317,APPROACH,0.759308,-3.36519,-3.54687,-5.0,-5.0,-3.1808,0.9033,-30.0004,-142.873,142.873,2.18728,0.0,,False,2.21748e-25,0.0
3.746,326.369,APPROACH,0.75936,-3.42637,-3.60856,-5.0,-5.0,-3.2505,0.7398,-29.9919,-142.871,142.871,2.10057,0.0,,False,1.15763e-25,0.0
3.799,326.422,APPROACH,0.75941,-3.48758,-3.67015,-5.0,-5.0,-3.4189,0.2215,-29.9746,-142.87,142.87,2.01393,0.0,,False,5.96827e-26,0.0
3.851,326.474,APPROACH,0.759452,-3.54667,-3.72914,-5.0,-5.0,-3.6078,-0.3151,-29.9706,-142.876,142.876,1.93061,0.0,,False,3.11571e-26,0.0
3.904,326.527,APPROACH,0.759488,-3.6061,-3.78759,-5.0,-5.0,-3.7703,-0.7017,-29.9786,-142.888,142.888,1.84741,0.0,,False,1.60634e-26,0.0
3.956,326.579,APPROACH,0.759513,-3.66372,-3.84315,-5.0,-5.0,-3.7906,-0.6599,-30.0021,-142.901,142.901,1.76746,0.0,,False,8.38582e-27,0.0
4.008,326.631,APPROACH,0.759532,-3.72066,-3.89695,-5.0,-5.0,-3.7156,-0.3653,-30.0181,-142.904,142.904,1.68921,0.0,,False,4.37778e-27,0.0
4.061,326.684,APPROACH,0.759555,-3.77789,-3.95011,-5.0,-5.0,-3.6438,-0.0712,-30.0179,-142.9,142.9,1.61116,0.0,,False,2.25701e-27,0.0
4.113,326.736,APPROACH,0.75958,-3.83314,-4.00073,-5.0,-5.0,-3.6,0.1509,-30.0127,-142.894,142.894,1.53626,0.0,,False,1.17826e-27,0.0
4.166,326.789,APPROACH,0.759609,-3.88849,-4.05082,-5.0,-5.0,-3.5738,0.33,-30.0092,-142.888,142.888,1.46164,0.0,,False,6.07467e-28,0.0
4.218,326.841,APPROACH,0.759637,-3.94175,-4.09856,-5.0,-5.0,-3.5587,0.4751,-30.0075,-142.884,142.884,1.39014,0.0,,False,3.17126e-28,0.0
4.268,326.891,APPROACH,0.75966,-3.99195,-4.1432,-5.0,-5.0,-3.5501,0.5913,-30.0063,-142.882,142.882,1.32298,0.0,,False,1.69745e-28,0.0
4.319,326.942,APPROACH,0.75968,-4.0421,-4.18748,-5.0,-5.0,-3.5502,0.6927,-30.0054,-142.882,142.882,1.25609,0.0,,False,8.97293e-29,0.0
4.371,326.994,APPROACH,0.759694,-4.0921,-4.23135,-5.0,-5.0,-3.558,0.7821,-30.0047,-142.884,142.884,1.18958,0.0,,False,4.68428e-29,0.0
