t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.742,STABILIZE,0.791648,0.00431374,-0.00247877,-5.0,-5.0,-0.0215,-0.0254,30.2034,-135.402,135.402,7.07237,0.0,,False,1.76324e-05,0.0
0.051,7.793,STABILIZE,0.798209,0.00437035,-0.00245777,-5.0,-5.0,0.098,0.0454,29.9315,-135.898,135.898,7.07242,0.0,,False,9.32072e-06,0.0
0.102,7.844,STABILIZE,0.802396,0.00446309,-0.0024642,-5.0,-5.0,0.1664,0.0845,29.8466,-136.661,136.661,7.07248,0.0,,False,4.92705e-06,0.0
0.154,7.896,STABILIZE,0.80449,0.00462458,-0.00251528,-5.0,-5.0,0.1394,0.0683,30.0456,-137.582,137.582,7.07256,0.0,,False,2.57214e-06,0.0
0.205,7.947,STABILIZE,0.804727,0.00483681,-0.00260222,-5.0,-5.0,0.0896,0.042,30.183,-138.537,138.537,7.07265,0.0,,False,1.35967e-06,0.0
0.256,7.998,STABILIZE,0.803494,0.00508237,-0.00271275,-5.0,-5.0,0.0511,0.0231,30.2027,-139.477,139.477,7.07275,0.0,,False,7.18737e-07,0.0
0.308,8.05,STABILIZE,0.801062,0.00535162,-0.00283894,-5.0,-5.0,0.026,0.0104,30.1941,-140.378,140.378,7.07285,0.0,,False,3.75214e-07,0.0
0.359,8.101,STABILIZE,0.797838,0.00562423,-0.0029701,-5.0,-5.0,0.0097,0.0017,30.1897,-141.177,141.177,7.07295,0.0,,False,1.98343e-07,0.0
0.411,8.153,STABILIZE,0.793988,0.00590457,-0.00310725,-5.0,-5.0,-0.0028,-0.0051,30.1891,-141.888,141.888,7.07305,0.0,,False,1.03544e-07,0.0
0.462,8.204,STABILIZE,0.789912,0.00617689,-0.00324167,-5.0,-5.0,-0.0121,-0.0103,30.1894,-142.477,142.477,7.07315,0.0,,False,5.47346e-08,0.0
0.513,8.255,STABILIZE,0.785749,0.0064423,-0.00337383,-5.0,-5.0,-0.0189,-0.0141,30.1895,-142.957,142.957,7.07324,0.0,,False,2.89334e-08,0.0
0.565,8.307,APPROACH,0.781596,0.00670246,-0.0035042,-5.0,-5.0,-0.0205,-0.0199,30.1893,-143.336,143.336,7.07333,0.0,,False,1.51045e-08,0.0
0.616,8.358,APPROACH,0.777751,0.00694323,-0.00361927,-5.0,-5.0,0.7105,-0.4625,30.1044,-143.609,143.609,7.07342,0.0,,False,7.98445e-09,0.0
0.667,8.409,APPROACH,0.774233,0.00717053,-0.00411854,-5.0,-5.0,2.2784,-1.6459,29.7119,-143.812,143.812,7.07323,0.0,,False,4.22068e-09,0.0
0.718,8.46,APPROACH,0.771082,0.00726757,-0.00589764,-5.0,-5.0,2.9786,-3.5394,28.9481,-143.992,143.992,7.07204,0.0,,False,2.2311e-09,0.0
0.77,8.512,APPROACH,0.768254,0.00658632,-0.00974812,-5.0,-5.0,3.1914,-6.1756,27.7901,-144.196,144.196,7.06884,0.0,,False,1.16474e-09,0.0
0.821,8.563,APPROACH,0.765824,0.00407786,-0.0161529,-5.0,-5.0,3.4224,-8.7656,26.3199,-144.495,144.495,7.06254,0.0,,False,6.15694e-10,0.0
0.872,8.614,APPROACH,0.763677,-0.00134148,-0.0257403,-5.0,-5.0,3.7312,-9.8284,24.6144,-144.828,144.828,7.05194,0.0,,False,3.25464e-10,0.0
