t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.527,STABILIZE,0.78377,0.00400776,-0.00242382,-5.0,-5.0,-0.0223,-0.0249,31.206,-135.849,135.849,7.07219,0.0,,False,3.88514e-05,0.0
0.051,7.578,STABILIZE,0.791295,0.00410024,-0.00241148,-5.0,-5.0,0.086,0.0315,30.653,-135.818,135.818,7.07226,0.0,,False,2.05373e-05,0.0
0.103,7.63,STABILIZE,0.796612,0.00422654,-0.00242745,-5.0,-5.0,0.1521,0.0672,30.3816,-136.26,136.26,7.07234,0.0,,False,1.07214e-05,0.0
0.154,7.681,STABILIZE,0.799678,0.00440791,-0.00248679,-5.0,-5.0,0.1261,0.0543,30.4025,-136.967,136.968,7.07243,0.0,,False,5.66747e-06,0.0
0.205,7.732,STABILIZE,0.800868,0.00463454,-0.00258144,-5.0,-5.0,0.0797,0.0317,30.7531,-137.807,137.807,7.07252,0.0,,False,2.9959e-06,0.0
0.256,7.783,STABILIZE,0.800487,0.00488823,-0.00269778,-5.0,-5.0,0.0434,0.0172,31.1097,-138.688,138.688,7.07262,0.0,,False,1.58367e-06,0.0
0.308,7.835,STABILIZE,0.798812,0.00516186,-0.00282862,-5.0,-5.0,0.0175,0.0088,31.1935,-139.562,139.562,7.07272,0.0,,False,8.26747e-07,0.0
0.359,7.886,STABILIZE,0.796225,0.00543676,-0.00296145,-5.0,-5.0,-0.0001,0.0014,31.1804,-140.355,140.355,7.07282,0.0,,False,4.37028e-07,0.0
0.41,7.937,STABILIZE,0.792998,0.00571145,-0.00309344,-5.0,-5.0,-0.0126,-0.0052,31.1682,-141.056,141.056,7.07292,0.0,,False,2.31019e-07,0.0
0.461,7.988,STABILIZE,0.789393,0.00598051,-0.00322191,-5.0,-5.0,-0.0205,-0.0109,31.1657,-141.654,141.654,7.07302,0.0,,False,1.22119e-07,0.0
0.514,8.041,STABILIZE,0.785487,0.00625058,-0.00335005,-5.0,-5.0,-0.0247,-0.0159,31.1657,-142.157,142.157,7.07312,0.0,,False,6.29599e-08,0.0
0.565,8.092,STABILIZE,0.781767,0.0064986,-0.00346746,-5.0,-5.0,-0.029,-0.0192,31.1659,-142.532,142.532,7.07321,0.0,,False,3.32814e-08,0.0
0.616,8.143,APPROACH,0.778233,0.00673277,-0.00356879,-5.0,-5.0,0.19,-0.1733,31.1458,-142.805,142.805,7.07331,0.0,,False,1.7593e-08,0.0
0.667,8.194,APPROACH,0.774996,0.00694777,-0.00377925,-5.0,-5.0,1.5904,-1.0328,30.9115,-142.993,142.993,7.07331,0.0,,False,9.29985e-09,0.0
0.719,8.246,APPROACH,0.772068,0.00713877,-0.00487924,-5.0,-5.0,2.6398,-2.6623,30.3022,-143.14,143.14,7.07267,0.0,,False,4.85495e-09,0.0
0.77,8.297,APPROACH,0.769583,0.00689584,-0.0076105,-5.0,-5.0,2.9339,-4.9711,29.3341,-143.282,143.282,7.07057,0.0,,False,2.56639e-09,0.0
0.821,8.348,APPROACH,0.767458,0.0053412,-0.012597,-5.0,-5.0,3.1257,-7.8285,28.0077,-143.493,143.493,7.06595,0.0,,False,1.35662e-09,0.0
0.873,8.4,APPROACH,0.765584,0.00121169,-0.020674,-5.0,-5.0,3.4174,-9.6411,26.3753,-143.808,143.808,7.05732,0.0,,False,7.08219e-10,0.0
0.924,8.451,APPROACH,0.76401,-0.00609328,-0.0319473,-5.0,-5.0,3.7459,-9.8279,24.5477,-144.057,144.057,7.04419,0.0,,False,3.74373e-10,0.0
0.975,8.502,APPROACH,0.762762,-0.0167297,-0.046607,-5.0,-5.0,4.0814,-9.2481,22.4701,-144.115,144.115,7.02631,0.0,,False,1.97898e-10,0.0
1.026,8.553,APPROACH,0.761895,-0.0305061,-0.0645667,-5.0,-5.0,4.4461,-8.9122,20.1326,-144.042,144.042,7.00388,0.0,,False,1.04612e-10,0.0
1.078,8.605,APPROACH,0.761386,-0.0477081,-0.0862415,-5.0,-5.0,4.8419,-8.7212,17.605,-143.916,143.916,6.9764,0.0,,False,5.4612e-11,0.0
1.129,8.656,APPROACH,0.761207,-0.0676735,-0.110795,-5.0,-5.0,5.2302,-8.531,15.087,-143.776,143.776,6.94494,0.0,,False,2.88686e-11,0.0
1.18,8.707,APPROACH,0.761289,-0.0907075,-0.138612,-5.0,-5.0,5.6059,-8.3118,12.5919,-143.632,143.632,6.909,0.0,,False,1.52603e-11,0.0
1.232,8.759,APPROACH,0.761583,-0.117349,-0.170337,-5.0,-5.0,5.9695,-8.0732,10.1029,-143.491,143.491,6.86774,0.0,,False,7.96657e-12,0.0
1.283,8.81,APPROACH,0.762024,-0.146565,-0.204749,-5.0,-5.0,6.3051,-7.8328,7.727,-143.364,143.364,6.82278,0.0,,False,4.21123e-12,0.0
1.334,8.861,APPROACH,0.762566,-0.178823,-0.242418,-5.0,-5.0,6.618,-7.5852,5.4145,-143.252,143.252,6.77335,0.0,,False,2.22611e-12,0.0
1.385,8.912,APPROACH,0.763169,-0.214116,-0.283332,-5.0,-5.0,6.9125,-7.3307,3.1568,-143.157,143.157,6.7195,0.0,,False,1.17675e-12,0.0
1.437,8.964,APPROACH,0.763807,-0.253228,-0.328383,-5.0,-5.0,7.1985,-7.0641,0.8977,-143.077,143.077,6.66002,0.0,,False,6.14316e-13,0.0
1.488,9.015,APPROACH,0.764428,-0.294642,-0.375829,-5.0,-5.0,7.466,-6.7936,-1.2889,-143.016,143.016,6.59722,0.0,,False,3.24735e-13,0.0
1.539,9.066,APPROACH,0.76502,-0.339078,-0.426492,-5.0,-5.0,7.7202,-6.5148,-3.4577,-142.972,142.972,6.53002,0.0,,False,1.71659e-13,0.0
1.59,9.117,APPROACH,0.765564,-0.386534,-0.480349,-5.0,-5.0,7.9622,-6.2306,-5.6184,-142.943,142.943,6.45843,0.0,,False,9.0741e-14,0.0
1.642,9.169,APPROACH,0.766058,-0.438025,-0.538538,-5.0,-5.0,8.0834,-6.0809,-7.8407,-142.926,142.926,6.38093,0.0,,False,4.73709e-14,0.0
1.693,9.22,APPROACH,0.766478,-0.491646,-0.598744,-5.0,-5.0,8.046,-6.126,-10.0493,-142.919,142.919,6.3005,0.0,,False,2.50409e-14,0.0
1.744,9.271,APPROACH,0.766827,-0.548506,-0.661913,-5.0,-5.0,8.1063,-6.0508,-12.2398,-142.922,142.922,6.21569,0.0,,False,1.32369e-14,0.0
1.796,9.323,APPROACH,0.767115,-0.609905,-0.729262,-5.0,-5.0,8.2928,-5.8047,-14.4475,-142.931,142.931,6.12471,0.0,,False,6.91027e-15,0.0
1.847,9.374,APPROACH,0.76734,-0.6735,-0.798172,-5.0,-5.0,8.4918,-5.5225,-16.6084,-142.944,142.944,6.03108,0.0,,False,3.65285e-15,0.0
1.898,9.425,APPROACH,0.767513,-0.740456,-0.869913,-5.0,-5.0,8.5663,-5.1799,-18.7648,-142.956,142.956,5.93307,0.0,,False,1.93094e-15,0.0
1.949,9.476,APPROACH,0.767646,-0.810741,-0.944441,-5.0,-5.0,7.7988,-4.3587,-20.8578,-142.905,142.905,5.83073,0.0,,False,1.02072e-15,0.0
2.001,9.528,APPROACH,0.767801,-0.885447,-1.02297,-5.0,-5.0,6.4826,-3.3312,-22.9878,-142.728,142.728,5.72244,0.0,,False,5.32863e-16,0.0
2.052,9.579,APPROACH,0.768012,-0.961123,-1.10199,-5.0,-5.0,5.2223,-2.4889,-25.0808,-142.492,142.492,5.61311,0.0,,False,2.81678e-16,0.0
2.103,9.63,APPROACH,0.76827,-1.03867,-1.18252,-5.0,-5.0,4.1296,-1.8645,-26.9625,-142.264,142.264,5.50139,0.0,,False,1.48898e-16,0.0
2.155,9.682,APPROACH,0.768548,-1.11924,-1.26582,-5.0,-5.0,3.1643,-1.3913,-28.5257,-142.076,142.076,5.38557,0.0,,False,7.77318e-17,0.0
2.206,9.733,APPROACH,0.768796,-1.19938,-1.34838,-5.0,-5.0,2.3309,-1.0368,-29.702,-141.945,141.945,5.27058,0.0,,False,4.109e-17,0.0
2.257,9.784,APPROACH,0.768993,-1.28033,-1.43151,-5.0,-5.0,1.5915,-0.7612,-30.529,-141.862,141.862,5.15461,0.0,,False,2.17207e-17,0.0
2.308,9.835,APPROACH,0.769121,-1.36185,-1.51499,-5.0,-5.0,0.9434,-0.5388,-31.0118,-141.821,141.821,5.038,0.0,,False,1.14818e-17,0.0
2.36,9.887,APPROACH,0.769172,-1.44531,-1.60023,-5.0,-5.0,0.3695,-0.3487,-31.171,-141.812,141.812,4.91877,0.0,,False,5.99403e-18,0.0
2.411,9.938,APPROACH,0.769142,-1.5273,-1.68381,-5.0,-5.0,-0.1199,-0.1868,-30.9987,-141.829,141.829,4.80175,0.0,,False,3.16852e-18,0.0
2.462,9.989,APPROACH,0.76904,-1.60926,-1.7672,-5.0,-5.0,-0.5443,-0.041,-30.5027,-141.861,141.861,4.68488,0.0,,False,1.67492e-18,0.0
2.514,10.041,APPROACH,0.768873,-1.69263,-1.8519,-5.0,-5.0,-0.9141,0.0944,-30.0398,-141.903,141.903,4.56609,0.0,,False,8.74384e-19,0.0
2.565,10.092,APPROACH,0.76866,-1.77406,-1.93453,-5.0,-5.0,-1.2241,0.2071,-29.928,-141.949,141.949,4.45014,0.0,,False,4.6221e-19,0.0
2.616,10.143,APPROACH,0.768413,-1.85503,-2.01663,-5.0,-5.0,-1.4873,0.2983,-29.9738,-141.996,141.996,4.3349,0.0,,False,2.4433e-19,0.0
2.667,10.194,APPROACH,0.768144,-1.93544,-2.0981,-5.0,-5.0,-1.7115,0.374,-30.0006,-142.039,142.039,4.22049,0.0,,False,1.29156e-19,0.0
