t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,8.275,STABILIZE,0.783347,0.00400612,-0.00242339,-5.0,-5.0,-0.0226,-0.0249,31.2152,-135.792,135.792,7.07219,0.0,,False,4.0441e-05,0.0
0.051,8.326,STABILIZE,0.790986,0.00409916,-0.00241143,-5.0,-5.0,0.088,0.0325,30.6634,-135.749,135.749,7.07226,0.0,,False,2.13776e-05,0.0
0.102,8.377,STABILIZE,0.796313,0.00422389,-0.00242756,-5.0,-5.0,0.1517,0.0669,30.396,-136.178,136.178,7.07234,0.0,,False,1.13005e-05,0.0
0.153,8.428,STABILIZE,0.799484,0.00440541,-0.00248686,-5.0,-5.0,0.1258,0.0541,30.411,-136.884,136.884,7.07243,0.0,,False,5.97357e-06,0.0
0.205,8.48,STABILIZE,0.800759,0.00463678,-0.00258349,-5.0,-5.0,0.0786,0.0312,30.7657,-137.746,137.746,7.07252,0.0,,False,3.11848e-06,0.0
0.256,8.531,STABILIZE,0.800399,0.00489069,-0.00269994,-5.0,-5.0,0.0427,0.0169,31.12,-138.636,138.636,7.07262,0.0,,False,1.64847e-06,0.0
0.307,8.582,STABILIZE,0.79877,0.00515894,-0.00282816,-5.0,-5.0,0.0175,0.0087,31.2025,-139.504,139.504,7.07272,0.0,,False,8.71399e-07,0.0
0.359,8.634,STABILIZE,0.796129,0.00543899,-0.00296341,-5.0,-5.0,-0.0003,0.0013,31.1894,-140.322,140.322,7.07282,0.0,,False,4.5491e-07,0.0
0.41,8.685,STABILIZE,0.792881,0.00571342,-0.00309519,-5.0,-5.0,-0.0127,-0.0052,31.1773,-141.033,141.033,7.07292,0.0,,False,2.40471e-07,0.0
0.461,8.736,STABILIZE,0.789246,0.00598218,-0.00322344,-5.0,-5.0,-0.0205,-0.0109,31.1749,-141.638,141.638,7.07302,0.0,,False,1.27116e-07,0.0
0.512,8.787,STABILIZE,0.785453,0.00624195,-0.00334662,-5.0,-5.0,-0.0245,-0.0157,31.1749,-142.132,142.132,7.07312,0.0,,False,6.71951e-08,0.0
0.564,8.839,STABILIZE,0.78162,0.00649491,-0.00346627,-5.0,-5.0,-0.0289,-0.0192,31.175,-142.523,142.523,7.07321,0.0,,False,3.50789e-08,0.0
0.615,8.89,APPROACH,0.778046,0.00672919,-0.0035684,-5.0,-5.0,0.1598,-0.1549,31.1581,-142.803,142.803,7.07331,0.0,,False,1.85432e-08,0.0
0.666,8.941,APPROACH,0.774768,0.0069439,-0.0037636,-5.0,-5.0,1.5289,-0.985,30.9364,-142.994,142.994,7.07332,0.0,,False,9.80214e-09,0.0
0.717,8.992,APPROACH,0.771855,0.0071374,-0.00477811,-5.0,-5.0,2.6057,-2.548,30.357,-143.141,143.141,7.07274,0.0,,False,5.18153e-09,0.0
0.769,9.044,APPROACH,0.769284,0.00692697,-0.00746653,-5.0,-5.0,2.9255,-4.8672,29.3882,-143.283,143.283,7.07069,0.0,,False,2.705e-09,0.0
0.82,9.095,APPROACH,0.767131,0.00544491,-0.0123512,-5.0,-5.0,3.1148,-7.7253,28.0749,-143.488,143.488,7.0662,0.0,,False,1.42989e-09,0.0
0.871,9.146,APPROACH,0.765271,0.00153988,-0.020116,-5.0,-5.0,3.3971,-9.5817,26.4854,-143.795,143.795,7.05795,0.0,,False,7.5586e-10,0.0
0.923,9.198,APPROACH,0.763645,-0.00574008,-0.0314394,-5.0,-5.0,3.7315,-9.8476,24.6328,-144.055,144.055,7.0448,0.0,,False,3.94593e-10,0.0
0.974,9.249,APPROACH,0.762378,-0.0162505,-0.0459675,-5.0,-5.0,4.0663,-9.2681,22.5663,-144.121,144.121,7.0271,0.0,,False,2.08587e-10,0.0
1.025,9.3,APPROACH,0.761495,-0.0299068,-0.0637984,-5.0,-5.0,4.4298,-8.9218,20.237,-144.049,144.049,7.00485,0.0,,False,1.10262e-10,0.0
1.076,9.351,APPROACH,0.760981,-0.0466289,-0.0848962,-5.0,-5.0,4.8175,-8.7323,17.7619,-143.926,143.926,6.97812,0.0,,False,5.82856e-11,0.0
1.128,9.403,APPROACH,0.760787,-0.0668335,-0.109768,-5.0,-5.0,5.2138,-8.5398,15.1947,-143.782,143.782,6.94626,0.0,,False,3.04278e-11,0.0
1.179,9.454,APPROACH,0.760865,-0.0897482,-0.137457,-5.0,-5.0,5.5902,-8.3216,12.698,-143.638,143.638,6.91049,0.0,,False,1.60845e-11,0.0
1.23,9.505,APPROACH,0.761151,-0.115728,-0.168412,-5.0,-5.0,5.9478,-8.0881,10.2538,-143.497,143.497,6.87025,0.0,,False,8.50246e-12,0.0
1.282,9.557,APPROACH,0.7616,-0.145365,-0.203335,-5.0,-5.0,6.291,-7.8433,7.828,-143.366,143.366,6.82462,0.0,,False,4.43867e-12,0.0
1.333,9.608,APPROACH,0.762146,-0.177504,-0.240876,-5.0,-5.0,6.6048,-7.596,5.5132,-143.252,143.252,6.77538,0.0,,False,2.34634e-12,0.0
1.384,9.659,APPROACH,0.762754,-0.212678,-0.281662,-5.0,-5.0,6.9,-7.3418,3.2537,-143.156,143.156,6.72169,0.0,,False,1.2403e-12,0.0
1.435,9.71,APPROACH,0.763385,-0.25089,-0.325687,-5.0,-5.0,7.1812,-7.0808,1.0363,-143.076,143.076,6.66358,0.0,,False,6.55639e-13,0.0
1.487,9.762,APPROACH,0.764025,-0.292964,-0.373901,-5.0,-5.0,7.4546,-6.8055,-1.1944,-143.013,143.013,6.59977,0.0,,False,3.42274e-13,0.0
1.538,9.813,APPROACH,0.764622,-0.337281,-0.424436,-5.0,-5.0,7.7093,-6.5271,-3.3637,-142.968,142.968,6.53274,0.0,,False,1.8093e-13,0.0
1.589,9.864,APPROACH,0.765172,-0.384618,-0.478166,-5.0,-5.0,7.9524,-6.2424,-5.5245,-142.938,142.938,6.46133,0.0,,False,9.56419e-14,0.0
1.641,9.916,APPROACH,0.765671,-0.435987,-0.536226,-5.0,-5.0,8.0819,-6.0829,-7.7453,-142.921,142.921,6.384,0.0,,False,4.99295e-14,0.0
1.692,9.967,APPROACH,0.766095,-0.489482,-0.596311,-5.0,-5.0,8.0465,-6.1253,-9.9535,-142.914,142.914,6.30375,0.0,,False,2.63933e-14,0.0
1.743,10.018,APPROACH,0.766447,-0.546211,-0.659364,-5.0,-5.0,8.1,-6.0589,-12.1453,-142.917,142.917,6.21911,0.0,,False,1.39518e-14,0.0
1.794,10.069,APPROACH,0.766734,-0.606264,-0.725276,-5.0,-5.0,8.2801,-5.8221,-14.3113,-142.926,142.926,6.1301,0.0,,False,7.37511e-15,0.0
1.846,10.121,APPROACH,0.766966,-0.670937,-0.795393,-5.0,-5.0,8.4834,-5.5348,-16.5144,-142.939,142.939,6.03486,0.0,,False,3.85015e-15,0.0
1.897,10.172,APPROACH,0.76714,-0.737758,-0.867022,-5.0,-5.0,8.5757,-5.2024,-18.6722,-142.953,142.953,5.93702,0.0,,False,2.03523e-15,0.0
1.948,10.223,APPROACH,0.767273,-0.807915,-0.941443,-5.0,-5.0,7.8437,-4.3996,-20.7673,-142.907,142.907,5.83485,0.0,,False,1.07585e-15,0.0
2.0,10.275,APPROACH,0.767425,-0.882511,-1.01988,-5.0,-5.0,6.535,-3.3702,-22.8959,-142.734,142.734,5.7267,0.0,,False,5.61643e-16,0.0
2.051,10.326,APPROACH,0.767633,-0.958102,-1.09883,-5.0,-5.0,5.269,-2.5189,-24.9926,-142.499,142.499,5.61748,0.0,,False,2.96891e-16,0.0
2.102,10.377,APPROACH,0.76789,-1.03558,-1.17931,-5.0,-5.0,4.1698,-1.8865,-26.8878,-142.27,142.27,5.50584,0.0,,False,1.5694e-16,0.0
2.153,10.428,APPROACH,0.768162,-1.11454,-1.26096,-5.0,-5.0,3.2169,-1.4158,-28.44,-142.083,142.083,5.39233,0.0,,False,8.29606e-17,0.0
2.205,10.48,APPROACH,0.768417,-1.1962,-1.3451,-5.0,-5.0,2.362,-1.0495,-29.6585,-141.946,141.946,5.27515,0.0,,False,4.33093e-17,0.0
2.256,10.531,APPROACH,0.768616,-1.27713,-1.42821,-5.0,-5.0,1.6189,-0.7711,-30.5006,-141.861,141.861,5.15921,0.0,,False,2.28938e-17,0.0
2.307,10.582,APPROACH,0.768748,-1.35862,-1.51168,-5.0,-5.0,0.9674,-0.5469,-30.9983,-141.818,141.818,5.04262,0.0,,False,1.21019e-17,0.0
2.359,10.634,APPROACH,0.768801,-1.44207,-1.59692,-5.0,-5.0,0.3903,-0.3556,-31.1713,-141.809,141.809,4.92339,0.0,,False,6.31777e-18,0.0
2.41,10.685,APPROACH,0.768774,-1.52406,-1.6805,-5.0,-5.0,-0.1017,-0.1929,-31.0129,-141.824,141.824,4.80637,0.0,,False,3.33965e-18,0.0
2.461,10.736,APPROACH,0.768674,-1.60603,-1.76391,-5.0,-5.0,-0.5287,-0.0467,-30.5288,-141.856,141.856,4.68949,0.0,,False,1.76538e-18,0.0
2.512,10.787,APPROACH,0.768512,-1.68781,-1.847,-5.0,-5.0,-0.8941,0.087,-30.0577,-141.897,141.897,4.57297,0.0,,False,9.33202e-19,0.0
2.564,10.839,APPROACH,0.768296,-1.77085,-1.93127,-5.0,-5.0,-1.2126,0.2029,-29.9272,-141.944,141.944,4.45472,0.0,,False,4.87174e-19,0.0
2.615,10.89,APPROACH,0.768049,-1.85184,-2.01339,-5.0,-5.0,-1.4774,0.2949,-29.9718,-141.991,141.991,4.33944,0.0,,False,2.57526e-19,0.0
2.666,10.941,APPROACH,0.76778,-1.93228,-2.09488,-5.0,-5.0,-1.703,0.3711,-30.0001,-142.035,142.035,4.225,0.0,,False,1.36132e-19,0.0
2.717,10.992,APPROACH,0.767502,-2.01207,-2.17567,-5.0,-5.0,-1.8939,0.4352,-30.0039,-142.074,142.074,4.11151,0.0,,False,7.19608e-20,0.0
2.769,11.044,APPROACH,0.767222,-2.0927,-2.25727,-5.0,-5.0,-2.0608,0.4895,-30.0023,-142.108,142.108,3.99687,0.0,,False,3.75668e-20,0.0
2.82,11.095,APPROACH,0.766961,-2.17099,-2.33649,-5.0,-5.0,-2.2024,0.534,-30.0014,-142.135,142.135,3.88556,0.0,,False,1.98583e-20,0.0
2.871,11.146,APPROACH,0.76672,-2.24847,-2.41487,-5.0,-5.0,-2.3269,0.5723,-30.0009,-142.155,142.155,3.77543,0.0,,False,1.04973e-20,0.0
2.923,11.198,APPROACH,0.7665,-2.3266,-2.49388,-5.0,-5.0,-2.4414,0.6107,-30.0008,-142.171,142.171,3.66439,0.0,,False,5.48009e-21,0.0
2.974,11.249,APPROACH,0.766314,-2.40235,-2.57046,-5.0,-5.0,-2.5462,0.6485,-30.001,-142.18,142.18,3.55675,0.0,,False,2.89684e-21,0.0
3.025,11.3,APPROACH,0.766158,-2.47721,-2.6461,-5.0,-5.0,-2.6384,0.684,-30.0009,-142.186,142.186,3.45041,0.0,,False,1.53131e-21,0.0
3.076,11.351,APPROACH,0.766033,-2.55116,-2.72081,-5.0,-5.0,-2.7253,0.7162,-30.0009,-142.188,142.188,3.34537,0.0,,False,8.09468e-22,0.0
3.128,11.403,APPROACH,0.765937,-2.6256,-2.796,-5.0,-5.0,-2.8109,0.7447,-30.0009,-142.186,142.186,3.23966,0.0,,False,4.22579e-22,0.0
3.179,11.454,APPROACH,0.765871,-2.69765,-2.86875,-5.0,-5.0,-2.8852,0.7693,-30.0008,-142.183,142.183,3.13736,0.0,,False,2.23381e-22,0.0
3.23,11.505,APPROACH,0.765831,-2.7687,-2.94052,-5.0,-5.0,-2.953,0.7902,-30.0004,-142.178,142.178,3.03647,0.0,,False,1.18082e-22,0.0
3.282,11.557,APPROACH,0.765814,-2.84012,-3.01267,-5.0,-5.0,-3.0183,0.8078,-30.0002,-142.172,142.172,2.93506,0.0,,False,6.16441e-23,0.0
3.333,11.608,APPROACH,0.765817,-2.90912,-3.08239,-5.0,-5.0,-3.0776,0.8223,-30.0003,-142.166,142.166,2.83707,0.0,,False,3.25858e-23,0.0
3.384,11.659,APPROACH,0.765834,-2.97709,-3.15107,-5.0,-5.0,-3.1287,0.8347,-30.0002,-142.16,142.16,2.74057,0.0,,False,1.72253e-23,0.0
3.435,11.71,APPROACH,0.765865,-3.044,-3.2187,-5.0,-5.0,-3.1774,0.8466,-30.0003,-142.154,142.154,2.64556,0.0,,False,9.10548e-24,0.0
3.487,11.762,APPROACH,0.765907,-3.11113,-3.28656,-5.0,-5.0,-3.2259,0.8571,-30.0005,-142.148,142.148,2.55024,0.0,,False,4.75348e-24,0.0
3.538,11.813,APPROACH,0.765954,-3.17587,-3.35204,-5.0,-5.0,-3.2669,0.865,-30.0006,-142.143,142.143,2.45829,0.0,,False,2.51275e-24,0.0
3.589,11.864,APPROACH,0.766004,-3.23951,-3.41643,-5.0,-5.0,-3.3002,0.8713,-30.0008,-142.14,142.14,2.36791,0.0,,False,1.32827e-24,0.0
3.641,11.916,APPROACH,0.76606,-3.30326,-3.48096,-5.0,-5.0,-3.3316,0.8763,-30.0009,-142.135,142.135,2.27737,0.0,,False,6.93417e-25,0.0
3.692,11.967,APPROACH,0.766118,-3.36465,-3.54313,-5.0,-5.0,-3.3618,0.88,-30.0006,-142.131,142.131,2.19017,0.0,,False,3.66549e-25,0.0
3.743,12.018,APPROACH,0.766178,-3.42493,-3.60418,-5.0,-5.0,-3.4338,0.7192,-29.9916,-142.127,142.127,2.10456,0.0,,False,1.93762e-25,0.0
3.794,12.069,APPROACH,0.766239,-3.48412,-3.66405,-5.0,-5.0,-3.6015,0.22,-29.9734,-142.125,142.125,2.02056,0.0,,False,1.02425e-25,0.0
3.846,12.121,APPROACH,0.766298,-3.54353,-3.72369,-5.0,-5.0,-3.8034,-0.3273,-29.9683,-142.129,142.129,1.93656,0.0,,False,5.34706e-26,0.0
3.897,12.172,APPROACH,0.766347,-3.60103,-3.7806,-5.0,-5.0,-3.9685,-0.7195,-29.9762,-142.141,142.141,1.85582,0.0,,False,2.82652e-26,0.0
3.948,12.223,APPROACH,0.766379,-3.65788,-3.83579,-5.0,-5.0,-3.9958,-0.7065,-30.0004,-142.156,142.156,1.77671,0.0,,False,1.49413e-26,0.0
4.0,12.275,APPROACH,0.766399,-3.71517,-3.89029,-5.0,-5.0,-3.9232,-0.4155,-30.0185,-142.163,142.163,1.69772,0.0,,False,7.80007e-27,0.0
4.051,12.326,APPROACH,0.766411,-3.77062,-3.94211,-5.0,-5.0,-3.8444,-0.1187,-30.0195,-142.164,142.164,1.62188,0.0,,False,4.12321e-27,0.0
4.102,12.377,APPROACH,0.766418,-3.82523,-3.99241,-5.0,-5.0,-3.7883,0.1157,-30.0142,-142.162,142.162,1.54768,0.0,,False,2.17958e-27,0.0
4.153,12.428,APPROACH,0.766421,-3.87892,-4.04127,-5.0,-5.0,-3.7514,0.3006,-30.0104,-142.16,142.16,1.47512,0.0,,False,1.15215e-27,0.0
4.205,12.48,APPROACH,0.766421,-3.93266,-4.08966,-5.0,-5.0,-3.7294,0.4556,-30.0084,-142.16,142.16,1.40283,0.0,,False,6.01477e-28,0.0
4.256,12.531,APPROACH,0.766419,-3.98432,-4.13578,-5.0,-5.0,-3.7199,0.5814,-30.007,-142.16,142.16,1.33359,0.0,,False,3.17948e-28,0.0
4.307,12.582,APPROACH,0.766414,-4.03492,-4.18059,-5.0,-5.0,-3.7136,0.69,-30.0059,-142.162,142.162,1.26603,0.0,,False,1.68071e-28,0.0
4.359,12.634,APPROACH,0.766407,-4.08536,-4.22497,-5.0,-5.0,-3.7087,0.7885,-30.0051,-142.164,142.164,1.19885,0.0,,False,8.77408e-29,0.0
4.41,12.685,APPROACH,0.7664,-4.13368,-4.26722,-5.0,-5.0,-3.7094,0.8717,-30.0046,-142.166,142.166,1.13467,0.0,,False,4.63809e-29,0.0
4.461,12.736,APPROACH,0.766395,-4.18081,-4.30824,-5.0,-5.0,-3.7141,0.9408,-30.0044,-142.168,142.168,1.0722,0.0,,False,2.45175e-29,0.0
4.512,12.787,APPROACH,0.766391,-4.22673,-4.34802,-5.0,-5.0,-3.7187,0.9989,-30.0042,-142.169,142.169,1.01145,0.0,,False,1.29603e-29,0.0
4.564,12.839,APPROACH,0.766387,-4.27227,-4.38732,-5.0,-5.0,-3.5405,0.9823,-30.0,-142.168,142.168,0.951296,0.0,,False,6.76585e-30,0.0
