t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.771,STABILIZE,0.783729,0.00424481,-0.00244492,-5.0,-5.0,-0.0214,-0.0265,31.2096,-135.818,135.818,7.07234,0.0,,False,3.91412e-05,0.0
0.051,7.822,STABILIZE,0.791272,0.00431497,-0.00241975,-5.0,-5.0,0.093,0.0378,30.6611,-135.781,135.781,7.07241,0.0,,False,2.06905e-05,0.0
0.102,7.873,STABILIZE,0.796515,0.00441989,-0.00242335,-5.0,-5.0,0.1606,0.0755,30.3983,-136.213,136.214,7.07248,0.0,,False,1.09373e-05,0.0
0.153,7.924,STABILIZE,0.799613,0.00458663,-0.00247155,-5.0,-5.0,0.1345,0.0608,30.4205,-136.921,136.921,7.07257,0.0,,False,5.78158e-06,0.0
0.205,7.976,STABILIZE,0.800828,0.00480746,-0.00255879,-5.0,-5.0,0.0856,0.0353,30.7818,-137.783,137.783,7.07266,0.0,,False,3.01825e-06,0.0
0.257,8.028,STABILIZE,0.800401,0.00505896,-0.00267003,-5.0,-5.0,0.0463,0.0192,31.1443,-138.686,138.686,7.07276,0.0,,False,1.57566e-06,0.0
0.308,8.079,STABILIZE,0.798716,0.00532178,-0.00279182,-5.0,-5.0,0.0214,0.0099,31.2239,-139.549,139.549,7.07286,0.0,,False,8.32915e-07,0.0
0.359,8.13,STABILIZE,0.796095,0.00559222,-0.00291926,-5.0,-5.0,0.0057,0.0029,31.2102,-140.346,140.347,7.07296,0.0,,False,4.40289e-07,0.0
0.411,8.182,STABILIZE,0.792762,0.0058697,-0.00305018,-5.0,-5.0,-0.0047,-0.0033,31.1974,-141.065,141.065,7.07306,0.0,,False,2.29851e-07,0.0
0.462,8.233,STABILIZE,0.789115,0.00613864,-0.00317757,-5.0,-5.0,-0.0113,-0.009,31.1949,-141.664,141.665,7.07316,0.0,,False,1.21502e-07,0.0
0.513,8.284,STABILIZE,0.78532,0.00640138,-0.00330296,-5.0,-5.0,-0.0173,-0.0135,31.1956,-142.153,142.153,7.07326,0.0,,False,6.42275e-08,0.0
0.564,8.335,STABILIZE,0.781564,0.00665509,-0.0034248,-5.0,-5.0,-0.0218,-0.0165,31.1961,-142.533,142.533,7.07336,0.0,,False,3.39515e-08,0.0
0.616,8.387,APPROACH,0.777928,0.00690225,-0.00353493,-5.0,-5.0,0.1967,-0.1695,31.176,-142.814,142.814,7.07345,0.0,,False,1.77242e-08,0.0
0.667,8.438,APPROACH,0.774666,0.0071284,-0.00375357,-5.0,-5.0,1.5966,-1.0207,30.942,-143.002,143.002,7.07346,0.0,,False,9.36924e-09,0.0
0.718,8.489,APPROACH,0.771769,0.00733528,-0.00482645,-5.0,-5.0,2.6341,-2.5942,30.3488,-143.147,143.147,7.07285,0.0,,False,4.9527e-09,0.0
0.77,8.541,APPROACH,0.769215,0.00712615,-0.00759633,-5.0,-5.0,2.9383,-4.9168,29.3666,-143.288,143.288,7.07074,0.0,,False,2.58553e-09,0.0
0.821,8.592,APPROACH,0.76708,0.00562718,-0.0125765,-5.0,-5.0,3.1302,-7.7655,28.0407,-143.494,143.494,7.06617,0.0,,False,1.36675e-09,0.0
0.872,8.643,APPROACH,0.765236,0.00169073,-0.02045,-5.0,-5.0,3.4138,-9.5859,26.441,-143.799,143.799,7.05782,0.0,,False,7.22478e-10,0.0
0.923,8.694,APPROACH,0.763655,-0.005448,-0.0316357,-5.0,-5.0,3.7396,-9.8196,24.6176,-144.049,144.049,7.04487,0.0,,False,3.81911e-10,0.0
0.975,8.746,APPROACH,0.762379,-0.0161491,-0.0465263,-5.0,-5.0,4.0782,-9.2447,22.5027,-144.113,144.113,7.02678,0.0,,False,1.99375e-10,0.0
1.026,8.797,APPROACH,0.761513,-0.0298138,-0.0644632,-5.0,-5.0,4.4411,-8.9136,20.1674,-144.04,144.04,7.00445,0.0,,False,1.05392e-10,0.0
1.077,8.848,APPROACH,0.761013,-0.0465429,-0.0856664,-5.0,-5.0,4.829,-8.7271,17.6924,-143.917,143.917,6.97764,0.0,,False,5.57115e-11,0.0
1.129,8.9,APPROACH,0.76083,-0.0667546,-0.110646,-5.0,-5.0,5.2279,-8.5323,15.1277,-143.775,143.775,6.9457,0.0,,False,2.9084e-11,0.0
1.18,8.951,APPROACH,0.760915,-0.0896746,-0.138442,-5.0,-5.0,5.6015,-8.3138,12.6331,-143.631,143.631,6.90985,0.0,,False,1.53741e-11,0.0
1.231,9.002,APPROACH,0.761205,-0.115659,-0.169504,-5.0,-5.0,5.9539,-8.0803,10.1899,-143.492,143.492,6.86953,0.0,,False,8.12696e-12,0.0
1.282,9.053,APPROACH,0.761648,-0.1447,-0.203828,-5.0,-5.0,6.2903,-7.8392,7.8104,-143.364,143.364,6.82475,0.0,,False,4.29601e-12,0.0
1.334,9.105,APPROACH,0.762205,-0.177444,-0.242179,-5.0,-5.0,6.6153,-7.5877,5.4494,-143.249,143.249,6.7745,0.0,,False,2.24272e-12,0.0
1.385,9.156,APPROACH,0.762811,-0.212622,-0.283071,-5.0,-5.0,6.9129,-7.3333,3.1891,-143.153,143.153,6.72074,0.0,,False,1.18553e-12,0.0
1.436,9.207,APPROACH,0.763441,-0.250837,-0.327202,-5.0,-5.0,7.1953,-7.0707,0.9709,-143.075,143.075,6.66255,0.0,,False,6.26684e-13,0.0
1.488,9.259,APPROACH,0.764078,-0.292915,-0.375528,-5.0,-5.0,7.4705,-6.7967,-1.2607,-143.013,143.013,6.59867,0.0,,False,3.27158e-13,0.0
1.539,9.31,APPROACH,0.764673,-0.337235,-0.426177,-5.0,-5.0,7.7271,-6.5211,-3.4309,-142.969,142.969,6.53156,0.0,,False,1.7294e-13,0.0
1.59,9.361,APPROACH,0.765219,-0.384576,-0.480026,-5.0,-5.0,7.9681,-6.2376,-5.5917,-142.94,142.94,6.46005,0.0,,False,9.1418e-14,0.0
1.641,9.412,APPROACH,0.765705,-0.434935,-0.53706,-5.0,-5.0,8.0859,-6.0865,-7.7694,-142.924,142.924,6.38417,0.0,,False,4.83247e-14,0.0
1.693,9.464,APPROACH,0.766135,-0.48946,-0.598414,-5.0,-5.0,8.0449,-6.1329,-10.0189,-142.917,142.917,6.3023,0.0,,False,2.52277e-14,0.0
1.744,9.515,APPROACH,0.766486,-0.546206,-0.66158,-5.0,-5.0,8.0987,-6.0676,-12.208,-142.919,142.919,6.21757,0.0,,False,1.33357e-14,0.0
1.795,9.566,APPROACH,0.766771,-0.606284,-0.7276,-5.0,-5.0,8.2786,-5.8294,-14.3726,-142.928,142.928,6.12847,0.0,,False,7.0494e-15,0.0
1.846,9.617,APPROACH,0.766997,-0.66971,-0.796443,-5.0,-5.0,8.4814,-5.5461,-16.534,-142.941,142.941,6.03501,0.0,,False,3.7264e-15,0.0
1.898,9.669,APPROACH,0.767174,-0.737844,-0.869545,-5.0,-5.0,8.5698,-5.2035,-18.7355,-142.954,142.954,5.9352,0.0,,False,1.94535e-15,0.0
1.949,9.72,APPROACH,0.767308,-0.80804,-0.944054,-5.0,-5.0,7.8191,-4.3905,-20.8321,-142.906,142.906,5.83294,0.0,,False,1.02834e-15,0.0
2.0,9.771,APPROACH,0.767457,-0.881211,-1.02104,-5.0,-5.0,6.5318,-3.3788,-22.923,-142.735,142.735,5.72683,0.0,,False,5.43591e-16,0.0
2.052,9.823,APPROACH,0.76767,-0.958291,-1.10157,-5.0,-5.0,5.2398,-2.511,-25.0604,-142.494,142.494,5.61544,0.0,,False,2.8378e-16,0.0
2.103,9.874,APPROACH,0.767928,-1.03579,-1.1821,-5.0,-5.0,4.1442,-1.88,-26.9466,-142.265,142.265,5.50375,0.0,,False,1.50009e-16,0.0
