t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,301.603,STABILIZE,0.78479,0.00345476,-0.00499369,-5.0,-5.0,0.0006,-0.0133,29.9676,-133.254,133.254,7.06838,0.0,,False,4.2822e-07,0.0
0.053,301.656,STABILIZE,0.787899,0.00335808,-0.00492033,-5.0,-5.0,0.1306,0.0109,29.9663,-133.854,133.854,7.07308,0.0,,False,2.20773e-07,0.0
0.105,301.708,STABILIZE,0.787732,0.00329707,-0.00489525,-5.0,-5.0,0.1216,0.1433,29.9725,-134.599,134.599,7.06834,0.0,,False,1.15254e-07,0.0
0.156,301.759,STABILIZE,0.784731,0.00331794,-0.00488892,-5.0,-5.0,0.0401,0.0995,29.9698,-135.6,135.601,7.06779,0.0,,False,6.09246e-08,0.0
0.206,301.809,STABILIZE,0.779391,0.0033824,-0.00487892,-5.0,-5.0,0.0727,0.0177,29.9694,-136.835,136.835,7.0777,0.0,,False,3.26106e-08,0.0
0.258,301.861,STABILIZE,0.771762,0.00346899,-0.00489382,-5.0,-5.0,-0.0219,0.0027,29.9752,-138.3,138.3,7.06694,0.0,,False,1.70242e-08,0.0
0.311,301.914,STABILIZE,0.762349,0.00355893,-0.00490074,-5.0,-5.0,-0.0569,0.0565,29.9727,-139.884,139.884,7.06766,0.0,,False,8.77702e-09,0.0
0.363,301.966,STABILIZE,0.752083,0.00365128,-0.00487501,-5.0,-5.0,-0.013,-0.0641,29.9735,-141.437,141.437,7.06817,0.0,,False,4.58201e-09,0.0
0.413,302.016,STABILIZE,0.741777,0.0037115,-0.00486173,-5.0,-5.0,0.0693,0.0921,29.9692,-142.854,142.854,7.06512,0.0,,False,2.45257e-09,0.0
0.464,302.067,STABILIZE,0.731327,0.00382846,-0.00486154,-5.0,-5.0,0.0149,0.0181,29.9685,-144.131,144.131,7.06897,0.0,,False,1.29646e-09,0.0
0.516,302.119,STABILIZE,0.721201,0.00395884,-0.00486536,-5.0,-5.0,-0.0418,-0.1132,29.9738,-145.141,145.141,7.06886,0.0,,False,6.76811e-10,0.0
0.569,302.172,STABILIZE,0.711816,0.00403096,-0.00487684,-5.0,-5.0,-0.069,0.0294,29.9682,-145.857,145.857,7.06754,0.0,,False,3.48937e-10,0.0
0.621,302.224,STABILIZE,0.703792,0.00408926,-0.00485381,-5.0,-5.0,0.0074,-0.0067,29.9699,-146.313,146.313,7.07242,0.0,,False,1.82161e-10,0.0
0.674,302.277,STABILIZE,0.697002,0.00415196,-0.00483698,-5.0,-5.0,-0.03,-0.0392,29.9684,-146.6,146.6,7.06875,0.0,,False,9.39152e-11,0.0
0.726,302.329,STABILIZE,0.69181,0.00418853,-0.00482484,-5.0,-5.0,-0.0464,-0.0958,29.9705,-146.767,146.767,7.07058,0.0,,False,4.9028e-11,0.0
0.778,302.381,STABILIZE,0.688137,0.00417145,-0.00481486,-5.0,-5.0,0.0102,0.005,29.9692,-146.849,146.849,7.06812,0.0,,False,2.55949e-11,0.0
0.831,302.434,STABILIZE,0.685987,0.00415721,-0.00480921,-5.0,-5.0,0.0872,0.058,29.9683,-146.817,146.817,7.0752,0.0,,False,1.31957e-11,0.0
0.883,302.486,STABILIZE,0.685423,0.00418861,-0.00482653,-5.0,-5.0,0.0532,0.0924,29.9729,-146.615,146.615,7.07084,0.0,,False,6.88877e-12,0.0
0.936,302.539,STABILIZE,0.686344,0.00427307,-0.00484333,-5.0,-5.0,-0.0132,-0.0441,29.9688,-146.242,146.242,7.06952,0.0,,False,3.55158e-12,0.0
0.988,302.591,STABILIZE,0.688571,0.00432931,-0.00486253,-5.0,-5.0,-0.0752,0.0135,29.9715,-145.718,145.718,7.06562,0.0,,False,1.85409e-12,0.0
1.038,302.641,STABILIZE,0.691762,0.00436804,-0.00484726,-5.0,-5.0,-0.0848,0.0883,29.9729,-145.087,145.087,7.06711,0.0,,False,9.92421e-13,0.0
1.089,302.692,STABILIZE,0.695847,0.00442156,-0.0047769,-5.0,-5.0,0.014,-0.0864,29.97,-144.385,144.385,7.07423,0.0,,False,5.24606e-13,0.0
1.141,302.744,STABILIZE,0.700614,0.00444266,-0.00473313,-5.0,-5.0,-0.0147,-0.1059,29.9707,-143.644,143.643,7.06962,0.0,,False,2.73868e-13,0.0
1.194,302.797,STABILIZE,0.705814,0.00441498,-0.00471541,-5.0,-5.0,0.0622,0.0173,29.9679,-142.901,142.901,7.07233,0.0,,False,1.41196e-13,0.0
1.246,302.849,STABILIZE,0.710977,0.00440458,-0.0047219,-5.0,-5.0,-0.0316,0.0214,29.967,-142.233,142.233,7.06429,0.0,,False,7.37107e-14,0.0
1.299,302.902,STABILIZE,0.716042,0.00439474,-0.00471599,-5.0,-5.0,-0.022,0.1318,29.9663,-141.652,141.652,7.06969,0.0,,False,3.80023e-14,0.0
1.351,302.954,STABILIZE,0.720606,0.00442635,-0.00466863,-5.0,-5.0,-0.018,-0.0304,29.9706,-141.185,141.185,7.07212,0.0,,False,1.9839e-14,0.0
1.403,303.006,STABILIZE,0.724595,0.00444463,-0.00462373,-5.0,-5.0,0.0792,-0.1208,29.9727,-140.822,140.822,7.07375,0.0,,False,1.03568e-14,0.0
1.456,303.059,STABILIZE,0.727934,0.00443793,-0.00464017,-5.0,-5.0,0.041,0.1095,29.9743,-140.587,140.587,7.07178,0.0,,False,5.33958e-15,0.0
