t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,338.664,STABILIZE,0.785396,0.00232781,-0.00368572,-5.0,-5.0,-0.0341,0.0715,29.9682,-133.309,133.309,7.06741,0.0,,False,4.11243e-07,0.0
0.052,338.716,STABILIZE,0.788006,0.00228625,-0.00356356,-5.0,-5.0,0.1291,0.0056,29.9737,-134.006,134.006,7.06247,0.0,,False,2.14688e-07,0.0
0.102,338.766,STABILIZE,0.787557,0.0022586,-0.00346587,-5.0,-5.0,0.1791,0.1022,29.9713,-134.88,134.88,7.07399,0.0,,False,1.14914e-07,0.0
0.153,338.817,STABILIZE,0.784411,0.00229292,-0.00339111,-5.0,-5.0,0.2373,0.0822,29.9779,-135.996,135.996,7.06658,0.0,,False,6.0745e-08,0.0
0.205,338.869,STABILIZE,0.778802,0.00238915,-0.00336388,-5.0,-5.0,0.1928,-0.0181,29.9657,-137.343,137.344,7.0648,0.0,,False,3.17117e-08,0.0
0.258,338.922,STABILIZE,0.771084,0.00250313,-0.00339855,-5.0,-5.0,0.1503,0.1369,29.9718,-138.858,138.858,7.06717,0.0,,False,1.63493e-08,0.0
0.31,338.974,STABILIZE,0.762091,0.00267919,-0.00343179,-5.0,-5.0,0.1326,0.0496,29.973,-140.403,140.403,7.06778,0.0,,False,8.53508e-09,0.0
0.363,339.027,STABILIZE,0.752059,0.00288361,-0.00348386,-5.0,-5.0,0.0705,-0.0166,29.9753,-141.942,141.942,7.0708,0.0,,False,4.40035e-09,0.0
0.415,339.079,STABILIZE,0.74193,0.00307278,-0.00355488,-5.0,-5.0,-0.0087,0.181,29.9708,-143.343,143.344,7.06947,0.0,,False,2.29719e-09,0.0
0.467,339.131,STABILIZE,0.732034,0.00331756,-0.00356549,-5.0,-5.0,0.0851,0.0706,29.9724,-144.523,144.523,7.07448,0.0,,False,1.19924e-09,0.0
0.52,339.184,STABILIZE,0.722642,0.00359006,-0.00357166,-5.0,-5.0,0.1542,-0.1309,29.9735,-145.432,145.432,7.06973,0.0,,False,6.18279e-10,0.0
0.572,339.236,STABILIZE,0.714447,0.00381847,-0.00365204,-5.0,-5.0,0.173,-0.0801,29.9749,-146.037,146.037,7.07345,0.0,,False,3.2277e-10,0.0
