t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
1.009,205.798,STABILIZE,0.7385500922147784,0.014965333197575922,-0.019695172805334504,1.9912,2.361,29.9581,141.884,141.884,7.06117,0.0,,False,1.24039e-12,0.0
2.194,206.429,APPROACH,0.7390607062310346,0.004863928154417771,-0.016905995309738003,0.1807,-0.119,29.9413,144.005,144.005,6.92804,0.0,,False,2.96912e-16,0.0
3.235,207.056,APPROACH,0.7279447677746929,-0.13412376997063744,-0.2207408352774568,6.4369,-7.7282,6.755,143.929,143.929,6.22863,0.0,,False,1.90793e-19,0.0
4.354,207.69,APPROACH,0.7267551846289637,-0.6869687929027761,-0.8544526786380743,8.6207,-5.3237,-18.6722,142.833,142.833,4.89074,0.0,,False,6.8132e-23,0.0
5.469,208.321,APPROACH,0.7292720249205558,-1.7552933842596932,-1.9571873737243255,-1.1644,0.251,-29.9556,142.768,142.768,3.50391,0.0,,False,2.68886e-26,0.0
6.505,208.898,APPROACH,0.72736482252612,-2.6220825028165264,-2.8323607798103807,-2.7525,0.8048,-30.0009,142.894,142.894,2.38241,0.0,,False,1.81643e-29,0.0
7.501,209.469,APPROACH,0.7259746022666645,-3.378734946594697,-3.5953801185205267,-3.2047,0.8183,-29.9948,142.945,142.945,1.49548,0.0,,False,1.5954e-32,0.0
8.62,210.043,APPROACH,0.725594559146077,-3.9909747373743643,-4.167994836749822,-3.5337,0.6211,-30.0073,142.895,142.895,0.78996,0.0,,False,1.19111e-35,0.0
9.659,210.672,APPROACH,0.7259698095183809,-4.538940067917993,-4.627315260563779,-5.1456,1.8492,-30.0276,143.223,143.223,0.272278,0.0,,False,3.89706e-39,0.0
10.86,211.308,ALIGN,0.7256370899029869,-4.835502465996304,-4.870371524937646,-3.7123,1.3861,-29.9933,142.835,142.835,0.0742003,0.0,,False,8.13002e-43,0.0
11.888,211.941,ALIGN,0.7256935646522162,-4.954089358025975,-4.966962229929823,-1.1709,0.4461,-29.9992,142.799,142.799,0.020992,0.0,,False,5.70201e-46,0.0
12.89,212.511,HIGH_HOVER,0.7256629993361998,-4.986682412278326,-4.9931273781178955,-0.3926,0.1581,-29.9999,142.728,142.728,0.0039658,0.0,,False,5.07118e-49,0.0
13.895,213.08,NEAR_WATER,0.7261746174104188,-4.997884598676062,-5.002175545835115,-0.1491,0.0511,-30.0,142.727,142.727,0.00537494,0.0,,False,4.08095e-52,0.0
15.022,213.656,NEAR_WATER,0.6586122646764305,-5.002211441611811,-5.005598530230873,-0.0673,0.0287,-30.0,145.325,145.325,0.00759635,0.0,,False,1.40366e-55,0.0
16.022,214.286,NEAR_WATER,0.4903952206281642,-5.003799011920925,-5.00680221204147,-0.0137,-0.0012,-30.0,142.973,142.973,0.00809353,0.0,,False,1.23286e-58,0.0
17.047,214.86,CONTACT_CONFIRM,0.39395490273073397,-5.004237360720704,-5.006942667450647,0.0025,-0.0082,-30.0,133.599,133.599,0.0082207,-0.0386955,,False,11.2186,1.43877
18.072,215.428,SETTLING,0.3717152112614965,-5.00444326368175,-5.006902438341571,-0.012,-0.0129,-30.0,123.077,123.076,0.00831305,-0.0386955,,False,22.97,0.364338
19.178,216.002,SPOOL_DOWN,0.36788214626683036,-5.005096721187032,-5.006629397024458,-0.0263,-0.0024,-30.0,96.6229,96.6229,0.00623869,-0.0386955,,False,51.3325,1.48099
20.199,216.631,SPOOL_DOWN,0.35338533916984566,-5.0024706295818255,-5.005070631414631,-0.2077,-0.0132,-29.9999,41.4251,41.4251,0.00488473,-0.0386955,,False,78.3711,0.439151
21.214,217.21,LANDED,0.3475722448585679,-4.999591155753082,-5.005027000015753,-0.2216,-0.1118,-30.0001,0.350593,0.35058,0.00677169,-0.0386955,,False,80.3585,0.00134568
