t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,317.224,STABILIZE,0.731011,0.627454,-0.0225063,-5.0,-5.0,5.1365,13.3945,29.9893,-144.306,144.306,7.5129,0.0,,False,1.94029e-08,0.0
0.053,317.277,STABILIZE,0.732223,0.549599,-0.0222933,-5.0,-5.0,6.0908,12.5086,29.9137,-144.17,144.17,7.45491,0.0,,False,1.00034e-08,0.0
0.105,317.329,STABILIZE,0.733156,0.479785,-0.0216768,-5.0,-5.0,6.7437,11.3353,29.8737,-144.057,144.057,7.4035,0.0,,False,5.22222e-09,0.0
0.157,317.381,STABILIZE,0.733876,0.416145,-0.0212041,-5.0,-5.0,6.8453,10.9861,29.9451,-143.977,143.977,7.35684,0.0,,False,2.72624e-09,0.0
0.21,317.434,STABILIZE,0.734388,0.357499,-0.0209756,-5.0,-5.0,6.7513,11.0469,29.9976,-143.977,143.977,7.31392,0.0,,False,1.40554e-09,0.0
0.262,317.486,STABILIZE,0.734671,0.306062,-0.0209299,-5.0,-5.0,6.6636,11.1219,30.0004,-144.037,144.037,7.27636,0.0,,False,7.33757e-10,0.0
0.315,317.539,STABILIZE,0.734754,0.259872,-0.0210047,-5.0,-5.0,6.6119,11.1541,29.9916,-144.126,144.126,7.2427,0.0,,False,3.78296e-10,0.0
0.367,317.591,STABILIZE,0.734665,0.220677,-0.0211711,-5.0,-5.0,6.5804,11.1698,29.9881,-144.218,144.218,7.21417,0.0,,False,1.97488e-10,0.0
0.417,317.641,STABILIZE,0.734453,0.188711,-0.0214056,-5.0,-5.0,6.5555,11.1831,29.988,-144.304,144.304,7.19091,0.0,,False,1.05708e-10,0.0
0.468,317.692,STABILIZE,0.73414,0.161888,-0.0217101,-5.0,-5.0,6.531,11.1949,29.9881,-144.382,144.382,7.17136,0.0,,False,5.58784e-11,0.0
0.52,317.744,STABILIZE,0.733748,0.14056,-0.0220766,-5.0,-5.0,6.1954,10.7977,29.9484,-144.422,144.422,7.15577,0.0,,False,2.91711e-11,0.0
0.573,317.797,STABILIZE,0.733339,0.124833,-0.0224597,-5.0,-5.0,5.353,9.5939,29.8801,-144.309,144.309,7.14422,0.0,,False,1.50395e-11,0.0
0.625,317.849,STABILIZE,0.733028,0.114602,-0.0227839,-5.0,-5.0,4.486,7.9156,29.854,-144.023,144.023,7.13665,0.0,,False,7.85129e-12,0.0
0.678,317.902,STABILIZE,0.732856,0.108533,-0.0230954,-5.0,-5.0,3.7562,6.5271,29.8938,-143.663,143.663,7.13209,0.0,,False,4.04782e-12,0.0
0.73,317.954,STABILIZE,0.732806,0.106112,-0.0234054,-5.0,-5.0,3.1746,5.5185,29.9333,-143.346,143.346,7.13014,0.0,,False,2.11315e-12,0.0
0.782,318.006,STABILIZE,0.73282,0.106632,-0.0237135,-5.0,-5.0,2.689,4.6979,29.9526,-143.097,143.097,7.1303,0.0,,False,1.10316e-12,0.0
0.835,318.059,STABILIZE,0.732851,0.109725,-0.0240158,-5.0,-5.0,2.2721,3.983,29.9619,-142.913,142.913,7.1323,0.0,,False,5.68746e-13,0.0
0.887,318.111,STABILIZE,0.732864,0.114891,-0.0243003,-5.0,-5.0,1.9258,3.383,29.9683,-142.791,142.791,7.1358,0.0,,False,2.96911e-13,0.0
0.94,318.164,STABILIZE,0.732837,0.121994,-0.0245775,-5.0,-5.0,1.6265,2.864,29.9735,-142.713,142.713,7.1407,0.0,,False,1.53076e-13,0.0
0.992,318.216,STABILIZE,0.732758,0.130489,-0.0248348,-5.0,-5.0,1.3781,2.4329,29.9773,-142.672,142.672,7.14662,0.0,,False,7.99126e-14,0.0
1.042,318.266,STABILIZE,0.732633,0.139866,-0.0250681,-5.0,-5.0,1.1755,2.0802,29.98,-142.656,142.656,7.15319,0.0,,False,4.27741e-14,0.0
1.093,318.317,STABILIZE,0.732456,0.150468,-0.0252956,-5.0,-5.0,0.9987,1.7742,29.982,-142.655,142.655,7.16066,0.0,,False,2.26109e-14,0.0
1.145,318.369,STABILIZE,0.732231,0.162195,-0.0255177,-5.0,-5.0,0.8444,1.5098,29.9834,-142.664,142.664,7.16894,0.0,,False,1.18039e-14,0.0
1.198,318.422,STABILIZE,0.731963,0.174956,-0.02573,-5.0,-5.0,0.7115,1.2815,29.9844,-142.679,142.679,7.17799,0.0,,False,6.08565e-15,0.0
1.25,318.474,STABILIZE,0.731672,0.188144,-0.0259228,-5.0,-5.0,0.602,1.0917,29.9852,-142.697,142.697,7.18737,0.0,,False,3.17699e-15,0.0
1.303,318.527,STABILIZE,0.731356,0.202162,-0.0261047,-5.0,-5.0,0.5074,0.9284,29.9857,-142.714,142.714,7.19737,0.0,,False,1.63793e-15,0.0
1.355,318.579,STABILIZE,0.731034,0.216389,-0.0262726,-5.0,-5.0,0.4282,0.7942,29.9861,-142.73,142.73,7.20754,0.0,,False,8.55075e-16,0.0
1.407,318.631,STABILIZE,0.73071,0.231011,-0.0264299,-5.0,-5.0,0.3599,0.6819,29.9864,-142.744,142.744,7.21802,0.0,,False,4.46388e-16,0.0
1.46,318.684,STABILIZE,0.730381,0.24626,-0.0265741,-5.0,-5.0,0.3015,0.5847,29.9865,-142.755,142.755,7.22898,0.0,,False,2.3014e-16,0.0
1.512,318.736,STABILIZE,0.730066,0.261512,-0.0267018,-5.0,-5.0,0.2522,0.5033,29.9867,-142.764,142.764,7.23997,0.0,,False,1.20144e-16,0.0
1.565,318.789,STABILIZE,0.729757,0.27731,-0.0268175,-5.0,-5.0,0.208,0.4326,29.9868,-142.771,142.771,7.25138,0.0,,False,6.19414e-17,0.0
1.617,318.841,STABILIZE,0.729468,0.293025,-0.0269157,-5.0,-5.0,0.1698,0.373,29.9869,-142.775,142.775,7.26276,0.0,,False,3.23362e-17,0.0
1.667,318.891,STABILIZE,0.729205,0.30831,-0.0269939,-5.0,-5.0,0.1374,0.3233,29.9869,-142.778,142.778,7.27385,0.0,,False,1.73083e-17,0.0
1.718,318.942,STABILIZE,0.728952,0.32405,-0.0270552,-5.0,-5.0,0.1085,0.2795,29.9869,-142.78,142.78,7.28531,0.0,,False,9.1494e-18,0.0
1.77,318.994,STABILIZE,0.728712,0.340231,-0.0270968,-5.0,-5.0,0.083,0.2419,29.987,-142.78,142.78,7.29711,0.0,,False,4.77641e-18,0.0
1.823,319.047,STABILIZE,0.728484,0.356836,-0.0271173,-5.0,-5.0,0.0599,0.2103,29.987,-142.78,142.78,7.30926,0.0,,False,2.46253e-18,0.0
1.875,319.099,STABILIZE,0.728279,0.373221,-0.0271171,-5.0,-5.0,0.0384,0.1858,29.987,-142.779,142.779,7.32128,0.0,,False,1.28555e-18,0.0
1.928,319.152,STABILIZE,0.728086,0.389999,-0.0270935,-5.0,-5.0,0.0125,0.1565,29.987,-142.777,142.777,7.33361,0.0,,False,6.62781e-19,0.0
1.98,319.204,STABILIZE,0.727914,0.406516,-0.0270451,-5.0,-5.0,-0.1561,-0.1448,29.9873,-142.775,142.775,7.34579,0.0,,False,3.46002e-19,0.0
2.032,319.256,STABILIZE,0.727757,0.422931,-0.026973,-5.0,-5.0,-0.4452,-0.6793,29.989,-142.774,142.774,7.35793,0.0,,False,1.80629e-19,0.0
2.085,319.309,STABILIZE,0.727609,0.439264,-0.0268824,-5.0,-5.0,-0.6956,-1.1408,29.9906,-142.778,142.778,7.37004,0.0,,False,9.31251e-20,0.0
2.137,319.361,STABILIZE,0.727474,0.454656,-0.0267832,-5.0,-5.0,-0.8476,-1.4214,29.9902,-142.786,142.786,7.38147,0.0,,False,4.86156e-20,0.0
2.19,319.414,STABILIZE,0.727344,0.469551,-0.0266776,-5.0,-5.0,-0.9282,-1.5742,29.989,-142.795,142.795,7.39256,0.0,,False,2.50643e-20,0.0
2.242,319.466,STABILIZE,0.727224,0.483312,-0.0265725,-5.0,-5.0,-0.9624,-1.6434,29.9879,-142.801,142.801,7.40282,0.0,,False,1.30847e-20,0.0
2.292,319.516,STABILIZE,0.727115,0.495716,-0.0264722,-5.0,-5.0,-0.9673,-1.6599,29.9872,-142.806,142.806,7.41208,0.0,,False,7.00374e-21,0.0
2.343,319.567,STABILIZE,0.727012,0.507527,-0.0263755,-5.0,-5.0,-0.9538,-1.6401,29.9867,-142.807,142.807,7.4209,0.0,,False,3.70226e-21,0.0
2.395,319.619,STABILIZE,0.726916,0.518707,-0.026288,-5.0,-5.0,-0.9284,-1.5919,29.9863,-142.807,142.807,7.42926,0.0,,False,1.93275e-21,0.0
2.448,319.672,STABILIZE,0.726827,0.529236,-0.0262092,-5.0,-5.0,-0.8934,-1.5234,29.9861,-142.805,142.805,7.43714,0.0,,False,9.9645e-22,0.0
2.5,319.724,STABILIZE,0.726749,0.538746,-0.0261345,-5.0,-5.0,-0.8491,-1.4446,29.986,-142.801,142.801,7.44426,0.0,,False,5.20193e-22,0.0
2.553,319.777,STABILIZE,0.726681,0.547647,-0.0260599,-5.0,-5.0,-0.7969,-1.3573,29.986,-142.795,142.795,7.45094,0.0,,False,2.68191e-22,0.0
2.605,319.829,STABILIZE,0.726626,0.55565,-0.0259885,-5.0,-5.0,-0.7438,-1.2686,29.986,-142.788,142.788,7.45695,0.0,,False,1.40008e-22,0.0
2.657,319.881,STABILIZE,0.726582,0.562977,-0.0259178,-5.0,-5.0,-0.6905,-1.1798,29.9861,-142.781,142.781,7.46245,0.0,,False,7.30906e-23,0.0
2.71,319.934,STABILIZE,0.726548,0.5698,-0.0258494,-5.0,-5.0,-0.6385,-1.0915,29.9861,-142.773,142.773,7.46759,0.0,,False,3.76826e-23,0.0
