t_s,sim_time_s,state,z_m,x_m,y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
1.06,260.805,APPROACH,0.7445196277168555,0.010941910903630734,-0.00053776810866225,0.0584,-0.0179,30.0,142.363,142.363,7.07935,0.0,,False,1.59519e-16,0.0
2.079,261.468,APPROACH,0.7364410905864016,0.01386203340508435,-0.0038617749194329895,2.993,-3.4788,28.7946,144.17,144.17,6.8927,0.0,,False,7.88398e-20,0.0
3.095,262.074,APPROACH,0.7271855035198779,-0.18993830225073843,-0.26279613758255266,6.9248,-7.321,3.0976,143.897,143.897,6.09262,0.0,,False,4.09631e-23,0.0
4.094,262.678,APPROACH,0.7268298973335449,-0.8178226420208383,-0.9545881452328802,7.5854,-3.9011,-22.1654,142.723,142.723,4.80304,0.0,,False,2.41173e-26,0.0
5.124,263.284,APPROACH,0.7292619573852049,-1.7568846007774173,-1.9131453014789586,-1.0083,0.2664,-29.9433,142.784,142.784,3.43472,0.0,,False,1.01318e-29,0.0
6.24,263.953,APPROACH,0.7269631751887219,-2.7775246677468313,-2.940104375185068,-2.8408,0.8494,-30.0006,142.896,142.896,2.18301,0.0,,False,2.45577e-33,0.0
7.235,264.559,APPROACH,0.7260250266151868,-3.542203392820253,-3.70935614843099,-3.5599,-0.1113,-29.9703,142.918,142.918,1.28882,0.0,,False,1.39263e-36,0.0
8.253,265.163,APPROACH,0.7257549327992623,-4.160786338897339,-4.279490855315624,-3.4508,0.9587,-30.0035,142.863,142.863,0.609755,0.0,,False,7.41892e-40,0.0
9.269,265.766,APPROACH,0.7256517135545791,-4.633450381935419,-4.688291347097656,-5.7381,2.055,-30.0038,143.144,143.144,0.212176,0.0,,False,3.85469e-43,0.0
10.275,266.371,ALIGN,0.7258307171459099,-4.878289299833951,-4.898309364386077,-2.8877,1.0327,-29.9959,142.774,142.774,0.065902,0.0,,False,2.10548e-46,0.0
11.307,266.983,ALIGN,0.7263362206247272,-4.961525018413137,-4.970218684734067,-1.0053,0.357,-29.9995,142.76,142.76,0.0160558,0.0,,False,9.41576e-50,0.0
12.314,267.586,HIGH_HOVER,0.7260785622229496,-4.990590449771237,-4.995278814768945,-0.3406,0.1162,-29.9999,142.758,142.758,0.00261436,0.0,,False,5.14302e-53,0.0
13.332,268.191,NEAR_WATER,0.7260231156533896,-5.000222336008297,-5.003553135196733,-0.1233,0.0404,-30.0,127.584,127.584,0.00661479,0.0,,False,2.54186e-56,0.0
14.333,268.796,NEAR_WATER,0.5974108951121554,-5.003657291265325,-5.006313960944848,-0.0615,0.0209,-30.0,144.484,144.484,0.00861522,0.0,,False,1.47794e-59,0.0
15.354,269.394,NEAR_WATER,0.466797604631817,-5.0048028340569175,-5.007374711963087,-0.0236,-0.0011,-30.0,142.798,142.798,0.00914025,0.0,,False,7.67902e-63,0.0
16.464,269.997,SETTLING,0.37281260533886723,-5.0052596918351195,-5.007604287197133,-0.0149,-0.0009,-30.0,127.546,127.546,0.00943799,-0.0415635,,False,17.8756,0.386202
17.471,270.661,SPOOL_DOWN,0.36994121205475416,-5.005834389164611,-5.007343799078848,-0.0197,0.0016,-30.0,118.268,118.268,0.00895641,-0.0415635,,False,27.9906,1.40204
18.484,271.266,SPOOL_DOWN,0.36128614397203374,-5.005378445022976,-5.006272347544408,-0.2263,0.0862,-29.9998,72.4768,72.4767,0.00579318,-0.0415635,,False,66.5067,1.00435
19.512,271.868,LANDED,0.3496173794831848,-5.002398659962765,-5.0045910549691195,-0.202,-0.0202,-30.0,13.3896,13.3896,0.0043709,-0.0415635,,False,80.3105,0.0814758
