t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.892,STABILIZE,0.791663,0.00431345,-0.00247859,-5.0,-5.0,-0.0215,-0.0254,30.2032,-135.405,135.405,7.07237,0.0,,False,1.76622e-05,0.0
0.052,7.944,STABILIZE,0.798334,0.00437137,-0.0024574,-4.9883,-5.0,0.1005,0.0468,29.9282,-135.905,135.905,7.06415,0.0,,False,9.22049e-06,0.0
0.103,7.995,STABILIZE,0.802481,0.00446535,-0.00246475,-4.9724,-5.0,0.1665,0.0845,29.8497,-136.668,136.668,7.05298,0.0,,False,4.87406e-06,0.0
0.155,8.047,STABILIZE,0.804536,0.00462808,-0.00251678,-4.9562,-5.0,0.1383,0.0677,30.0538,-137.589,137.589,7.04164,0.0,,False,2.54448e-06,0.0
0.206,8.098,STABILIZE,0.804736,0.00484108,-0.00260436,-4.94,-5.0,0.0886,0.0416,30.1906,-138.544,138.544,7.03032,0.0,,False,1.34505e-06,0.0
0.258,8.15,STABILIZE,0.803432,0.00509207,-0.00271761,-4.9271,-5.0,0.0498,0.0226,30.2094,-139.503,139.503,7.02135,0.0,,False,7.02176e-07,0.0
0.309,8.201,STABILIZE,0.801007,0.00535644,-0.00284168,-4.9106,-5.0,0.0256,0.0102,30.2008,-140.386,140.386,7.00987,0.0,,False,3.71179e-07,0.0
0.36,8.252,STABILIZE,0.797755,0.00562903,-0.00297291,-4.8944,-5.0,0.0094,0.0015,30.1964,-141.187,141.187,6.99861,0.0,,False,1.9621e-07,0.0
0.411,8.303,STABILIZE,0.793959,0.00590386,-0.00310741,-4.8812,-5.0,-0.0028,-0.0051,30.1959,-141.886,141.886,6.98947,0.0,,False,1.03719e-07,0.0
0.463,8.355,STABILIZE,0.789783,0.00618136,-0.00324441,-4.865,-5.0,-0.0122,-0.0104,30.1962,-142.488,142.488,6.97825,0.0,,False,5.4146e-08,0.0
0.514,8.406,STABILIZE,0.785604,0.00644652,-0.00337648,-4.8488,-5.0,-0.019,-0.0142,30.1963,-142.967,142.967,6.96704,0.0,,False,2.86222e-08,0.0
0.565,8.457,APPROACH,0.781515,0.00670153,-0.00350416,-4.8323,-5.0,-0.0191,-0.0213,30.196,-143.34,143.34,6.95564,0.0,,False,1.51301e-08,0.0
0.617,8.509,APPROACH,0.777583,0.00694654,-0.00362397,-4.8194,-5.0,0.7689,-0.4951,30.1026,-143.618,143.618,6.94675,0.0,,False,7.89858e-09,0.0
