t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,7.883,IDLE,0.79148,0.00431275,-0.00247939,-5.0,-5.0,-0.0218,-0.0257,30.2106,-135.401,135.401,7.07237,0.0,,False,1.79062e-05,0.0
0.051,7.934,STABILIZE,0.798102,0.00436881,-0.00245793,-4.9889,-5.0,0.0904,0.0411,29.9342,-135.893,135.893,7.06457,0.0,,False,9.46545e-06,0.0
0.102,7.985,STABILIZE,0.802348,0.00445764,-0.00246196,-4.973,-5.0,0.1659,0.0844,29.84,-136.65,136.65,7.0534,0.0,,False,5.00356e-06,0.0
0.154,8.037,STABILIZE,0.804498,0.00461511,-0.00251048,-4.9568,-5.0,0.1424,0.0701,30.0326,-137.564,137.565,7.04206,0.0,,False,2.61208e-06,0.0
0.206,8.089,STABILIZE,0.804774,0.00482923,-0.00259765,-4.9406,-5.0,0.0916,0.0431,30.1756,-138.535,138.535,7.03074,0.0,,False,1.36363e-06,0.0
0.257,8.14,STABILIZE,0.803557,0.00507386,-0.00270755,-4.9244,-5.0,0.0524,0.0238,30.196,-139.475,139.475,7.01945,0.0,,False,7.2083e-07,0.0
0.308,8.191,STABILIZE,0.801197,0.00533739,-0.00283093,-4.9112,-5.0,0.0272,0.011,30.1877,-140.357,140.357,7.01028,0.0,,False,3.8104e-07,0.0
0.359,8.242,STABILIZE,0.798,0.0056098,-0.00296191,-4.895,-5.0,0.0105,0.0021,30.1831,-141.157,141.157,6.99903,0.0,,False,2.01422e-07,0.0
0.411,8.294,STABILIZE,0.794172,0.0058903,-0.0030991,-4.8785,-5.0,-0.0022,-0.0048,30.1825,-141.87,141.87,6.98758,0.0,,False,1.05152e-07,0.0
0.462,8.345,STABILIZE,0.790109,0.00616302,-0.00323371,-4.8656,-5.0,-0.0116,-0.0101,30.1828,-142.462,142.462,6.97866,0.0,,False,5.55845e-08,0.0
0.513,8.396,STABILIZE,0.785955,0.00642903,-0.00336618,-4.8494,-5.0,-0.0186,-0.014,30.1829,-142.944,142.944,6.96745,0.0,,False,2.93826e-08,0.0
0.565,8.448,APPROACH,0.781806,0.00668991,-0.00349693,-4.8329,-5.0,-0.0203,-0.0198,30.1827,-143.325,143.325,6.95605,0.0,,False,1.53391e-08,0.0
0.616,8.499,APPROACH,0.777961,0.00693148,-0.00361243,-4.8167,-5.0,0.7106,-0.4625,30.0978,-143.6,143.6,6.94488,0.0,,False,8.10843e-09,0.0
0.667,8.55,APPROACH,0.77444,0.00715956,-0.00411212,-4.8035,-5.0,2.279,-1.646,29.7052,-143.805,143.805,6.93551,0.0,,False,4.28621e-09,0.0
0.718,8.601,APPROACH,0.771284,0.00725734,-0.00589176,-4.7873,-5.0,2.9797,-3.5397,28.9414,-143.987,143.987,6.92307,0.0,,False,2.26575e-09,0.0
0.77,8.653,APPROACH,0.768449,0.0065768,-0.00974308,-4.7711,-5.0,3.1926,-6.176,27.7834,-144.193,144.193,6.90861,0.0,,False,1.18282e-09,0.0
0.821,8.704,APPROACH,0.766011,0.00406888,-0.0161489,-4.7579,-5.0,3.4236,-8.7657,26.3131,-144.494,144.494,6.89312,0.0,,False,6.25255e-10,0.0
0.872,8.755,APPROACH,0.763856,-0.00135007,-0.0257375,-4.7417,-5.0,3.7323,-9.8281,24.6076,-144.828,144.828,6.87126,0.0,,False,3.30517e-10,0.0
0.924,8.807,APPROACH,0.761976,-0.0103533,-0.0390437,-4.7252,-5.0,4.0643,-9.4728,22.6436,-145.023,145.023,6.84404,0.0,,False,1.72545e-10,0.0
0.975,8.858,APPROACH,0.760531,-0.0224917,-0.0555156,-4.709,-5.0,4.4066,-8.9863,20.4399,-145.026,145.026,6.81258,0.0,,False,9.12095e-11,0.0
1.026,8.909,APPROACH,0.759511,-0.0377577,-0.075309,-4.6961,-5.0,4.7786,-8.7446,18.0285,-144.934,144.934,6.77884,0.0,,False,4.82145e-11,0.0
1.077,8.96,APPROACH,0.758887,-0.0561254,-0.0984102,-4.6796,-5.0,5.1639,-8.559,15.528,-144.803,144.803,6.73811,0.0,,False,2.54868e-11,0.0
