t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,5.646,STABILIZE,0.791298,0.00431292,-0.00247892,-5.0,-5.0,-0.0216,-0.0253,30.2078,-135.359,135.359,7.07237,0.0,,False,1.82054e-05,0.0
0.051,5.697,STABILIZE,0.797973,0.00437008,-0.00245824,-5.0,-5.0,0.1001,0.0465,29.936,-135.831,135.831,7.07242,0.0,,False,9.6236e-06,0.0
0.102,5.748,STABILIZE,0.802251,0.00446437,-0.00246562,-5.0,-5.0,0.1661,0.0842,29.852,-136.586,136.586,7.07248,0.0,,False,5.08716e-06,0.0
0.153,5.799,STABILIZE,0.804389,0.00462341,-0.0025162,-5.0,-5.0,0.139,0.0681,30.049,-137.489,137.489,7.07256,0.0,,False,2.68913e-06,0.0
0.205,5.851,STABILIZE,0.804687,0.00483997,-0.00260499,-5.0,-5.0,0.0885,0.0414,30.1938,-138.468,138.468,7.07265,0.0,,False,1.40385e-06,0.0
0.256,5.902,STABILIZE,0.80347,0.00508562,-0.00271571,-5.0,-5.0,0.0504,0.0228,30.2141,-139.418,139.418,7.07275,0.0,,False,7.42093e-07,0.0
0.307,5.953,STABILIZE,0.801089,0.00534946,-0.00283938,-5.0,-5.0,0.026,0.0105,30.2056,-140.313,140.313,7.07285,0.0,,False,3.92279e-07,0.0
0.359,6.005,STABILIZE,0.797787,0.00562703,-0.00297289,-5.0,-5.0,0.0095,0.0016,30.2009,-141.141,141.141,7.07295,0.0,,False,2.04788e-07,0.0
0.41,6.056,STABILIZE,0.79398,0.00590156,-0.00310719,-5.0,-5.0,-0.0026,-0.005,30.2004,-141.85,141.85,7.07305,0.0,,False,1.08253e-07,0.0
0.461,6.107,STABILIZE,0.789863,0.00617354,-0.0032414,-5.0,-5.0,-0.0119,-0.0102,30.2007,-142.451,142.451,7.07314,0.0,,False,5.7224e-08,0.0
0.512,6.158,STABILIZE,0.78565,0.00643872,-0.00337339,-5.0,-5.0,-0.0188,-0.014,30.2008,-142.941,142.941,7.07324,0.0,,False,3.02493e-08,0.0
