t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,5.283,STABILIZE,0.783589,0.00425315,-0.00262086,-5.0,-5.0,-0.0279,-0.024,31.129,-135.422,135.422,7.07222,0.0,,False,4.25079e-05,0.0
0.052,5.335,STABILIZE,0.791791,0.00432696,-0.00259189,-5.0,-5.0,0.0916,0.0369,30.588,-135.421,135.421,7.0723,0.0,,False,2.21911e-05,0.0
0.103,5.386,STABILIZE,0.797351,0.00443293,-0.00259174,-5.0,-5.0,0.1636,0.0724,30.3361,-135.911,135.911,7.07237,0.0,,False,1.17305e-05,0.0
0.154,5.437,STABILIZE,0.800622,0.0045999,-0.00263781,-5.0,-5.0,0.1376,0.0586,30.3702,-136.682,136.682,7.07246,0.0,,False,6.20088e-06,0.0
0.205,5.488,STABILIZE,0.801873,0.00481576,-0.00272218,-5.0,-5.0,0.0877,0.0349,30.7298,-137.594,137.594,7.07255,0.0,,False,3.27786e-06,0.0
0.257,5.54,STABILIZE,0.801405,0.00506642,-0.00283254,-5.0,-5.0,0.0492,0.019,31.0637,-138.567,138.567,7.07265,0.0,,False,1.71119e-06,0.0
0.308,5.591,STABILIZE,0.799581,0.00532891,-0.00295461,-5.0,-5.0,0.0249,0.0095,31.1302,-139.497,139.497,7.07275,0.0,,False,9.04558e-07,0.0
0.359,5.642,STABILIZE,0.796741,0.00559974,-0.00308361,-5.0,-5.0,0.0088,0.0019,31.116,-140.359,140.359,7.07285,0.0,,False,4.7816e-07,0.0
0.411,5.694,STABILIZE,0.793122,0.0058778,-0.00321754,-5.0,-5.0,-0.0023,-0.0048,31.1046,-141.14,141.14,7.07295,0.0,,False,2.49622e-07,0.0
0.462,5.745,STABILIZE,0.78915,0.00614737,-0.0033492,-5.0,-5.0,-0.0106,-0.0095,31.1027,-141.793,141.793,7.07305,0.0,,False,1.31953e-07,0.0
0.513,5.796,STABILIZE,0.785,0.00641076,-0.00347914,-5.0,-5.0,-0.0172,-0.0125,31.1032,-142.33,142.33,7.07314,0.0,,False,6.9752e-08,0.0
0.564,5.847,STABILIZE,0.780875,0.00666549,-0.0036053,-5.0,-5.0,-0.0222,-0.0154,31.1035,-142.752,142.752,7.07324,0.0,,False,3.68718e-08,0.0
0.616,5.899,APPROACH,0.77686,0.00691422,-0.00372257,-5.0,-5.0,0.1001,-0.1116,31.0928,-143.07,143.07,7.07333,0.0,,False,1.92488e-08,0.0
0.667,5.95,APPROACH,0.773234,0.00713979,-0.00389743,-5.0,-5.0,1.3776,-0.8666,30.9019,-143.285,143.285,7.07336,0.0,,False,1.01751e-08,0.0
0.718,6.001,APPROACH,0.769995,0.00735429,-0.00480826,-5.0,-5.0,2.5626,-2.354,30.3589,-143.446,143.446,7.07287,0.0,,False,5.3787e-09,0.0
0.77,6.053,APPROACH,0.76712,0.00723195,-0.00733568,-5.0,-5.0,2.9306,-4.5963,29.4265,-143.596,143.596,7.071,0.0,,False,2.80793e-09,0.0
0.821,6.104,APPROACH,0.764704,0.00594342,-0.0120143,-5.0,-5.0,3.1159,-7.4356,28.1459,-143.795,143.795,7.06679,0.0,,False,1.4843e-09,0.0
0.872,6.155,APPROACH,0.762619,0.00234034,-0.0195277,-5.0,-5.0,3.3896,-9.4535,26.58,-144.099,144.099,7.05893,0.0,,False,7.84621e-10,0.0
0.923,6.206,APPROACH,0.760827,-0.00442394,-0.03034,-5.0,-5.0,3.7137,-9.8795,24.788,-144.367,144.367,7.04651,0.0,,False,4.14761e-10,0.0
0.975,6.258,APPROACH,0.759355,-0.0147795,-0.0448775,-5.0,-5.0,4.0508,-9.309,22.7146,-144.452,144.452,7.02892,0.0,,False,2.16524e-10,0.0
1.026,6.309,APPROACH,0.758325,-0.0281413,-0.0624962,-5.0,-5.0,4.4086,-8.939,20.4083,-144.385,144.385,7.00702,0.0,,False,1.14457e-10,0.0
1.077,6.36,APPROACH,0.757695,-0.044584,-0.0833998,-5.0,-5.0,4.7926,-8.7447,17.9438,-144.257,144.257,6.98062,0.0,,False,6.05035e-11,0.0
1.129,6.412,APPROACH,0.757416,-0.0645167,-0.10809,-5.0,-5.0,5.1892,-8.5538,15.3783,-144.106,144.106,6.94908,0.0,,False,3.15856e-11,0.0
