t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,5.133,STABILIZE,0.785281,0.00416868,-0.00255986,-5.0,-5.0,-0.0306,-0.0239,31.178,-135.913,135.913,7.07221,0.0,,False,3.45893e-05,0.0
0.051,5.184,STABILIZE,0.792416,0.00425256,-0.00253564,-5.0,-5.0,0.09,0.0366,30.6229,-135.97,135.97,7.07228,0.0,,False,1.82843e-05,0.0
0.102,5.235,STABILIZE,0.797315,0.00436998,-0.00253939,-5.0,-5.0,0.159,0.07,30.3567,-136.445,136.445,7.07236,0.0,,False,9.66533e-06,0.0
0.154,5.287,STABILIZE,0.800188,0.00455103,-0.00258987,-5.0,-5.0,0.1331,0.0548,30.381,-137.175,137.175,7.07246,0.0,,False,5.04574e-06,0.0
0.205,5.338,STABILIZE,0.801183,0.004776,-0.00267749,-5.0,-5.0,0.0846,0.0317,30.7384,-138.007,138.007,7.07255,0.0,,False,2.66724e-06,0.0
0.256,5.389,STABILIZE,0.800677,0.00502921,-0.0027885,-5.0,-5.0,0.0466,0.0164,31.0959,-138.869,138.869,7.07265,0.0,,False,1.40994e-06,0.0
0.307,5.44,STABILIZE,0.798982,0.00529743,-0.00291282,-5.0,-5.0,0.0221,0.0066,31.1785,-139.702,139.702,7.07276,0.0,,False,7.4531e-07,0.0
0.359,5.492,STABILIZE,0.796346,0.00557776,-0.00304624,-5.0,-5.0,0.0066,-0.0012,31.165,-140.482,140.482,7.07286,0.0,,False,3.89086e-07,0.0
0.41,5.543,STABILIZE,0.793157,0.0058529,-0.00317937,-5.0,-5.0,-0.004,-0.0062,31.1527,-141.155,141.155,7.07296,0.0,,False,2.05676e-07,0.0
0.461,5.594,STABILIZE,0.789623,0.00612409,-0.00331252,-5.0,-5.0,-0.0126,-0.0096,31.1505,-141.725,141.725,7.07306,0.0,,False,1.08723e-07,0.0
0.513,5.646,STABILIZE,0.785889,0.00639376,-0.00344576,-5.0,-5.0,-0.0195,-0.0132,31.151,-142.197,142.197,7.07316,0.0,,False,5.67582e-08,0.0
0.564,5.697,STABILIZE,0.782277,0.00664876,-0.00357194,-5.0,-5.0,-0.0262,-0.0159,31.1513,-142.554,142.554,7.07325,0.0,,False,3.00031e-08,0.0
0.615,5.748,APPROACH,0.778857,0.00689121,-0.0036798,-5.0,-5.0,0.3148,-0.2438,31.1173,-142.812,142.812,7.07334,0.0,,False,1.586e-08,0.0
0.666,5.799,APPROACH,0.775733,0.00711782,-0.0039621,-5.0,-5.0,1.7986,-1.202,30.8373,-142.991,142.991,7.0733,0.0,,False,8.38379e-09,0.0
0.718,5.851,APPROACH,0.772912,0.00730171,-0.00525976,-5.0,-5.0,2.7163,-2.9209,30.1761,-143.137,143.137,7.07252,0.0,,False,4.37672e-09,0.0
0.769,5.902,APPROACH,0.770519,0.00696343,-0.00827215,-5.0,-5.0,2.968,-5.3078,29.1581,-143.284,143.284,7.07015,0.0,,False,2.31359e-09,0.0
0.82,5.953,APPROACH,0.768468,0.00517802,-0.0136235,-5.0,-5.0,3.171,-8.1339,27.7867,-143.514,143.514,7.06511,0.0,,False,1.22299e-09,0.0
0.872,6.005,APPROACH,0.766651,0.000685201,-0.0221477,-5.0,-5.0,3.4716,-9.7421,26.1198,-143.834,143.834,7.05591,0.0,,False,6.38458e-10,0.0
0.923,6.056,APPROACH,0.765128,-0.0070196,-0.033887,-5.0,-5.0,3.7994,-9.7545,24.2613,-144.066,144.066,7.04217,0.0,,False,3.37497e-10,0.0
0.974,6.107,APPROACH,0.763934,-0.018032,-0.0490044,-5.0,-5.0,4.1367,-9.1874,22.1451,-144.106,144.106,7.0237,0.0,,False,1.78405e-10,0.0
1.025,6.158,APPROACH,0.763116,-0.0321665,-0.0674157,-5.0,-5.0,4.5023,-8.883,19.7832,-144.026,144.026,7.0007,0.0,,False,9.4307e-11,0.0
1.077,6.21,APPROACH,0.762646,-0.0497318,-0.0895508,-5.0,-5.0,4.8964,-8.6958,17.2471,-143.9,143.9,6.97264,0.0,,False,4.92326e-11,0.0
1.128,6.261,APPROACH,0.762496,-0.070055,-0.114556,-5.0,-5.0,5.2804,-8.5017,14.7307,-143.762,143.762,6.9406,0.0,,False,2.6025e-11,0.0
1.179,6.312,APPROACH,0.762596,-0.0934476,-0.142822,-5.0,-5.0,5.6521,-8.2808,12.2416,-143.621,143.621,6.90409,0.0,,False,1.37571e-11,0.0
1.23,6.363,APPROACH,0.762893,-0.119906,-0.174353,-5.0,-5.0,6.0064,-8.0454,9.807,-143.486,143.486,6.8631,0.0,,False,7.27218e-12,0.0
1.282,6.415,APPROACH,0.763345,-0.150031,-0.20986,-5.0,-5.0,6.3464,-7.7966,7.3913,-143.359,143.359,6.81672,0.0,,False,3.79641e-12,0.0
1.333,6.466,APPROACH,0.763885,-0.182648,-0.247972,-5.0,-5.0,6.6614,-7.5457,5.0851,-143.25,143.25,6.76673,0.0,,False,2.00683e-12,0.0
1.384,6.517,APPROACH,0.764481,-0.218299,-0.289327,-5.0,-5.0,6.9576,-7.2904,2.8314,-143.158,143.158,6.71231,0.0,,False,1.06083e-12,0.0
1.436,6.569,APPROACH,0.76511,-0.257775,-0.334829,-5.0,-5.0,7.2428,-7.0234,0.5752,-143.082,143.082,6.65226,0.0,,False,5.53804e-13,0.0
1.487,6.62,APPROACH,0.76572,-0.299545,-0.38272,-5.0,-5.0,7.5086,-6.7531,-1.6094,-143.024,143.024,6.5889,0.0,,False,2.92748e-13,0.0
