t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,5.985,STABILIZE,0.780678,0.00324464,-0.00480624,-5.0,-5.0,-0.0704,-0.0637,29.9656,-133.022,133.022,7.07157,0.0,,False,6.58901e-07,0.0
0.052,6.037,STABILIZE,0.78596,0.00316166,-0.00473154,-5.0,-5.0,0.2097,-0.0322,29.9782,-133.374,133.374,7.06713,0.0,,False,3.43976e-07,0.0
0.103,6.088,STABILIZE,0.787881,0.00310899,-0.00473776,-5.0,-5.0,0.5561,-0.1085,30.0003,-133.831,133.831,7.07127,0.0,,False,1.8183e-07,0.0
0.154,6.139,STABILIZE,0.786737,0.00312886,-0.00496079,-5.0,-5.0,0.4242,0.0016,29.9983,-134.621,134.621,7.06765,0.0,,False,9.61176e-08,0.0
0.205,6.19,STABILIZE,0.782796,0.00323326,-0.0053282,-5.0,-5.0,0.2438,-0.0244,29.9953,-135.74,135.74,7.07405,0.0,,False,5.0809e-08,0.0
0.257,6.242,STABILIZE,0.776289,0.00338307,-0.00579595,-5.0,-5.0,0.2082,-0.0841,29.999,-137.131,137.131,7.06384,0.0,,False,2.65246e-08,0.0
0.308,6.293,STABILIZE,0.767941,0.00354324,-0.00634785,-5.0,-5.0,0.0267,-0.0031,30.0002,-138.667,138.667,7.06943,0.0,,False,1.40212e-08,0.0
0.359,6.344,STABILIZE,0.758177,0.00371406,-0.00691013,-5.0,-5.0,-0.0417,-0.0235,29.9986,-140.252,140.252,7.06604,0.0,,False,7.4118e-09,0.0
0.411,6.396,STABILIZE,0.747338,0.00387268,-0.00747594,-5.0,-5.0,0.0056,-0.0298,29.9982,-141.85,141.85,7.06762,0.0,,False,3.8693e-09,0.0
0.462,6.447,STABILIZE,0.736402,0.00401681,-0.00804248,-5.0,-5.0,0.0672,0.1147,29.9953,-143.303,143.303,7.06653,0.0,,False,2.04536e-09,0.0
0.513,6.498,STABILIZE,0.725681,0.00422405,-0.00861419,-5.0,-5.0,-0.0841,-0.0124,29.998,-144.525,144.525,7.06827,0.0,,False,1.0812e-09,0.0
0.564,6.549,STABILIZE,0.715608,0.00441413,-0.00916386,-5.0,-5.0,-0.0981,-0.0852,29.9998,-145.423,145.423,7.06477,0.0,,False,5.71536e-10,0.0
0.616,6.601,STABILIZE,0.706339,0.00455907,-0.00970129,-5.0,-5.0,-0.1501,0.0574,29.9931,-146.038,146.038,7.06422,0.0,,False,2.98368e-10,0.0
0.667,6.652,STABILIZE,0.698455,0.00469201,-0.0101562,-5.0,-5.0,-0.0142,0.018,29.9971,-146.423,146.423,7.06947,0.0,,False,1.57721e-10,0.0
0.718,6.703,STABILIZE,0.691907,0.00483839,-0.0105973,-5.0,-5.0,-0.1272,-0.0582,29.994,-146.66,146.66,7.07198,0.0,,False,8.33733e-11,0.0
0.77,6.755,STABILIZE,0.686694,0.0049455,-0.01101,-5.0,-5.0,-0.0976,-0.0634,29.9985,-146.804,146.804,7.06543,0.0,,False,4.35247e-11,0.0
0.821,6.806,STABILIZE,0.68307,0.00501397,-0.0113824,-5.0,-5.0,-0.0495,0.0022,29.9949,-146.88,146.88,7.06098,0.0,,False,2.30077e-11,0.0
0.872,6.857,STABILIZE,0.680946,0.00508878,-0.0117263,-5.0,-5.0,0.0351,0.0691,29.995,-146.876,146.876,7.0653,0.0,,False,1.21621e-11,0.0
0.923,6.908,STABILIZE,0.680317,0.00521024,-0.0120614,-5.0,-5.0,-0.0198,0.0691,30.0003,-146.724,146.724,7.06472,0.0,,False,6.42906e-12,0.0
0.975,6.96,STABILIZE,0.681153,0.00536534,-0.0123751,-5.0,-5.0,-0.0722,-0.0635,29.9946,-146.401,146.401,7.06992,0.0,,False,3.35626e-12,0.0
1.026,7.011,STABILIZE,0.683304,0.00547543,-0.0126639,-5.0,-5.0,-0.1258,0.014,29.9982,-145.913,145.913,7.06789,0.0,,False,1.77416e-12,0.0
1.077,7.062,STABILIZE,0.686593,0.00556414,-0.0128935,-5.0,-5.0,-0.1232,0.0727,29.9994,-145.282,145.282,7.06185,0.0,,False,9.37844e-13,0.0
1.128,7.113,STABILIZE,0.690792,0.00565499,-0.0130528,-5.0,-5.0,-0.015,-0.1032,29.9966,-144.574,144.574,7.06742,0.0,,False,4.95756e-13,0.0
1.18,7.165,STABILIZE,0.695746,0.00570221,-0.0132327,-5.0,-5.0,-0.0535,-0.0993,29.9976,-143.811,143.811,7.07092,0.0,,False,2.58807e-13,0.0
