t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,5.351,STABILIZE,0.790119,1.98511,0.00356785,-5.0,-5.0,-4.6907,-8.0749,29.7789,-137.022,137.022,8.59229,0.0,,False,2.80122e-05,0.0
0.051,5.402,STABILIZE,0.796677,1.88186,0.00309315,-5.0,-5.0,-3.588,-6.6569,29.5008,-137.077,137.077,8.50829,0.0,,False,1.48076e-05,0.0
0.102,5.453,STABILIZE,0.80106,1.77559,0.0025504,-5.0,-5.0,-1.6743,-4.6311,29.4756,-137.382,137.382,8.42224,0.0,,False,7.82749e-06,0.0
0.154,5.505,STABILIZE,0.803524,1.66528,0.00164522,-5.0,-5.0,0.5853,-2.3645,29.6846,-137.871,137.871,8.33321,0.0,,False,4.08631e-06,0.0
0.205,5.556,STABILIZE,0.804208,1.55646,4.25196e-05,-5.0,-5.0,2.8232,-0.1542,29.8251,-138.533,138.533,8.24546,0.0,,False,2.16007e-06,0.0
0.256,5.607,STABILIZE,0.803395,1.44829,-0.00263185,-5.0,-5.0,4.8964,2.0415,29.9054,-139.384,139.384,8.15807,0.0,,False,1.14184e-06,0.0
0.307,5.658,STABILIZE,0.801302,1.34203,-0.00668074,-5.0,-5.0,5.7912,4.2372,29.9589,-140.378,140.378,8.07184,0.0,,False,6.03591e-07,0.0
0.359,5.71,STABILIZE,0.798113,1.2367,-0.0120987,-5.0,-5.0,5.3976,6.4774,29.9749,-141.417,141.417,7.98596,0.0,,False,3.15102e-07,0.0
0.41,5.761,STABILIZE,0.794234,1.13714,-0.018041,-5.0,-5.0,4.7844,8.6722,29.9573,-142.408,142.408,7.90471,0.0,,False,1.66567e-07,0.0
0.461,5.812,STABILIZE,0.789861,1.04203,-0.0238769,-5.0,-5.0,4.5919,10.8342,29.9356,-143.4,143.4,7.82738,0.0,,False,8.80493e-08,0.0
0.512,5.863,STABILIZE,0.785191,0.952211,-0.0290645,-5.0,-5.0,4.7016,12.3975,29.8891,-144.388,144.388,7.75493,0.0,,False,4.6544e-08,0.0
