t_s,sim_time_s,state,z_m,x_m,y_m,target_x_m,target_y_m,roll_deg,pitch_deg,yaw_deg,upper_rad_s,lower_rad_s,horizontal_error_m,touchdown_vz_m_s,abort_reason,disturbance_active,buoyancy_n,slamming_force_n
0.0,5.402,STABILIZE,0.791715,0.00431506,-0.00247876,-5.0,-5.0,-0.0217,-0.0256,30.1983,-135.425,135.425,7.07237,0.0,,False,1.75839e-05,0.0
0.051,5.453,STABILIZE,0.798263,0.00437094,-0.00245744,-4.988,-5.0,0.0931,0.0427,29.9268,-135.92,135.92,7.06394,0.0,,False,9.29506e-06,0.0
0.103,5.505,STABILIZE,0.802504,0.00446314,-0.00246272,-4.9718,-5.0,0.1666,0.0848,29.8402,-136.694,136.694,7.05256,0.0,,False,4.85245e-06,0.0
0.154,5.556,STABILIZE,0.804537,0.0046194,-0.00251153,-4.9559,-5.0,0.1416,0.0696,30.034,-137.595,137.596,7.04142,0.0,,False,2.56506e-06,0.0
0.205,5.607,STABILIZE,0.804778,0.00482985,-0.00259733,-4.94,-5.0,0.0916,0.0431,30.1709,-138.548,138.548,7.03032,0.0,,False,1.35592e-06,0.0
0.256,5.658,STABILIZE,0.803552,0.00507451,-0.00270724,-4.9274,-5.0,0.0524,0.0238,30.1908,-139.486,139.487,7.02156,0.0,,False,7.16758e-07,0.0
0.308,5.71,STABILIZE,0.801131,0.00534334,-0.00283314,-4.9112,-5.0,0.0269,0.0108,30.1823,-140.383,140.383,7.01028,0.0,,False,3.7418e-07,0.0
0.359,5.761,STABILIZE,0.79792,0.00561591,-0.00296428,-4.8953,-5.0,0.0103,0.002,30.1779,-141.179,141.179,6.99924,0.0,,False,1.97796e-07,0.0
0.41,5.812,STABILIZE,0.794161,0.0058911,-0.00309889,-4.8794,-5.0,-0.0022,-0.0048,30.1774,-141.876,141.876,6.98821,0.0,,False,1.04558e-07,0.0
0.461,5.863,STABILIZE,0.790102,0.0061639,-0.00323355,-4.8635,-5.0,-0.0116,-0.0101,30.1777,-142.466,142.466,6.9772,0.0,,False,5.52704e-08,0.0
0.513,5.915,STABILIZE,0.785871,0.00643507,-0.00336863,-4.8476,-5.0,-0.0188,-0.0141,30.1778,-142.956,142.956,6.9662,0.0,,False,2.88537e-08,0.0
0.564,5.966,APPROACH,0.78181,0.00669086,-0.00349687,-4.8347,-5.0,-0.0203,-0.0198,30.1776,-143.329,143.329,6.95731,0.0,,False,1.52524e-08,0.0
0.615,6.017,APPROACH,0.777973,0.00693247,-0.00361237,-4.8188,-5.0,0.7106,-0.4625,30.0927,-143.603,143.603,6.94634,0.0,,False,8.06262e-09,0.0
0.667,6.069,APPROACH,0.774395,0.00716483,-0.00413195,-4.8029,-5.0,2.3027,-1.6764,29.6887,-143.81,143.81,6.93509,0.0,,False,4.20905e-09,0.0
0.718,6.12,APPROACH,0.771256,0.0072555,-0.00594458,-4.7867,-5.0,2.9868,-3.5837,28.9176,-143.991,143.991,6.92262,0.0,,False,2.22496e-09,0.0
0.769,6.171,APPROACH,0.768488,0.00657771,-0.00974361,-4.7708,-5.0,3.1935,-6.1759,27.7782,-144.193,144.193,6.9084,0.0,,False,1.17614e-09,0.0
0.82,6.222,APPROACH,0.76606,0.00406982,-0.0161501,-4.7582,-5.0,3.4245,-8.7655,26.308,-144.493,144.493,6.89333,0.0,,False,6.21722e-10,0.0
0.872,6.274,APPROACH,0.763873,-0.00148868,-0.0259614,-4.7423,-5.0,3.7395,-9.8327,24.5669,-144.832,144.832,6.87142,0.0,,False,3.24567e-10,0.0
0.923,6.325,APPROACH,0.762041,-0.0103522,-0.0390462,-4.7261,-5.0,4.0651,-9.4724,22.6385,-145.02,145.02,6.84466,0.0,,False,1.7157e-10,0.0
0.974,6.376,APPROACH,0.760602,-0.0224904,-0.0555186,-4.7102,-5.0,4.4074,-8.9859,20.4348,-145.023,145.023,6.81341,0.0,,False,9.06942e-11,0.0
1.026,6.428,APPROACH,0.759572,-0.0380862,-0.0757333,-4.6943,-5.0,4.7869,-8.7405,17.9749,-144.928,144.928,6.77707,0.0,,False,4.73465e-11,0.0
1.077,6.479,APPROACH,0.75896,-0.0565143,-0.0988995,-4.6784,-5.0,5.1723,-8.5547,15.4736,-144.797,144.797,6.73666,0.0,,False,2.5028e-11,0.0
1.128,6.53,APPROACH,0.758692,-0.0780499,-0.125379,-4.6655,-5.0,5.5506,-8.3439,12.9658,-144.649,144.649,6.69378,0.0,,False,1.32301e-11,0.0
1.179,6.581,APPROACH,0.758716,-0.102689,-0.155171,-4.6496,-5.0,5.9121,-8.1112,10.4962,-144.496,144.496,6.6443,0.0,,False,6.99359e-12,0.0
1.231,6.633,APPROACH,0.758982,-0.130992,-0.188951,-4.6337,-5.0,6.2604,-7.863,8.039,-144.342,144.342,6.58943,0.0,,False,3.65097e-12,0.0
1.282,6.684,APPROACH,0.759427,-0.161861,-0.22541,-4.6178,-5.0,6.582,-7.6128,5.6938,-144.2,144.2,6.53086,0.0,,False,1.92995e-12,0.0
1.333,6.735,APPROACH,0.760003,-0.195808,-0.265159,-4.6016,-5.0,6.885,-7.3564,3.4074,-144.072,144.072,6.46759,0.0,,False,1.02019e-12,0.0
1.385,6.787,APPROACH,0.760679,-0.233576,-0.309067,-4.5857,-5.0,7.1765,-7.0885,1.1257,-143.957,143.957,6.39889,0.0,,False,5.32588e-13,0.0
1.436,6.838,APPROACH,0.761387,-0.273709,-0.355432,-4.5731,-5.0,7.4471,-6.8187,-1.0762,-143.861,143.861,6.32904,0.0,,False,2.81533e-13,0.0
1.487,6.889,APPROACH,0.762103,-0.3169,-0.405043,-4.5569,-5.0,7.704,-6.5414,-3.2546,-143.785,143.785,6.2523,0.0,,False,1.48822e-13,0.0
1.538,6.94,APPROACH,0.7628,-0.363143,-0.457888,-4.541,-5.0,7.9546,-6.2483,-5.4187,-143.725,143.725,6.17133,0.0,,False,7.8669e-14,0.0
1.59,6.992,APPROACH,0.763471,-0.413446,-0.515086,-4.5251,-5.0,8.3303,-5.7555,-7.5931,-143.68,143.68,6.08442,0.0,,False,4.10688e-14,0.0
1.641,7.043,APPROACH,0.76407,-0.465802,-0.574517,-4.5092,-5.0,8.7151,-5.1826,-9.7158,-143.653,143.653,5.99449,0.0,,False,2.17095e-14,0.0
1.692,7.094,APPROACH,0.764603,-0.521046,-0.637335,-4.4963,-5.0,8.9482,-4.791,-11.876,-143.638,143.638,5.90216,0.0,,False,1.14759e-14,0.0
1.744,7.146,APPROACH,0.765079,-0.580318,-0.704892,-4.4804,-5.0,9.1146,-4.4757,-14.102,-143.632,143.632,5.8016,0.0,,False,5.99094e-15,0.0
1.795,7.197,APPROACH,0.765478,-0.641357,-0.774582,-4.4645,-5.0,9.2601,-4.1671,-16.2923,-143.632,143.632,5.6983,0.0,,False,3.16689e-15,0.0
1.846,7.248,APPROACH,0.76581,-0.705293,-0.847668,-4.4486,-5.0,8.8614,-3.6095,-18.4467,-143.615,143.615,5.59055,0.0,,False,1.67405e-15,0.0
1.897,7.299,APPROACH,0.766109,-0.771949,-0.923946,-4.4327,-5.0,7.5736,-2.74,-20.5624,-143.488,143.488,5.47862,0.0,,False,8.84926e-16,0.0
1.949,7.351,APPROACH,0.766443,-0.842228,-1.00445,-4.4165,-5.0,6.0739,-1.9258,-22.7513,-143.257,143.257,5.36095,0.0,,False,4.61972e-16,0.0
2.0,7.402,APPROACH,0.766813,-0.912927,-1.08551,-4.4039,-5.0,4.7765,-1.3242,-24.9073,-143.01,143.01,5.24501,0.0,,False,2.44204e-16,0.0
2.051,7.453,APPROACH,0.767198,-0.984971,-1.16815,-4.388,-5.0,3.6702,-0.8956,-26.8531,-142.798,142.798,5.12481,0.0,,False,1.29089e-16,0.0
2.103,7.505,APPROACH,0.767567,-1.05946,-1.25364,-4.3718,-5.0,2.6918,-0.5872,-28.4765,-142.637,142.637,5.00068,0.0,,False,6.73905e-17,0.0
2.154,7.556,APPROACH,0.767872,-1.13325,-1.33834,-4.3559,-5.0,1.8505,-0.3708,-29.7087,-142.534,142.534,4.87783,0.0,,False,3.56234e-17,0.0
2.205,7.607,APPROACH,0.768101,-1.20752,-1.42357,-4.34,-5.0,1.1145,-0.2113,-30.59,-142.478,142.478,4.75429,0.0,,False,1.8831e-17,0.0
2.256,7.658,APPROACH,0.768238,-1.28204,-1.50908,-4.3274,-5.0,0.4751,-0.0887,-31.1262,-142.461,142.461,4.63257,0.0,,False,9.95429e-18,0.0
2.308,7.71,APPROACH,0.76828,-1.3581,-1.59634,-4.3112,-5.0,-0.0907,0.0127,-31.3308,-142.474,142.474,4.50619,0.0,,False,5.1966e-18,0.0
2.359,7.761,APPROACH,0.768228,-1.4326,-1.68179,-4.2953,-5.0,-0.5718,0.0994,-31.2797,-142.508,142.508,4.38242,0.0,,False,2.74698e-18,0.0
2.41,7.812,APPROACH,0.768096,-1.50685,-1.76695,-4.2794,-5.0,-0.9855,0.1785,-31.0865,-142.556,142.556,4.25907,0.0,,False,1.45209e-18,0.0
2.461,7.863,APPROACH,0.767896,-1.58072,-1.85166,-4.2635,-5.0,-1.3385,0.2509,-30.8327,-142.61,142.61,4.13635,0.0,,False,7.67593e-19,0.0
2.513,7.915,APPROACH,0.767637,-1.65552,-1.93744,-4.2476,-5.0,-1.6443,0.3173,-30.5701,-142.668,142.668,4.01225,0.0,,False,4.00719e-19,0.0
2.564,7.966,APPROACH,0.767345,-1.72827,-2.02089,-4.2347,-5.0,-1.9008,0.3744,-30.3435,-142.723,142.723,3.89324,0.0,,False,2.11825e-19,0.0
2.616,8.018,APPROACH,0.767023,-1.80174,-2.10517,-4.2188,-5.0,-2.1217,0.4246,-30.1611,-142.775,142.775,3.77124,0.0,,False,1.10582e-19,0.0
2.667,8.069,APPROACH,0.766701,-1.87304,-2.18697,-4.2023,-5.0,-2.3091,0.4663,-30.0344,-142.82,142.82,3.6522,0.0,,False,5.84551e-20,0.0
2.719,8.121,APPROACH,0.766376,-1.9449,-2.26944,-4.1864,-5.0,-2.4769,0.499,-29.9932,-142.859,142.859,3.53275,0.0,,False,3.05162e-20,0.0
2.77,8.172,APPROACH,0.766073,-2.0145,-2.34935,-4.1732,-5.0,-2.62,0.5242,-29.995,-142.89,142.89,3.41847,0.0,,False,1.61313e-20,0.0
2.821,8.223,APPROACH,0.765791,-2.08322,-2.42826,-4.1567,-5.0,-2.7495,0.5479,-29.9998,-142.915,142.915,3.30351,0.0,,False,8.52718e-21,0.0
2.873,8.275,APPROACH,0.765534,-2.15236,-2.50764,-4.1405,-5.0,-2.8719,0.5736,-30.0013,-142.933,142.933,3.18819,0.0,,False,4.45158e-21,0.0
2.924,8.326,APPROACH,0.765314,-2.21922,-2.5844,-4.124,-5.0,-2.9789,0.5984,-30.0013,-142.945,142.945,3.07625,0.0,,False,2.35316e-21,0.0
2.975,8.377,APPROACH,0.765129,-2.28513,-2.66007,-4.1114,-5.0,-3.0797,0.6216,-30.0011,-142.952,142.952,2.96826,0.0,,False,1.24391e-21,0.0
3.026,8.428,APPROACH,0.76498,-2.35006,-2.73462,-4.0949,-5.0,-3.175,0.6424,-30.001,-142.955,142.955,2.85944,0.0,,False,6.57546e-22,0.0
3.078,8.48,APPROACH,0.764863,-2.41524,-2.80945,-4.0787,-5.0,-3.2634,0.6614,-30.0009,-142.955,142.955,2.75057,0.0,,False,3.43269e-22,0.0
3.129,8.531,APPROACH,0.764782,-2.47812,-2.88167,-4.0655,-5.0,-3.3423,0.6773,-30.0008,-142.952,142.952,2.64709,0.0,,False,1.81456e-22,0.0
3.18,8.582,APPROACH,0.764732,-2.53995,-2.9527,-4.049,-5.0,-3.3793,0.8824,-30.011,-142.947,142.947,2.54336,0.0,,False,9.592e-23,0.0
3.232,8.634,APPROACH,0.764708,-2.60183,-3.02393,-4.0331,-5.0,-3.3095,1.7125,-30.0413,-142.943,142.943,2.43995,0.0,,False,5.00746e-23,0.0
3.283,8.685,APPROACH,0.764704,-2.66106,-3.09285,-4.0166,-5.0,-3.2391,2.6777,-30.0511,-142.951,142.951,2.33981,0.0,,False,2.64701e-23,0.0
3.334,8.736,APPROACH,0.764709,-2.71849,-3.16108,-4.0037,-5.0,-3.232,3.4722,-30.0415,-142.977,142.977,2.24352,0.0,,False,1.39924e-23,0.0
3.385,8.787,APPROACH,0.764715,-2.77382,-3.22882,-3.9872,-5.0,-3.2894,4.0554,-30.0291,-143.015,143.015,2.14694,0.0,,False,7.39656e-24,0.0
3.437,8.839,APPROACH,0.764716,-2.82782,-3.29749,-3.971,-5.0,-3.3914,4.4734,-30.0199,-143.061,143.061,2.05071,0.0,,False,3.86134e-24,0.0
3.488,8.89,APPROACH,0.764711,-2.87823,-3.36449,-3.9548,-5.0,-3.517,4.7426,-30.0133,-143.106,143.106,1.95803,0.0,,False,2.04115e-24,0.0
3.539,8.941,APPROACH,0.764707,-2.92599,-3.43116,-3.9416,-5.0,-3.6572,4.8893,-30.0074,-143.144,143.144,1.86888,0.0,,False,1.07898e-24,0.0
3.59,8.992,APPROACH,0.764711,-2.971,-3.49749,-3.9254,-5.0,-3.8054,4.9304,-30.0018,-143.171,143.171,1.78001,0.0,,False,5.70361e-25,0.0
3.642,9.044,APPROACH,0.764727,-3.01402,-3.56469,-3.9089,-5.0,-3.9429,4.8044,-29.9918,-143.186,143.186,1.69142,0.0,,False,2.97755e-25,0.0
3.693,9.095,APPROACH,0.764761,-3.05342,-3.63012,-3.896,-5.0,-4.0251,4.365,-29.9733,-143.176,143.176,1.60827,0.0,,False,1.57397e-25,0.0
3.744,9.146,APPROACH,0.764825,-3.09021,-3.69492,-3.8798,-5.0,-4.0816,3.842,-29.9661,-143.139,143.139,1.52535,0.0,,False,8.32019e-26,0.0
3.796,9.198,APPROACH,0.764919,-3.12522,-3.76019,-3.8633,-5.0,-4.1337,3.3842,-29.9706,-143.091,143.091,1.44287,0.0,,False,4.34352e-26,0.0
3.847,9.249,APPROACH,0.765029,-3.15729,-3.82332,-3.8471,-5.0,-4.1883,3.032,-29.9775,-143.045,143.045,1.36398,0.0,,False,2.29604e-26,0.0
3.898,9.3,APPROACH,0.765147,-3.18723,-3.88546,-3.8339,-5.0,-4.2495,2.7511,-29.9824,-143.008,143.008,1.28856,0.0,,False,1.21371e-26,0.0
3.949,9.351,APPROACH,0.765264,-3.21514,-3.94654,-3.8177,-5.0,-4.3204,2.526,-29.9857,-142.981,142.981,1.21361,0.0,,False,6.41584e-27,0.0
4.001,9.403,APPROACH,0.765372,-3.2416,-4.00764,-3.8015,-5.0,-4.3982,2.3382,-29.9881,-142.964,142.964,1.13941,0.0,,False,3.34936e-27,0.0
4.052,9.454,APPROACH,0.765462,-3.26564,-4.06636,-3.7883,-5.0,-4.478,2.188,-29.99,-142.956,142.956,1.06998,0.0,,False,1.77051e-27,0.0
4.103,9.505,APPROACH,0.765534,-3.28782,-4.12381,-3.7721,-5.0,-4.5633,2.0738,-29.9923,-142.955,142.955,1.00112,0.0,,False,9.35915e-28,0.0
4.155,9.557,APPROACH,0.765588,-3.30856,-4.18103,-3.7556,-5.0,-4.4022,2.0751,-30.0002,-142.955,142.955,0.933041,0.0,,False,4.88591e-28,0.0
4.206,9.608,APPROACH,0.765627,-3.32708,-4.23588,-3.7394,-5.0,-4.0052,2.212,-30.0091,-142.945,142.945,0.868266,0.0,,False,2.58275e-28,0.0
4.257,9.659,APPROACH,0.765661,-3.34386,-4.28967,-3.7265,-5.0,-4.3966,2.0604,-29.992,-142.937,142.937,0.806832,0.0,,False,1.36527e-28,0.0
4.308,9.71,APPROACH,0.765679,-3.35886,-4.34222,-3.71,-5.0,-5.5904,1.5497,-29.9626,-142.974,142.974,0.745639,0.0,,False,7.217e-29,0.0
4.36,9.762,APPROACH,0.765656,-3.37224,-4.39389,-3.6938,-5.0,-6.6727,1.0237,-29.9512,-143.069,143.069,0.686124,0.0,,False,3.76761e-29,0.0
4.411,9.813,APPROACH,0.765578,-3.38345,-4.44216,-3.6806,-5.0,-7.2612,0.6429,-29.9586,-143.187,143.187,0.632044,0.0,,False,1.9916e-29,0.0
4.462,9.864,APPROACH,0.765455,-3.39278,-4.48773,-3.6644,-5.0,-7.4669,0.3844,-29.9711,-143.291,143.291,0.579825,0.0,,False,1.05279e-29,0.0
4.514,9.916,APPROACH,0.765308,-3.40041,-4.53128,-3.6482,-5.0,-7.4341,0.1983,-29.9801,-143.36,143.36,0.530189,0.0,,False,5.49602e-30,0.0
4.565,9.967,APPROACH,0.765169,-3.40613,-4.5711,-3.6317,-5.0,-7.2594,0.0614,-29.9854,-143.388,143.388,0.484596,0.0,,False,2.90527e-30,0.0
4.616,10.018,APPROACH,0.765056,-3.4102,-4.60812,-3.6188,-5.0,-6.997,-0.0365,-29.9897,-143.382,143.382,0.443944,0.0,,False,1.53576e-30,0.0
4.667,10.069,APPROACH,0.764983,-3.41272,-4.6424,-3.6023,-5.0,-6.6745,-0.1057,-29.9931,-143.349,143.349,0.404747,0.0,,False,8.11821e-31,0.0
