group,n,landed,success_rate,touchdown_vz_mean,touchdown_vz_std,horizontal_error_mean,horizontal_error_std,max_roll_mean,max_roll_std,abort_reasons
baseline,10,10,1.0,-0.0378,0.0013,0.0037,0.0011,8.6336,0.0483,
dist_asymmetric,1,1,1.0,-0.0373,0.0,0.0015,0.0,8.7593,0.0,
dist_calm,1,1,1.0,-0.0429,0.0,0.0043,0.0,8.6085,0.0,
dist_mild,1,1,1.0,-0.0392,0.0,0.0037,0.0,8.5784,0.0,
dist_off,2,2,1.0,-0.0372,0.0004,0.0032,0.0003,8.6034,0.0045,
dist_strong,1,0,0.0,,,,,,,
nonideal,1,0,0.0,,,,,,,
offset_1.0m,1,1,1.0,-0.0393,0.0,0.0109,0.0,8.6524,0.0,
offset_2.0m,1,1,1.0,-0.0367,0.0,0.0043,0.0,8.5879,0.0,
offset_3.0m,1,1,1.0,-0.0371,0.0,0.0014,0.0,8.7196,0.0,
platform,1,1,1.0,-0.0382,0.0,0.19,0.0,9.2212,0.0,
